用户名,性别,评论内容,IP属地
柳橙迷索拉,female,2017年，NS定价： 29980日元 折合当时人民币：2000人民币（注：折合现在的人民币只有1400人民币，但是2017年当时的汇率是1980左右，当时的汇率3万日元当时就是2000人民币，但我这里没有包含邮费和税，这里是纯机子两千，我就算他2000整好了） 但是！考虑到黄牛！当时（2017年）大多数人都是2500以上买的吧？我自己看到的是2500纯机子，还有2700带野炊卡带。 2021年，NS OLED定价： 37980日元（贵8000日元） 折合当时人民币：2200人民币（折合当时的是2200人民币，折合现在的是1781人民币）（此处依旧没有算税和邮费） 不过当年的双十一，很快就2080可以买了，因为我就是2021年十一月十二月买的，已经降低到2100多了。 合理预测下一代游戏主机定价： 顶多49980日元 折合人民币（最多的情况下）：2500人民币（实际上现在你去百度换算一下为2300人民币）。 这是不考虑黄牛的情况下我给出的预测，考虑黄牛的话默认+500=3000人民币。 理由：任天堂的策略为蓝海策略，扩充大量完全群体，受众广泛，适合全年龄玩家，且因为任天堂是“小孩子的守护者”，主要给小孩子玩（没有贬义）。 所以这个价格在日本那边，一定要是个小孩子能买得起的价格，简单来说就是小孩子要买，家长考虑过后会同意买。也就是说，家长在考虑片刻后，能承担得起给小孩子娱乐用。会轻易入手的价格。 再加上家长也想玩（毕竟适用范围很广泛），家长也掏点钱属于很合理的事情。一台游戏机可以供多人游玩呢。比如马派之类的游戏，多人游戏众多。 根据谷歌搜索，日本那边一个小孩子最起码能收到五份红包，小学高年级学生一个红包就有5000日元了，初中生也是5000日元，那么就是25000日元，而游戏机第一年基本没什么游戏（NS也是），第二年刚好就能买了，更何况家长也掏点钱很正常啊，而且还有零花钱什么的。满打满算最多两年就可以买一台了。 对于日本那边来说，50000日元顶天了。 没黄牛的情况下，2500人民币算是正常的情况。,中国-江苏
阿粥今天吃什么,unknown,省流： 外观与爆料一致 名字为ns2 演示游戏为马车 确认ns卡带可以在ns2上使用 4月2日举行专场发布会 发布会后会在全球开放新机体验店,中国-湖南
Yuri-Sense,unknown,ns2的掌机模式， 性能是前代掌机模式的4.35倍， 是前代主机模式的3.4倍。 ns2的主机模式主机模式是掌机模式的1.8倍 ，也就是前代主机模式的6.2倍 Switch 2• 掌机模式：GPU时钟频率为561MHz，浮点运算能力约为1.71TFLOPS。• 主机模式：GPU时钟频率几乎翻倍，达到1000MHz，浮点运算能力约为3.1TFLOPS。 Switch OLED• 掌机模式：GPU时钟频率为307.2MHz，浮点运算能力约为0.3932TFLOPS【^2^】。• 主机模式：GPU时钟频率提升至768MHz，浮点运算能力约为0.5TFLOPS【^3^】。[笑哭],中国-湖北
宛如繁星_,male,必买首发，想体验下法环在ns2运行是什么感觉，还有今年的宝可梦za。感觉今年也是个游戏大年啊，算上ns2的护航作，还有gta6。,中国-广东
Go-liath,male,有个细节 变成鼠标功能的时候下面是加了底座的，然后后面有又分离了，我是说突出来一块直接接触桌面啥的不是会有影响吗。可以预见后面会有限定鼠标垫的相关配件贩售,中国-天津
Refha,male,只能说一代的滑插设计无论是从标志上来说还是实际上应用上来说都太有代表性了 导致影响大到老任第二代主机必须沿用这个标志，不然不用就亏了,海外-俄罗斯
房石诶哆,male,怎么说呢，作为任天堂粉丝我很激动，但我最推荐的还是不买首发，先继续用switch玩（因为我个人觉得ns2游戏前期不会抛弃ns的），直到不再支持ns后再买ns2，这时候价格也稳定了，还能观望一手oled版,中国-江苏
可达鸭抢饭团,male,我喜欢lite的小巧和轻便，还希望能连接在电视上大屏幕玩，希望出个小屏能连电视的，为什么就不出一个呢，给玩家多一个选择，7寸我都嫌举着累，这下8寸了[笑哭],中国-北京
Fimmm520,unknown,3T多浮点性能+12GB内存+DLSS，第三方厂商没在任天堂主机上打过这么富裕的仗[笑哭],中国-浙江
猫神教小鱼干总管吖,male,看快拆的设计方式，承重应该是和被子角固定器那样的强磁铁吸附，靠纵向力按开，横向力非常大，应该用很久没问题,中国-江西
