用户名,性别,IP地址,评论内容
柳橙迷索拉,女,江苏,"2017年，NS定价：
29980日元
折合当时人民币：2000人民币（注：折合现在的人民币只有1400人民币，但是2017年当时的汇率是1980左右，当时的汇率3万日元当时就是2000人民币，但我这里没有包含邮费和税，这里是纯机子两千，我就算他2000整好了）
但是！考虑到黄牛！当时（2017年）大多数人都是2500以上买的吧？我自己看到的是2500纯机子，还有2700带野炊卡带。

2021年，NS OLED定价：
37980日元（贵8000日元）
折合当时人民币：2200人民币（折合当时的是2200人民币，折合现在的是1781人民币）（此处依旧没有算税和邮费）
不过当年的双十一，很快就2080可以买了，因为我就是2021年十一月十二月买的，已经降低到2100多了。

合理预测下一代游戏主机定价：
顶多49980日元
折合人民币（最多的情况下）：2500人民币（实际上现在你去百度换算一下为2300人民币）。
这是不考虑黄牛的情况下我给出的预测，考虑黄牛的话默认+500=3000人民币。

理由：任天堂的策略为蓝海策略，扩充大量完全群体，受众广泛，适合全年龄玩家，且因为任天堂是“小孩子的守护者”，主要给小孩子玩（没有贬义）。
所以这个价格在日本那边，一定要是个小孩子能买得起的价格，简单来说就是小孩子要买，家长考虑过后会同意买。也就是说，家长在考虑片刻后，能承担得起给小孩子娱乐用。会轻易入手的价格。
再加上家长也想玩（毕竟适用范围很广泛），家长也掏点钱属于很合理的事情。一台游戏机可以供多人游玩呢。比如马派之类的游戏，多人游戏众多。

根据谷歌搜索，日本那边一个小孩子最起码能收到五份红包，小学高年级学生一个红包就有5000日元了，初中生也是5000日元，那么就是25000日元，而游戏机第一年基本没什么游戏（NS也是），第二年刚好就能买了，更何况家长也掏点钱很正常啊，而且还有零花钱什么的。满打满算最多两年就可以买一台了。

对于日本那边来说，50000日元顶天了。
没黄牛的情况下，2500人民币算是正常的情况。"
阿粥今天吃什么,保密,湖南,"省流：
外观与爆料一致
名字为ns2
演示游戏为马车
确认ns卡带可以在ns2上使用
4月2日举行专场发布会
发布会后会在全球开放新机体验店"
Yuri-Sense,保密,湖北,"ns2的掌机模式，
性能是前代掌机模式的4.35倍，
是前代主机模式的3.4倍。

ns2的主机模式主机模式是掌机模式的1.8倍 
，也就是前代主机模式的6.2倍

Switch 2• 掌机模式：GPU时钟频率为561MHz，浮点运算能力约为1.71TFLOPS。• 主机模式：GPU时钟频率几乎翻倍，达到1000MHz，浮点运算能力约为3.1TFLOPS。

Switch OLED• 掌机模式：GPU时钟频率为307.2MHz，浮点运算能力约为0.3932TFLOPS【^2^】。• 主机模式：GPU时钟频率提升至768MHz，浮点运算能力约为0.5TFLOPS【^3^】。[笑哭]"
宛如繁星_,男,广东,必买首发，想体验下法环在ns2运行是什么感觉，还有今年的宝可梦za。感觉今年也是个游戏大年啊，算上ns2的护航作，还有gta6。
Go-liath,男,天津,有个细节 变成鼠标功能的时候下面是加了底座的，然后后面有又分离了，我是说突出来一块直接接触桌面啥的不是会有影响吗。可以预见后面会有限定鼠标垫的相关配件贩售
Refha,男,俄罗斯,只能说一代的滑插设计无论是从标志上来说还是实际上应用上来说都太有代表性了 导致影响大到老任第二代主机必须沿用这个标志，不然不用就亏了
房石诶哆,男,江苏,怎么说呢，作为任天堂粉丝我很激动，但我最推荐的还是不买首发，先继续用switch玩（因为我个人觉得ns2游戏前期不会抛弃ns的），直到不再支持ns后再买ns2，这时候价格也稳定了，还能观望一手oled版
可达鸭抢饭团,男,北京,我喜欢lite的小巧和轻便，还希望能连接在电视上大屏幕玩，希望出个小屏能连电视的，为什么就不出一个呢，给玩家多一个选择，7寸我都嫌举着累，这下8寸了[笑哭]
Fimmm520,保密,浙江,3T多浮点性能+12GB内存+DLSS，第三方厂商没在任天堂主机上打过这么富裕的仗[笑哭]
猫神教小鱼干总管吖,男,江西,看快拆的设计方式，承重应该是和被子角固定器那样的强磁铁吸附，靠纵向力按开，横向力非常大，应该用很久没问题
hcllll,男,辽宁,"别管我吃或不吃灰，买我还是想要买的[doge]

任天堂主机造型真的太帅了！

希望性能也ok，多上点大作，考虑下ps和steam玩家。"
夜守白,保密,日本,虽然不怕黄牛，稍微抢抢还是很简单能买到的，但还是得关注有没有什么强力护机大作，不要求像塞尔达荒野之息那么厉害，起码让人稍微惊艳一下的程度，而且最好要求新机型才能有最好的体验那种，不然感觉购买的意愿不太强
转动命运之轮kura,男,河北,能告诉我爆料Switch2的芯片大概是什么水平吗？[笑哭]
Wooo路过,保密,广东,ns还是太成功了[笑哭]我记得老任以前机子换代命名不规则的，这次真叫switch2
晕晕晕熏丶,保密,吉林,za有消息吗，让我在ns上mega吧，求求了
咸鱼科长,男,江苏,处理器怎么样，这才是关键问题
Risel小花花,女,江苏,在任天堂以外的掌机上，他们就没有黑边这个词，这词是专门留给任天堂的[笑哭]在其他掌机上这就不能叫大黑边了，这是高性能掌机的留白[笑哭][笑哭]
黑之境域,保密,浙江,好耶，可以玩1080 60帧塞尔达了
_御剑怜侍,保密,陕西,主机上的joycon插槽真的不会断码，感觉像上个世纪的设计啊
你永远是对的-_-,保密,江苏,"好的，可以开始期待lite,续航版，oled续航版了"
東城會直系天明組組長,男,黑龙江,等着看性能了 据说介于PS4和PRO之间
X1comax,保密,广西,期待国补，国家大补贴[doge_金箍]
欲与鱼与雨,保密,江西,有没有谁来说下，ns2的性能相当于哪款手机的性能啊？
绯羽落枫,男,江西,首发老游戏会不会适配提升画质啊，有的话就去抢首发了[RO姬偶像收藏集表情包_看]
黑皮小华,男,广东,这代手柄卡口设计明显比上代更坚固，两层互相包裹还有限位，后面有两按钮就是需要按了才能取下来的，只是改成了磁吸了就一堆人不带脑子(´_ゝ｀)
邻座的阳叔,男,云南,看到这个屏幕黑边，就感觉会出OLED版或者别的加强版，别问，问就是以前买3DS被背刺过，有PTSD了[doge_金箍]
YUE丶YUE丶yue,保密,安徽,刚买的oled才半个月[笑哭]
-BroOo-,保密,北京,为什么黑边还是这么大，是有什么技术上的难题么[藏狐]
大白先生奶糖,保密,湖南,感觉switch 1造型更好看，而且是掌机的话真这么大了，有小型lite版吗？我还是喜欢掌机风格，索尼有没有计划出？
bravepang,保密,河北,等2上市了，收一个一代OLED，估计史诗级好价[嗑瓜子]，刷上安卓玩串流，再刷个乌班图当电脑，性价比嗷嗷高[doge]
jazz-wind-sunset,男,河南,oled屏幕给我眼都快闪瞎了，还是喜欢lcd屏幕
爱玩帝,保密,辽宁,我说这回最终幻想7重制版会登录NS2，谁同意谁反对！我还表示艾尔登法环也会登录NS2，谁有不同意见！并且合金装备大师合集2也会登录，虽然都是几年前的作品了但是在NS上玩到还是让人很兴奋对吧！
汉斯,保密,福建,家里还有六个joycon，能不能通用啊，派对玩家真的很需要
梦泪爱超比,保密,四川,插进去真没划着进去有想法，有意思。1代做的还是太满了
