用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
119784273,179701,5,新手，挺好玩得，就是角色抽得乱了，2副c，3辅，哈哈😅，这咋搭配😅,1,2025-04-05 15:13,未提供
112086209,复古风,1,我只是想问，只有我一个人满大保底吗？<br />💃🏻立绘建模：人物做得很好看，就是抽奖全是满90。别人发的都是10好几个，策划对我的全是满保底。这是你对我的针对吗，这是什么概率，牺牲我一个，造福全世界？,2,2025-03-28 01:45,华为荣耀8X Max
55243770,六翼死神,4,总体感觉不错战斗画面手感都不错剧情我是直接跳过的其他的还是很好的,,2025-04-05 14:33,OPPO PFZM10
423432593,无鱼,5,一个10连就出up了可以不得不玩了,,2025-04-05 13:35,小米24117RK2CC
431211338,鹏飞,5,回归了 感觉新养成好多 技能的属性升级 还有满级也变一百级了 新出的角色真好看 想要了 看看回归后能不能肝70抽 刚才上线把邮箱领了抽了20抽 我草 歪池太牛逼了 我出货都不超过30抽 那个定轨我定了个小困 然后30抽出了伊邪那美 然后30抽出小困了 我定轨幽月 28抽出那个光薇儿 然后21抽出了她 我感觉我可以把我没有的全都补齐了😊,,2023-05-24 20:12,Redmi Note 12 Turbo
416352284,倪朝阳,5,好玩，诗寇蒂真可爱,,2025-04-05 13:03,未提供
486635079,鸭鸭鸭鸭鸭鸭,2,退游311天回归了，结果上来就歪了，你让我没有爱啊。😂,,2025-04-05 12:54,未提供
52641982,♚启♛迪♚,4,25.3.28更新--<br />三周年版本，三周年搞得确实不错的，自从二周年后段换掉了那个离谱策划后基本没出什么大错，福利和诚意也很到位，玩家都看在眼里的，只不过要回到以前的巅峰还有很长的路要走，自迭代8之后强度也没增长强度焦虑也慢慢缓解了，轻松不肝养眼才是大眼最大的竞争优势，希望保持下去慢慢变好，最后，得优化一下内存了，学学崩铁出个过往任务资源删除，清理掉一些不要的资源占用。<br />25.2.13更新--<br />新年版本，二周年后除了“友谊如钻石般闪耀”之外也没整啥烂活了，运营算比较平稳，新春福利也很有诚意，但是你不能只有当你快死的时候才知道自己错了悔改了，只能说早知如此，何必当初，可惜可叹。<br />24.4.12更新--<br />二周年版本，好评刷的飞起，一点进去全是小白号，刷好评的钱大把大把的投，周年福利让一点就要了策划的命，我只能说新厕化你是会运营的。<br />这游戏两周年以前五星，现在俩星都考虑是不是给多了，320累抽30碎片不当人，不想给直说，前面还有塞赫麦特骗抽不计入，吃相难看。<br />我们需要的是更多有趣的新玩法，而不是新的数值膨胀打桩副本，改的太特么难了，黑区单boss变双boss，还加几百血条分区减伤，不是人打的，恶心。<br />氪佬的玩具罢了，平民特么配玩，天天搁哪打那b肉桩子，真的有意思吗？<br />好好的一个周年庆变周年寄，非要搞一些硬恶心人的东西，只能说8.8评分好好的顺风局不打非要来找骂，本来还想买个托特皮肤，但是现在可能放弃了。<br />不要氪金！不要氪金！不要氪金！谁知道你三周年能不能撑到就跑路了。<br />再编--<br />已回坑战双，启明和檀心大姐姐又帅又好看，嘿嘿。<br />24.4.2更新--<br />收回以前的评价，周年庆厕化又整了一手好活，本来是战双玩的越来越累润过来的，想要把挑战带回大眼我为什么不回坑战双？<br />月卡过期就断氪了，不知道是不是周年想吃一波黑流量，现在正式服改回来也没用，玩家信任已经被消耗一大截了（至少是我的信任）。<br />24.2.12--<br />过年看评分高入坑的，游戏确实不错，福利也还行，玩起来比较舒服，已经开始养老了。,54,2024-02-21 16:25,Vivo V2115A
41815293,鹤羽,5,动作模组挺好的，很流畅，比鸣潮好，没鸣潮那种卡手的感觉。角色机制挺不错的。画面挺好的，没鸣潮那样看着难受。,,2025-04-05 12:25,华为 Mate 30 Pro 5G
28665035,麦穗托夕阳，晚风卷岁光,5,过剧情能够连续作战，前期抽卡资源很好攒。新版本的剧情也还不错，福利也挺多，做活动白送S级角色。,,2025-04-05 12:01,小米Mi 10
648469874,清晨的风,5,必须推荐一手，新手福利超级好，30抽不到直接出了4个金，超级爽，建议大家都来玩,,2025-04-05 11:27,未提供
654333418,冬愿,5,怎么快速提升那个好感度啊,,2025-04-05 10:54,Vivo Y55t
480699044,斌桑,1,老子扩展UP池选的梵天最后一出你给我来这个，我直接果断退游😋,1,2022-07-21 15:15,小米Xiaomi MIX Fold 3
4467547,kinのdtsola丶,5,开服老登回坑感觉良好！,,2025-04-05 09:36,Redmi K60
599092597,序子荀,5,刚过完空白之梦，感觉剧情太感人了,,2025-04-05 09:09,Vivo IQOO Z9 Turbo
49748977,青睐,3,人在无语的时候真的会笑，比米游还黑,1,2025-04-05 08:27,Vivo X90s
