用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
445600836,云,5,都给我玩明日方舟😋,1,2025-04-05 15:02,Vivo IQOO 13
413319621,拉普兰德,5,永远喜欢明日方舟,,2025-04-05 14:59,OPPO A93 5G
529713453,枕,5,可玩性永远很高的，鹰角冲啊😎,,2025-04-05 12:53,OPPO Reno4中国版
371677511,W未名M,4,入坑四年，累了😥。最近总是提不起劲玩方舟，尽管在过去三年她是我最喜欢的游戏之一，看夏活怎么样吧。<br />————————<br />还行吧，有活动的时候上上号，其他时候还是没啥动力😶期待终末地🙏🙏🙏<br />_________________<br />天啊，又坚持了一年，已经成为手机上唯一还在玩的二游了。作为一个时常摆烂的玩家来说，这游戏还是比较舒适的😋😋,1,2024-07-03 14:37,未提供
486731180,SX_十三点,5,很好玩啊，而且活动打满了（第一次）。这次活动有大佬带，只要你放置干员合理而且能够C就没问题。（我也只能靠烛煌c打输出了😓）,,2025-04-05 06:25,未提供
22240666,Passerby White,4,只能说你游可玩性不高<br />前期肝，中期研究，后期养老<br />干员练度差不多的话，每天勤点我认为几个月时间就能推完主线了<br />在二游领域我觉得还算是可以，没有什么恶心人的抽奖机制，60小保底继承抽数还是不错的<br />平衡做的不错(无非就是你我数值都叠上去了就做到平衡了)<br />不过至少没让一些old坐冷板凳，甚至比一些新出的干员好用的多<br />最大的问题就是后期极其枯燥，基建收菜，挂个代理就没了(集成战略，生息演算全通)<br />比较适合有耐心的群体，前期的关后续开了小号也不想打,,2025-04-05 02:21,未提供
705188792,刘逍遥,4,感觉还不错 有点好玩 就是刚入坑 有很多不太懂的地方 有没有老玩家带一下 或者一起玩 还是有点不太会排兵布阵,,2025-04-04 22:51,iPhone 15 Pro Max
567217149,墨昕,3,本来就没有多少六星，还一直给我重复的,,2025-04-04 21:51,未提供
72140316,夜无言,3,新玩家谨慎入坑，要么是新手时期继续抽卡来拓展自己的box导致没有多少储备来抽限定池，不要听什么限定等歪，限定都是那两个up，其他要歪出来还是不容易的，特别是现在划了一部分常驻到中坚池，期中还有不少都是很有用的，再加上新玩具材料储备不够，练度跟不上关卡推进，玩起来很难受的,,2022-03-19 16:46,Huawei Mate 50 Pro
3245713,6/1,5,手游市场清流啊，现在看没有战令氪度还不高的二游还有哪个，之前刚出水陈的时候入坑的，没看过剧情，一路靠着水陈横推过去，游戏玩法策略也是很有意思每一关尤其是中期运营结束后的那种解压感简直太爽了，可惜玩到后面有个卡池歪了，心态有点崩把号给卖了，后面真是务必后悔，前年夏活又开始创个新号开始玩，现在也是爬到了120，所有活动主线能打的都打了，前期氪了有六七个月卡，后面就一点没有氪了，不过真不影响，卡池都是30左右出，简直太良心了,12,2025-04-04 11:59,未提供
646947784,Mr.f,5,零氪党不适合这个游戏?,4,2025-04-04 09:39,Vivo IQOO Z9
