用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
709609279,赤青宵,4,如果官方能看到我的消息的话，我希望活动和活动复刻别做这么快了。这些天为了限定角色，魔方全都消耗完了不说，而且随着新角色来港区和老角色返场，船坞又不够用了。扩建船坞需要钻石，关键我还是学生党，不氪金，只靠任务获得的魔方和钻石根本不够用。,,2025-04-05 17:20,OPPO A5 Pro 5G
47531961,柒,5,这就属于什么时候入坑都没问题游戏，如果能有第二部的话希望就是做成像地雷社做的crosswave的加强版就好了😺,,2025-04-04 23:20,小米15
708874782,碧虚淼淼,3,萌新玩了一个月左右，福利待遇和涩涩确实非常顶没得说，但玩起来太肝了，对时间有限想玩休闲副游的上班族不太友好，本来很想入坑的，最终只能无奈退坑了。,4,2025-04-04 04:07,华为P40
568067345,刻辰魈,5,福利给的很多呀，皮肤这些也是可以靠打关获得的石头白嫖的，画师画的皮肤质量也非常的不错，皮肤彩蛋也做的很好，以信浓兔女郎为例，做的太好看了呀，大力支持,,2025-04-03 22:08,Vivo S1
59871830,茗,1,你游什么时候能加个保底，又不是靠角色赚钱，每次卡个紫船到最后，这种事除了刺激玩家血压还有什么好处，雅努斯三年前的船，刚出我就买了皮肤，到现在还没捞出来，常驻池捞了几千发有了，一点水花看不见，现在皮肤出了没有船再好看我也不会先买了，一次给我整出PTSD，再说除了彩船其他角色基本上都是厨力角色，卡在池子里除了影响皮肤流水还有什么意义，你不会觉得正常老玩家真的会买魔方吧，放个图免得被说是云玩家,4,2021-11-13 01:03,未提供
711035514,史珍香,5,自建号开荒会有点难受,2,2025-04-03 03:27,Honor 70
10856903,沧月1626,5,我普利茅斯的l2d皮肤和婚纱呢？,1,2025-04-02 20:36,一加手机PHP110
400573949,Jerry君,4,游戏是个好游戏，但是能不能给金船或者紫船加个保底啊，死活出不来,1,2025-04-02 15:02,Vivo V2046A
9083739,枝寒落知世温,5,刚开服那时候有新鲜感不过号码忘了后面重新玩就咸鱼了当收菜游戏了，说实话那个3D模型从玩法上来说不如玩3d定制女仆有游戏性，养成计划不如去玩希儿，但是你游的音乐、角色总是以模组的方式出现在其他游戏里。,1,2025-04-02 13:40,未提供
688619748,676,5,除了可玩性不强，其它很好,,2025-04-02 10:06,Vivo IQOO Z9 Turbo
415695480,金宝宝,5,有啥游戏像碧蓝航线一样可以免费得皮肤的,1,2025-04-02 07:33,华为荣耀9X
30237874,极限怪异历战辣酱,4,我是接盘代打的，所以只从游戏性评价。什么时候金皮给保底，心情系统改版什么时候补上一星。,,2025-04-02 03:16,三星Galaxy S24+
105810048,永恒,5,陆陆续续玩了好久，差不多四千小时，如果说让我玩的很舒服的网游，碧蓝，只此一家。不会逼氪，买皮肤💍全是我自愿的！不会出现氪金就影响游戏性，更不会有战力榜，pvp，可咸鱼可爆肝，八百老婆入被窝，总有你喜欢的那一款。<br />不过丑话说在前，游戏没有高级操作，并不适合大部分人，就挂机游戏，入坑可以斟酌，卡顿，断网各种未知问题有够折磨人，工作室是不是全请的画师，没人处理一下各种bug<br />还有，能不能把战局内和界面语音分开来，战局内老婆们有够吵的，但是关闭了，我就听不到界面了！！！！！！,6,2025-04-01 17:34,OPPO Pad 3 Pro
24119753,Curb Your Enthu,5,资源获取💎：每天每日做完大建基本不会缺资源，国产游戏里绝对是数一数二的业界良心！！<br />立绘建模💃🏻：Q版小人很可爱😋一些皮肤很顶😍<br />咸鱼游戏打发时间很不错<br />最后说一句拉菲酱天下第一！！！！！,1,2023-04-19 15:34,Honor Magic5 Pro 5G
15818292,忆丶,5,好玩爱玩刚玩几天每天在线八小时，就是能不能把礼包放显眼点，我累死累活肝到65级才发现只需要30块就可以直升70级，那我浪费的油谁给我补啊😭,,2025-04-01 09:48,Vivo IQOO Neo9S Pro+
485853092,✨এ᭄昨天ོꦿ࿐,4,角色很好看，但是关卡为什么要一直重复的打，就算挂机也要很久，作为一个休闲的副游，真的不愿意把时间浪费在关卡挂机上。,3,2025-03-31 19:35,未提供
323878076,雪风,3,今天雪风大人锐评碧蓝航线nanoda<br />第一：指挥官建造的时候，经常是彩早就出了，金紫能卡半天，就连雪风大人的运气都不能帮助指挥官抽出来nanoda<br />第二：0.125程序员老是发力，3d宿舍老是惊现各种bug，而且还很卡，不过也好，这样指挥官可以少去找安克雷奇她们可以多陪陪雪风大人nanoda<br />第三：去年画的大碧庄园这个饼到现在没消息，雪风大人还想去和指挥官一起种地nanoda<br />第四：不给雪风大人出新衣服，这是大罪nanoda<br />3.24： 雪风大人生日快乐！！！,14,2024-07-24 07:37,Huawei Mate 60 Pro
696602117,百夜霓の昼,4,好玩爱玩，除了关卡要重复打以外都好,,2025-03-30 22:47,Vivo IQOO Neo9
400205691,rosmontis,2,💃🏻立绘建模：<br />好看<br />💎资源获取：<br />魔方天天送，追着你塞<br />🧝🏻‍♀️角色人设：<br />信浓什么时候出婚纱www<br />--------------------<br />2025.3.3<br />自鲁梅之后皮肤拉胯，bug不少，不是很想玩了，月卡都想断了😂<br />这期埃及的皮肤质量也是个人感觉不过关，皮肤都做不好那我还玩什么碧蓝航,4,2024-09-14 12:04,小米13 Pro
709439375,哦Fis北碚,4,主要就是那些剧情和联动，如果玩久的话，基本上就有点儿没意思，，可以换换游戏，是为了玩法进来的话，真的没必要<br />其实玩腻了的话，可以去试着玩玩碧蓝航线，玩法也差不多，但是走格子的话会更有趣<br />💃🏻立绘建模：<br />挺可爱的,1,2025-03-29 18:42,华为P40 Pro
633930487,xzxznb,5,碧蓝航线很无聊，但是就这个xp爽,1,2025-03-29 15:48,华为 荣耀30 青春版
13233384,窮(╥﹏╥),5,刚入坑，除了有点单一，就是缺油啊，干了三天油没了…<br />其他的都很棒，角色很好看😋,,2025-03-29 15:21,未提供
576040202,初九,5,我那个爆痘你的意思是说，我在碧蓝航线能玩到中国式人生。,2,2025-03-29 14:30,Huawei P60
482639142,一个路过的哥布林罢了,4,一款巨肝但是一点也不氪的游戏，这游戏的付费钻石甚至都能肝出来，作为一个副游来说在减负这一块说实话挺失败的,,2025-03-29 13:43,未提供
593072998,大头爸爸,5,不需要肝，非常轻松，没氪金也能玩,,2025-03-29 08:44,未提供
