用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
17894902,奥托小姐,1,什么时候角色评级和任务列表加个一键领取，一个一个点，一次只能领一点难受的要死,,2025/4/5 2:12,Vivo IQOO Neo7竞速版
396963514,EY,4,唯一不满意的就是粉键判定必须上下用力划，但凡力轻一点都能直接断触,,2025/4/4 22:40,未提供
430586019,莫斯提马的狗,4,wsd你想钱想疯了新作都什么鬼东西，hhw作为老团没人权出场都不行是吧？,,2025/4/4 8:54,华为 Nova 5i Pro
569328505,sclience纸牌,5,曲库数量庞大，还有多人协奏，就是找自己想弹的歌有点费劲，总体感觉非常棒✺◟(∗❛ัᴗ❛ั∗)◞✺,1,2025/4/4 14:10,OPPO A92s
547922358,阿噗噗晨,3,更新完疯狂掉帧，手指使劲按都判定不上，我真受够了😓😓😓,,2025/4/4 2:31,未提供
48115566,🖕🎨,5,诚招对象 要求如下：<br />7秒内在仅在perfect情况下，得分提升150%,1,2025/4/4 1:04,未提供
707396423,我要玩世界计划,5,帮帮哈，它是有点力气和手段的,,2025/4/3 21:10,华为P40
39608330,ximodu520,1,打击感和判定真的很差,1,2025/4/3 2:08,Redmi K70 Ultra
68245068,笔墨绘星河,5,要是练习卷再多点就好了😭,,2025/4/2 23:02,未提供
420956046,千代-_-,1,不如世界计划,1,2025/4/2 20:15,未提供
37357546,魅魔高松灯,5,国服运营大好，这是我玩过最好玩的肉鸽，里面居然还带了一个点击钢琴块的小游戏！,,2025/2/10 19:42,未提供
343669301,叮叮猫,4,总体还行，角色卡面好看，就是能不能改改那绿键判定和卡池当期限卡出货率,,2025/3/31 23:32,华为P10
578913094,散散子,5,玩邦邦很久了，很好玩,,2025/3/30 20:39,未提供
581157002,。,5,😋我永远喜欢RAS,2,2025/3/30 14:12,未提供
1208682,yumeno,5,玩邦邦马上六年了!!tap记录只是冰山一角，我真的很喜欢邦邦😭<br />国服也会有本地化优化，在b来说是运营的很好的了，福利也很好（日本和国内的节都过导致送的很多），就是练习卷能不能多点哦内盖，不想开pass就真的仓库一大堆升不满，6年的都升不满更别说萌新了😤😤<br />希望能一直玩下去，从前邦邦很冷很冷但是环境很好，现在热起来了也希望环境不要变得太差啊啊😐😭😭<br />二编：谁知道我的那个付费星石3怎么来的吗，怎么会有5倍数以外的啊😨,26,2025/3/26 14:22,小米13
582924825,落,3,游戏是个好游戏，但我的游玩体验并不是特别好，那个技能提示特别挡视野，能不能调个位置，放在键盘正中间特别难受,,2025/3/30 3:48,Vivo IQOO Neo6 SE
378067695,希望未雪,5,福利送的是真多<br />国服别上母鸡卡好吗,,2025/3/29 23:38,小米24122RKC7C
483956395,ghatrQAQ,5,国内运营的标杆😤,,2025/3/29 13:55,华为 MatePad 
651050177,萝EU,5,虽然我玩的音游不多，但这个是我第一次玩的久一点的音游，这个游戏是我无意间在tap上面刷到的，进来看了一下评分，真的惊到我了，第一次见这么高的评分，我本人也是个比较喜欢音游的，所以就下载试了试，本以为也会玩不一会就删的，但是最后还是把我留住了🤧（中间因为内存不够删了几天，最后又耐不住手痒又下回来了😂）这个爆率是真的高啊😭福利也不是一般的少🥺<br />画风很好，曲子有的是真的很权威啊😋👍（这里推荐一下劣等优等😋）<br />到现在我其实一直有个疑问，就是绿色的杠杠到底该怎么按啊，是从一开始按到最后再按一次，还是一直从一开始按到最后就松手？👉👈,13,2025/3/28 23:44,未提供
503145168,兮瓢儿,5,太棒了 hina太萌了 平时打日服国服差点被我忘了😁申请修改邪神卡,,2025/3/28 21:32,HYUNDAI Y108
654609941,桉了吗,5,邦多利真好玩😋,,2025/3/28 21:13,OPPO A55 5G
23089507,風,4,怎么说呢这游戏肝度着实太肝了，看着母鸡卡前四集入坑，然后后边的剧情看破防了，现在坚持把这坨事给吃完了等后续看游戏会不会改剧情吧。<br />说多了这游戏活动挺多的，多人协力氛围也挺好，就是活动也太肝了，游戏重复打的多了有种每天上班的感觉，并且产出和消耗差的非常大，攒一井需要的时间着实太多，相对来说确实算是粉丝向的，这游戏给我这种对音游不大感冒得来说最多就是每天打三把之后看剧情，后边更是每天三把都没啥心思打了，还是小人互动好玩,,2025/3/28 17:05,未提供
40300879,夜蚀,3,2025.3.28<br />回来了，xs，当盆栽随便玩<br />2025.3.19凌晨正式退坑，真绷不住那个体力系统我能忍这么久，给的星石也少，再过半年mygo要么各种fes要么混活就一次团活谁爱玩谁玩，ave mujica烂完总算下定决心。<br />养成类音游，本来是因为mygo入坑结果又粉上了r组，攒给mygo的钻花给磷子了。。得重新攒<br />7.15<br />90发砸下去没一点东西，没保底坏文明。,9,2023/11/8 4:04,小米Redmi K40
