用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
12870678,国 荣 ♬,1,哟哟哟，游戏做的不行还不给说了，直接给我禁止发布评论👍🏻👍🏻👍🏻，天天发抖音短视频就可以了，不用优化游戏，外挂也不管了,3,2025-03-26 00:24,小米Xiaomi 14
429397074,ศรัทธา,2,外挂满天飞，绿玩随便封，10把航天9把挂，剩下一把紫气东来，你游就这样了,,2025-04-05 16:57,HONOR AMG-AN00
389951243,Evan,1,这游戏声音系统做的是有多烂啊，玩了其他游戏再过来，闷的像在鼓里一样,4,2024-12-15 10:47,未提供
82900935,小哲﹑,1,什么时候削盾兵（被恶心一次堪比失去100个大红）<br />2024.9.26<br />好玩（指全面战场模式），特别是玩蜂医到处救人的感觉:D<br />烽火地带的话我个人不喜欢这种模式，所以我就没玩（除非朋友要我陪他玩）,1,2024-09-26 21:57,Vivo V2314A
442935943,爱己近在咫尺,1,不仅时常乱封号，而且外挂到处是，外挂不会给你封的，爆率也是一坨甚至不如暗区，S4要不你就别做了，今天打着打着又给我绿玩封号了真的太有意思了，美术也是一坨，不知道游戏的资金滚到哪里去了，Bug你是不会改的，皮肤你是天天出的，喜欢打竞技的这辈子不要去碰烽火，乱封号还影响其它游戏，一个游戏，一个摸金游戏可以做到打不过撤不出摸不到赚不了，起码有十次都是误封，现在还影响我玩暗区突围，你这游戏真的做的越来越有意思了快点倒闭吧,1,2025-04-04 17:03,Honor Play 40 Plus
531273769,厉害的死神,1,这个游戏爆率可真低，连个大红都不给，我还不如退游呢，我都退游五回了，能不<br />能给我个大红啊？不能给的话，我是退游了,,2025-04-05 14:03,OPPO A92s
709770105,MLY宇神,1,不知道为什么我用的平板，他总会黑屏进都进不去，但是能听到加载画面的声音，就是这样🔽,,2025-04-05 13:49,iPad Air 2
535858826,花,1,乱封号，有可能你玩着玩着就是一天或者三天,3,2025-04-05 08:30,Vivo V2417A
64927301,新城已无旧少年,1,游戏玩法确实不错，人物啊活动啊什么的挺好的。我是开服五天后入坑pc端的刚开始玩感觉挺好大战场，烽火地带都有玩。<br />主要说说这个烽火地带啊。没玩过其他搜打撤游戏，没法跟三角洲做对比，其他游戏直播还是会看一点的，总体来说三角洲的人物，枪械，反馈都不错。接下来就按照这个搜打撤评价一手。<br />【搜】<br />摸金摸金，没金你摸什么？一个大保险绝密一紫一篮也是见过的。别人不知道，我出红概率少的可怜啊，虽然出过非洲之心但是咱就是说这个爆率问题真的一坨。总的来说就是摸不出来。<br />【打】<br />这个深有体会，这种FPS游戏装备差距打不过我不说什么，但是这游戏的天才少年是不是有点多啊猛攻有打不过，维克托修脚修不过拿mp5的还只打我一条腿二打一没打过，还有开挂的太多了，死了举报我的包又回不来。还有逆天匹配机制的我一个钻石给我匹战神的有的是，咋滴人家给你了？来杀我泄愤？一句话打不过。<br />【撤】<br />大坝，长弓溪谷都好说。从巴克什就变了，直到航天基地你在这养蛊呢？人家玩什么乌鲁鲁堵桥总的来说还不是就那一个撤离点啊，你像大坝那样谁跟你堵桥玩？撤不出。<br />策划可能会想，一局搜出大红，三名干员相互配合全歼敌方小队然后肥肥撤离。实际上都是小紫小金和放不下保险的红，一般的野排玩家哪有什么配合，不挡抢线就不错了，打着打着就剩自己一个准备混烟或者丢包撤被鼠鼠阴了。搜不到，打不过，撤不出的搜打撤游戏？,,2025-04-05 06:47,未提供
71449934,萧,1,不是官方出来解释一下我好久没玩了刚下回来就给我出这个是什么个情况,,2025-04-05 05:05,Vivo IQOO 10
