用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
664980480,圣君贤相,5,蛋仔派对给我的感觉是很有趣的。<br />毕竟圆圆的蛋仔，在笨拙的去闯关。面对一次又一次的失败。面对一大堆的对手 这样的游戏玩起来感觉是很棒的。不过有一说一哈。游戏里的淘汰有一点点太凄惨了。32个人里面只有一个人胜利。其余的人都被淘汰了。<br />这会有那么一点的凄惨。不过。不论游戏的难度。就单纯讲一下游戏的趣味性。这游戏算是拉满了。玩起来非常有意思。操作性是非常高的。大家就算氪金也不会拉开太多角色之间的差距。<br />总体而言吧。这个游戏玩起来是很棒的。,1,2025-04-05 15:38,Vivo IQOO Neo9
696748878,.job,5,从第二赛季就开始玩，好吧？也是老玩家最爱鸡块妹😚😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘蛋仔派对爱死你了,,2025-04-05 15:10,Vivo V1921A
631714495,恋悦,4,我想问一下这个是官服吗<br />他图标是啥,2,2024-12-29 11:36,OPPO A55 5G
347668902,媛媛.m,5,想要皮肤，从临客玩家变成氪金,,2025-04-05 11:52,Vivo V2426A
607892819,那你冬天新来,1,我覺得非常好玩但是我很不開心，因為我丟了一個號。,4,2025-01-18 16:42,NZONE S7 Pro 5G
698660039,竽念,5,游戏里面画面是真实的 还有好多好玩的 ，刚毅出的皮肤也特别好看 我的名字是 ：   愛蘓..       希望刚毅能送我一个 皮肤Ok 谢谢 祝刚毅   天天开心,,2025-04-05 09:24,OPPO A9中国版
631963616,👿👿👿,4,很不错的哦，非常建议你们一起玩！,,2025-04-05 09:06,OPPO A11中国版
684632029,侯欣然,5,就是那个我想问一下，他一开局会不会有那个呃蛋逼呀？因为我有两个号，一个是top的号，一个是呃自己下载的一个号去,,2025-04-05 08:48,Vivo V2080A
705893768,小鱼,5,好玩我从第七赛季开始玩的一直玩，一直玩，超级好玩,1,2025-04-05 08:04,Vivo V2002A
711258304,徐于婷,5,🙌🏻合作体验：<br />超级无敌巨无霸好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好。都好,,2025-04-05 07:54,Huawei Honor 30 lite
705188792,刘逍遥,5,感觉还是一款比较好玩的游戏了 最近喜欢玩逃出惊魂夜 经典排位模式没意思了,,2025-04-04 22:39,iPhone 15 Pro Max
69507249,(๑>؂<๑）,2,真恶心，莫名其妙禁言，我和朋友用语音也被禁了，我干什么了，玩个乐园也能被禁，监听玩家语音，找关键词禁言，垃圾啊<br />好恶心啊为什么要在乐园里加广告插件啊，还tm强制更新，不更新游戏都进不去,5,2023-03-23 21:05,OPPO Reno7中国版
488282595,466464464864,5,这个游戏特别好玩，我就开始玩这个游戏特别有意思,,2025-04-04 21:47,Vivo Y55s
454927631,阿白白白,5,怎么未成年退款？,,2025-04-04 20:24,Redmi Note 12 Turbo
661973188, 絕愛™,5,非常好玩， 就是没有新皮肤 ！😅,1,2025-04-04 19:29,OPPO A9中国版
651047508,弄聆,5,这个是官服吗,,2025-04-04 19:15,vivo Z3
628705920,我是芭芭拉的猫咪,2,1.我也算是个老玩家了 之前蛋仔的风气一直不错 可是直到现在蛋仔的风气越来越不好 各种小学生在到处骂人 还有各种开黄腔的<br />2.蛋仔官方是真的当别人没玩过其他游戏 我听说最近蛋仔新出了一款皮肤 是护士小天使主题的 但是我想请问 为什么和ys的希格雯雷同呢 本来之前蛋仔就有抄袭风波 现在抄的更明显了是吗<br />3.里面地图资源还可以 但还是有小孩子拿女性开黄腔的 举报也举报不了<br />4.为什么打两星？（蛋仔小迷妹迷弟别破防）能给两星已经不错 半来想打零 但一想蛋仔也是开游多年了 还有各种各样的优化 但是我是真的不知道你优化了这个有什么用 使简单的操作变得比原本更复杂<br />5.总的来说还是不推荐入坑 小学生就千万别玩了 里面好多诈骗的 还有不堪入眼的东西 成年的 可以体验一下 但最好还是不要玩,1,2025-04-04 16:38,华为BTK-W00
686863914,黑瞎子,5,虽然说有点儿卡但是非常好玩儿。可以试一试。,,2025-04-04 16:24,Vivo V2203A
100076839,噬血风情,5,我喜欢的人之前玩这个游戏<br />她被孤立的时候常常给我发这个游戏的日常<br />但我很傲娇，只是一直让她陪我打王者<br />现在入坑了<br />她也不在了,1,2025-04-04 16:17,Redmi Note 10 Pro
