用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
696432312,。。。,5,可以体验一下，剧情不错，但可能会有点迷,,2025-04-05 20:13,OPPO K7x中国版
679295528,云淡风轻,5,剧情很好,,2025-04-05 17:35,Honor Play 40 5G
700357357,qqqqq美女,5,刺激，感受到了友情，亲情，自我，爱慕，传承，等待 ，与纯真,1,2025-04-04 22:59,OPPO PGGM10
402380140,User402380140,5,毋庸置疑的神作<br />第一次回溯时间的是葵啊,2,2025-04-03 09:48,Redmi Note 10 Pro
434114561,不忆往事,5,没有别的可以说，剧情神作,1,2025-04-03 01:08,Vivo V2148A
651407597,哈哈哈,5,好好好,1,2025-04-01 22:53,未提供
611873270,半束流光,5,怎么付款怎么付款怎么付款！！！<br />点支付除了黑屏一小下就没反应了！！！,1,2025-04-01 22:50,未提供
439951893,User439951893,5,不多说,1,2025-04-01 20:36,iPad (5th generation)
700099883,空入,5,呜呜呜太好玩了，春人你一定要和葵在一起啊啊啊啊啊啊啊啊啊啊啊啊😭😭😭😭😭😭😭😭😭😭😭😭😭,1,2025-04-01 19:51,OPPO Reno 5
50432703,江牢湿,5,虽然还没有玩完，但我觉得这个游戏做的挺好的，一开始我以为就单纯帮主角春人找回丢失的记忆，但是到了后面整个事情变得扑朔迷离，一个个人物的关系连在一起，所有的东西都指向七年前，石打是咲的父亲一出来给我CPU干烧了，后面等我打通关了我也会在发一下我通关后的体验,1,2025-04-01 01:58,Vivo IQOO Neo9
353813795,User353813795,5,特别特别特别伟大……<br />刚开始老是怼着家具一顿乱撞希望撞出点文字来后面发现只需要按对话要求移动就好……互动性非常少但是你们真的都给我去看完啊！！<br />剧情真的，超级，超级好看——好多的反转特别惊艳！大家都无敌可爱啊呜呜呜看的老夫心都化了。<br />音乐很有代入感！好听<br />玩完后想买dlc但是发现无法微信支付。。不过还是很好的！！结局是可以免费观看哦！结局超级美好——he患者美美躺下~<br />你们一定要好好的在一起啊！不管什么时候。,16,2025-03-31 21:58,Vivo V2123A
457835105,咍,5,前有《叶无音》千刀万剐，后有《我在七年后等你》剁成肉馅。😥😥,3,2025-03-31 21:39,一加手机6
685860240,阿楼,5,剧情真神，幸好是个完美的结局，不过自己玩有点烧脑，需要看解说才能看懂，虽然可能性不大，但是我希望能出动漫，做成动漫肯定泪崩,1,2025-03-31 14:00,Huawei Enjoy 60
386060120,囧小羽,5,剧情是我当年玩过的所有游戏里最新颖最催泪最完美的。那时候我好像才五年级，就把人物表以及他们的简历全部誊抄了下来，可见剧情吸引力有多大。结局更是令人唏嘘，淆然泪下。玩玩之后印象非常深刻。在我玩过这款游戏的五年后。也就是今天，我又来重温神作了。,12,2025-03-31 10:24,OPPO A3中国版
646262888,Calman,2,"关于这个故事,他们就不能换家医院吗?~<br />其次穗乃花和咲,都七年了还没有移植?谁在一家医院住这么久,治不好早换了很多医院了,再就是住这么长时间费用也不够呀~",3,2025-03-31 04:10,Realme X7Pro Ultra
689752369,哈哈哈哈,5,我很少评价一款游戏，《我在七年后等你》在我心中的评价已经超越了我这些年来玩的大部分游戏，虽然是像素风格，但里面的剧情，每个人物的形象塑造鲜明，充满了情感。游戏的共鸣感极强，能轻易代入角色，体验他们的喜怒哀乐。更重要的随着场景变化的的配乐，更能让我感到共鸣，整体而言，这是一款能触动心灵的作品,3,2025-03-31 02:23,Vivo IQOO Neo10
82733150,那不好嘛,5,不错的剧情，好几次差点大坝就决堤了，还好在临界点止住了,,2025-03-30 23:05,Vivo X200 Pro Mini
510285229,听＇风,5,剧情起伏，非常有意思（稍微有点烧脑），很感人，音乐恰到好处（还是左右双声道！）多的我也不说了，评分摆在这里1.8元还要什么单车（DLC番外要额外6元，如果你一开始就想买那就先买再玩，不然有广告，影响观感）<br />还有就是，我明明玩了好几个小时，这里给我计30分钟，TapTap你什么意思！？,2,2025-03-30 15:30,未提供
525171047,玫瑰少年,5,💗共鸣感：<br />我感觉我和里面的一木医生很像，很憧憬朋友，我希望我有一群的朋友，我也希望是永久的，而不是阶段性友谊，因为我接受不了，我害怕我会去逃避，而我现在有了朋友，但我不确定能坚持多久，我希望未来后还能在一起，有说有笑😁,1,2025-03-30 14:52,OPPO A56 5G
441972409,gkccig,5,玩了一整天，流了一床小珍珠<br />💗共鸣感,,2025-03-29 23:33,Vivo X9i
12609894,QQ用户12609894,5,“那就4月1日”<br />“好……七年后的4月1日，就在这里”😢😢,,2025-03-29 22:19,Vivo IQOO Neo9
421178293,森屿初夏.,4,剧情有点新意但不多，四颗星是因为我觉得剧情太长了，我到后面直接就是没什么耐力了，前面特别多伏笔，全都是后半段才解释，玩到结局我也没很大感触，游戏剧情的感动全被前面不明所以不知道伏笔的时长消磨完了<br />🌃画面音乐：<br />他在一些高潮时候的音乐我觉得特别好听，满分，整体我觉得很治愈温馨,,2025-03-28 07:34,未提供
445893874,Cyang,5,很好的一款游戏，很久没这么感动过了。,,2025-03-28 00:42,小米24117RK2CC
708201017,prince H,5,我没哭，我只是泪腺崩坏而已<br />看过那么多有类似地方的番了，我怎么还是哭了啊😭😭😭<br />18年牡丹大学牲表示，没经历过，但是还是哭得很惨（在宿舍里躲在🚾玩的），真的存在这样的爱吗？🤧🤧🤧<br />第一次哭是在穗乃花和春人说不想让咲哭，这是她唯一的骄傲，真的哭死了（友情刀更杀我）<br />我好像对写信啊纸条啊这种东西比较有感触<br />（之前看未闻花名的时候也是看到面码给大家写的信哭了，结局倒是没哭😅😅）<br />好多人说画面简陋，但是我真的觉得像素小人很可爱（我这奇奇怪怪的萌点）<br />反正很推荐，音乐也很好听～,20,2025-03-27 10:48,华为Pura70pro
335590349,inksans,5,我在七年后等你<br />💗共鸣感：🌟🌟🌟🌟🌟🌟🌟<br />🍃舒适感：🌟🌟🌟🌟🌟🌟🌟,,2025-03-27 09:03,Vivo V2426A
64480872,デート,5,玩哭了，用着像素风格却述说着最美好的爱情,,2025-03-27 03:08,Redmi K70 Ultra
589643708,苍南,5,看似很平常的事，但是就是很有共鸣感,,2025-03-26 23:23,Vivo IQOO Neo8 Pro
383270598,嗷,5,伟大无需多言，永远的神作。我只是想见恨晚。这游戏让我想起了很多，想起了亲春时期那个懵懂的我，还有我所遇见的那个单纯的女孩。<br />哪怕是身患绝症，哪怕是一次次向失败发起冲锋，哪怕是将所有的希望一次次寄托他人。她都没有放弃，葵的机会只有一次，一旦她离开了小镇，忘记了春人，那么也就不在会有春人的故事。而就是这唯一的一次葵做到了，她回到了过去，并为春人创造一次又一次机会，直至成功。无数的日夜，无数的记忆，无数的试错，无数的重复。<br />每一次给予春人的机会，她都要格外小心，一步步的按照曾经的脚步，找到一木，说服石打，说服院长……17711次，每一次都要成功。可即便是春人，也花了五次才说服了院长，让他和一木和解……<br />葵的努力，葵…………😭😭😭<br />所以，请不要轻易放弃改变当下的机会好吗？也许这是无数人梦寐以求的机会…………<br />你一定要收获幸福……陌生人！,17,2025-03-25 22:16,Redmi Note 12 Turbo
347278391,User347278391,5,看到那个告示牌我想到了曾经与小伙伴的点点滴滴。直到那个通往天堂的大门启动了。同样他那个钻石也启动了。但是小伙伴离开了。他们说明天见。是啊明天。或许吧。,,2025-03-25 21:29,未提供
605198707,青笋画虾条,5,我在七年后等着你,2,2025-03-24 23:16,Motorola Edge S Pro
670710801,东南,5,这游戏在剧情上可以算是神作了，如果没看过石头吗的话，在看到葵轮回17111次的剧情的时候一定会给我带来极大震撼的。,,2025-03-24 15:00,Redmi K70 Ultra
362057526,神马没坐骑,5,完全是文字游戏的类型，没有什么玩法，受众群体比较小（主要是俯角视角第三人称像素风格讲的医院里的这些事），我妈就玩不下去。但是这游戏就是拿了9.9分，拿了17年最佳剧情。能玩完的我相信都会不会给出差评。<br />21年那个早上打开的这个游戏。下午两点就兜不住了，眼泪哗哗流。当时就觉得为了一个游戏哭两天多是一件很不可思议的事情！我想到了我以前住院的日子，心脏手术前的漫长准备期。我还幻想过——在我体内跳动的心脏，是不是也来着另一个与我有约定的女孩。也能获得那种能跨越时间，超越生死的爱情...<br />我非常想要忘掉剧情再玩一次这个游戏。不过到现在为止，我还是没有勇气在打开这个游戏。我害怕我新的认知会打破我对这个游戏的影响。或者说我害怕唤醒一些伤心的回忆。<br />真正的爱<br />跨越时间<br />超越生死<br />所以请相信她<br />不忘初心<br />因为…,20,2025-03-23 15:49,红米 K70
681247274,。,5,我个人觉得嘛这款游戏做的还不错虽然他的人物建模做的有点像素但是还是很不错尤其是最后的结局这样的爱情是我这辈子都永远得不到的春人为了拯救他暗恋过的女孩走进了时光机里面回到了7年前想要去拯救他的女孩这游戏我觉得做的挺棒挺好玩的,3,2025-03-23 13:44,Vivo V2123A
381610065,啊,5,大概是三年前的一个暑假 无意间在应用商店看到这个游戏 首先是被封面人物吸引然后玩了这款游戏 然后又在去年看到这个游戏重新上架于是安利好友一起重温了 不管是我还是好友都觉得这部游戏真的很好很温馨 过了两遍的我有个想法 有没有人愿意把他改成小说 我真的很想看完整剧情 但不太可能一次性过完全部剧情 断断续续的记性不好一下忘了 这点让我很伤心😭😭,,2025-03-23 00:50,Realme  X7 Pro
367231230,向阳,5,特别推荐！剧情感人！😭😭😭,,2025-03-22 16:46,Realme真我GT7 Pro
522200811,乐蝎儿,5,一边玩一边哭😄,,2025-03-22 03:21,未提供
466245340,叶泠泠,5,真的真的真的真的真的，非常非常非常喜欢这个故事！我真的被他们中间的友情感动了，他们所有人，一个人为了另一个人回到过去17711次！我想让我明白了，自己身边的朋友是多么可贵，自己能活在这个世界是有多么不容易，里面内容很深，我理解的很浅，推荐所有人玩！,2,2025-03-21 23:33,Vivo V2046A
656980209,遗憾小谷雨,5,🉑🉑🉑🉑剧情拉满，中途不慎被刀,,2025-03-21 17:37,Vivo IQOO 12
674962228,cycccal,5,剧情和音乐都太牛逼了😭😭😭，豪丸！,,2025-03-21 17:00,OPPO PFTM10
44407258,o,5,注:游戏《我在7年后等着你》➕张杰歌曲《这就是爱》这首歌曲直接共情能力拉满，差点给我给整泪目了,,2025-03-21 01:18,小米24117RK2CC
32461929,樱か嫑,5,给我玩哭了，9.9你理所应得，刚刚见了女朋友一面才好一点,,2025-03-20 22:46,Redmi K70 Ultra
613599470,龗,5,游戏剧情确实很好，这是以同等基础上进行比较得到的结论。能在2017年一个人独立写出这种剧情，肯定是神作级别。<br />但放在今天还是有些许黯然失色。<br />游戏主体采用免费＋看广告方式<br />DLC（入口在主界面的 番外篇﹠结局﹠完整版 中）分为上下两层，其中第二层的章节可以通过观看广告来一一解锁，第一层包括免费的音乐盒和需要付费解锁的剧情以及人物与名词（百科）<br />付费采用打赏模式，可任意从6到328软妹币7个档位中选择进行支付，所获得的付费内容一致。同时付费后会去除DLC第二层和游戏中的广告。<br />下面是避坑点<br />1.游戏为像素风格（还是比较粗糙的那种像素，看不出五官，年龄）<br />2.整体叙事方式采用类PPT模式（需要你不停的点点点）<br />3.游戏性除了控制走路和对话，并无其他可游玩内容，属于是游戏性比较弱的游戏。（玩起来很无聊，所以重点都在剧情上）<br />它最大的会影响游戏体验的问题<br />1.安装包是32位，不适配现目前高版本安卓系统<br />最快捷的解决方案就是下载 虚拟机，可自行寻找，还挺多的<br />2.打赏微信支付弹不起支付窗口<br />所以只能支付宝支付😓<br />3.不打赏会有颇多广告<br />可以断网（实在是不能接受的话）<br />我挺喜欢剧情的，希望你能在这款游戏中找到自己喜欢的点，而不是一味的去看他人的评论。<br />自己去玩了以后喜欢就是喜欢，不喜欢就是不喜欢。<br />但还请友善发言,32,2025-03-20 16:26,未提供
686408375,1111111,5,个人是闲的无聊 被9点9分吸引 下载后打通的  剧情蛮多的 过了三四天 毕竟我也要上学 画质粗糙可以说就是积木小人  场景更是少的可怜 唯一看的下去的就是剧情但偏偏就是这个剧情 我认为是他配得上9点9分 质朴的爱情 无私的奉献 和深深的羁绊 以及不渝的约定,,2025-03-19 23:06,未提供
