用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
3200591,DIER,1,神人国内代理，把用户自己解绑设备的方式去掉了？,,2025-04-02 14:39,未提供
17445169,赤羽,5,是限免入手的，跟传统下落式音游不一样，反而非常非常喜欢！！节奏音乐人物剧情！为了看剧情又把IM重头到尾看了一遍，封面还会跟随剧情改变吗，好厉害，为此还买了那个135的角色包，第一次花这么多钱，但是值得,,2025-04-02 01:32,华为BLK-AL00
643919157,瀚海沙,5,体验很好，我感觉和常见的下落式相比要更有趣。<br />但是感觉帧率跟不上。可能是我的设备问题，一些速度非常快的屏刷<br />（也就是判定线，我喜欢叫它屏刷）都拖出三四根残影。（有知道怎么进一步提高帧率的吗）<br />判定相当宽松。很好的UI设计，虽然暂时没弄懂，但符合我对未来式赛博朋克风的一切想象。<br />我的游戏时长短，这只是初步印象。我会根据我的体验对评论做进一步修改。,17,2025-04-01 22:44,华为TGR-W10
396137387,折月煮酒,5,感觉做得最好的音游,,2025-03-31 22:13,Huawei MatePad 11
73155735,cy,5,啊？更新后怎么混沌难度还要解锁一次吗？有点绷不住了,,2025-03-31 01:38,未提供
484335535,指定有你好果汁吃,4,挺好的，主要是限免我才下的<br />让我猜猜谁是花钱买的😅,,2025-03-30 21:55,小米24117RK2CC
710626366,🍨,2,凭什么苹果手机要钱！！！,1,2025-03-30 00:57,iPhone 6s Plus
102631773,kimo,5,成绩赛博朋克的感觉啊，动画也做的超好,,2025-03-29 20:46,OPPO K12 Plus
557662086,云顶之巅,5,打了两年还在这个水平，作为拇指党是不是丸蛋了,2,2025-03-29 17:53,OPPO Reno10 5G
453547311,洛,4,音乐还没有那么多但是可玩,1,2025-03-28 22:09,OPPO A96 5G
660362379,幸运k,5,可恶，下了玩不了,,2025-03-28 12:55,未提供
39902227,User39902227,5,闪退啊，以前都没有的情况<br />——————<br />这次更新竟然miku返场，看日期不知道是不是bug，冲了,2,2024-12-08 23:55,未提供
14422631,VXSZ,5,虽然剧情🔪我 运营越来越摆 但我还是主观的认为是神作,,2025-03-28 04:03,未提供
5454130,谭雅·冯·提古雷查夫,5,一点都不好玩，玩了几个小时就没玩了,2,2024-05-14 02:02,三星Galaxy S22 Ultra
518583054,宁子复,5,上手相对较难，因为没有rks一类的定量数，水准焦虑之类的就比较少，打的很休闲,2,2025-03-26 19:26,HUAWEI MatePad Pro 11
26440545,石,5,感觉很好玩<br />🧝🏻‍♀️角色人设：<br />我很喜欢哪个机器人,,2025-03-26 09:22,HONOR 90 GT
624855001,ℳ,5,一分钱买的，豪玩,1,2025-03-25 20:29,Vivo IQOO Z7
529380363,朕,5,不错，就是手感不是很好,,2025-03-24 21:23,未提供
675619742,黯花初放,5,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊——————！！！！！！(´°̥̥̥̥̥̥̥̥ω°̥̥̥̥̥̥̥̥｀)<br />额…✪ω✪，这游戏我纯拿来练手速和感受节奏带来的爽快感！这游戏一开始也是我一个同学一时兴起下来玩的，我看到他玩这个游戏，我就好奇，然后就下载了Tap tap，花了0.1买了，一开始还觉得这游戏难度太高了，自己肯定玩不来，因为我有奇怪的好胜心，看到同学打的关卡难度比我高，手速反应力比我快，我就不甘心，所以根据种种原因玩到了现在，整整六十多个小时，哈哈（｡ò ∀ ó｡），很神奇吧(๑•̀ㅂ•́)و✧？<br />🎵曲库：曲库这边不多说，音乐曲目量很多，我能玩到现在都还没有把三分之一的曲目数量玩完，音乐质量更不用多说，况且还是专门制作音乐游戏的公司呢？<br />🌃画面音乐：整体画风还行，没有可挑剔之处，按键设计得很到位，几乎可以完美地把音乐的节拍规整到位，我比较喜欢的几首歌是lvy里的Leaving All Behind和泡芙的Who Am I？(´×ω×`)该说不愧是混沌，难度指数挺高的(ಡωಡ) …<br />✍🏻游玩建议：不需要充钱，除非个人喜爱，额外的曲包是要付费的，但我是因为neko II，这个曲包才充了钱(´×ω×`)，玩得多玩得越开心，越熟练就越得心应手，这样就能感受到音游真真正正的休闲了！！！前不久我还买了初音联动的曲包，有点搞不懂，为啥很多日本的游戏或者是大部分音游都和初音有所往来啊？？？而且近期我还看到以初音为主题的音游诞生了，不愧是风靡全球的虚拟歌星啊✪ω✪,217,2025-02-06 12:26,一加手机Ace 3V
673506280,古双鱼,4,可以可以，感觉比Phigros好玩,4,2025-03-23 22:32,Huawei Mate 60 Pro
500185576,多久能到教学,5,有史以来玩过最好玩的音游,,2025-03-23 13:54,Redmi Note 11T Pro
66436638,User66436638,5,我没买过呀怎么显示我已购买,1,2025-03-23 03:48,红米 K70
690502988,青春的日落,5,真的很喜欢，难度可以，就是联动曲包这方面多少有点坑，小贵，但是耐玩性很高，主线的话你是需要看的，而且十分不错，过主线同时还能解锁曲包。总之真的很爱玩,,2025-03-22 00:00,荣耀 X30
45052476,hhhhannibal,3,最近重新下回游戏，为什么老是闪退，要么就卡死？😅😅,,2025-03-21 11:01,未提供
669530312,阿巴阿巴,5,满分 满分 必须满分 把分拿好哈 主页内容直接免费 ，曲子也非常好听 而且最后主线的壁纸还要换,,2025-03-19 23:21,OPPO A9x
15529767,青囍寂月,3,我不知道是在玩英语还是在玩中文游戏，英不英，中不中的要干嘛😤,,2025-03-19 09:17,荣耀 50
7423073,凉辞๑噬魔つはん,2,你这游戏优化了什么？以前能玩现在就是闪退😓,,2025-03-19 03:16,一加手机9RT 5G
58165287,手机用户58165287,2,去年买的miku包今年赠品还没到<br />ai绘真是幽默,2,2025-03-18 15:52,华为LEM-AL00
326503914,乐乐,1,🎵曲库：<br />垃圾曲子，我不知道是什么人才能够欣赏得来，恕我福薄，无能驾驭,,2025-03-16 16:18,Redmi K50
84323972,我,4,主播没买，不知道为什么显示买了,,2025-03-15 18:12,Vivo X20
11903623,Melon~,4,为啥我下载不用购买😳😳以前从来没买过,,2025-03-15 10:09,Vivo IQOO 12
516821589,……,5,我是音游新手啦，玩过一段时间屁股肉但是太难了就卸载了，下落式的不知道为什么不是很适合我，这种满天飞的就要好上手许多，还是挺喜欢玩的，我玩游戏都不爱看剧情所以都跳了，挺爱玩的好上手，现在在尝试一些简单的混沌谱子,,2025-03-14 13:15,未提供
2278115,丿寒枫小烨,5,为什么我买完之后卸载然后重新下要花钱？,,2025-03-13 22:53,Realme真我GT6
