用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
402352524,子不语,5,兜兜转转，从初中玩到大三，期间玩了很多二游，但是兜兜转转又回到了fgo，这就是fgo的含金量吗,,2025-04-01 18:18,Honor X40
596758123,我愿用室友十年单身换我十连出金,4,世界观设定是这个游戏最优秀的部分，游戏本体反而在我看来最多三星，所以综合了一下，给四星。,,2025-03-30 23:18,iPhone 11
648411644,星空灬彼岸,4,刚玩，个人感觉游戏挺好玩的，一边玩游戏一边感受角色发展的故事情节。,,2025-03-26 14:02,华为畅享10 Plus
11567660,手机用户11567660,4,还记得那年开服的时候正赶上大一军训，为了玩这个破游戏想尽办法提前加学生会，就是为了不军训能猛玩fgo。<br />带着宿舍几个哥们入坑，一起抽卡互相上嘴脸<br />在没有保底的年代狠狠吃土氪金抽卡大沉船，做暑假工辛苦一个月把钱喂给奶光。<br />后来因为毕业工作慢慢退坑了，说实话，游戏，不怎么好玩。<br />但是谁让我喜欢呢。<br />开服的时候送的四星挑了半天，斟酌了半天选的蛋糕，事实证明，打什么本都几乎用不到，可怕的np获取，温柔的伤害，打星能力也是令人震惊。<br />但她真的很美好，所以那是我的第一个10羁绊，当我把挂着项链的蛋糕放在支援第一位的时候，瞬间就感觉完成了某个使命。<br />直到前阵子不经意间看到了黑蛋糕的信息，原来我的小蛋糕也出ssr了，重新打开游戏。<br />一个五星没歪啊，330抽就一个蛋糕三个哈桑一个阿塔，抽的人都感觉窒息了。<br />byd，一天打了四十个幕间和完整的奏章，才凑够30个十连，真是吃330保底最后一发出的。<br />抽卡方面果然还是以前熟悉的那个，令人崩溃的味道。<br />唉，但是谁让我喜欢呢。<br />看完新章节剧情以后，除了对各位复仇者离开的遗憾，最大的情绪波动，大概是。<br />哇这个学生装的蛋糕，好漂亮！<br />呀这个蛋糕切开竟然是黑的，好有意思！<br />我了个变态发育，这一对雷最少15斤，爱心有些许变质了！<br />喵了个咪的，闺女被人背刺了。<br />那个新的银材料我记不住名字，还差9个，好像换不了，二技能卡在8升9。<br />看着一仓库熟悉的头像，或许我连机制和技能都忘的一干二净了，但没关系。<br />因为我回来了。<br />迦勒底，我回来了。,39,2025-03-25 08:48,Huawei P50
99137568,凤·木兮,5,这游戏没的说，剧情我是真的喜欢不可能退坑的。已经陪伴我八年了,1,2025-03-24 20:48,Vivo IQOO 12 Pro
34674817,Indelible.,3,注销后不能重新注册，还得重修找个手机号，这是人能想出来的吗😅,,2025-03-22 23:28,未提供
61821047,前卫,1,阿福为什么不跟我回迦😭😭😭,,2025-03-22 22:25,Realme真我GT Neo
6506854,缅白,1,噩耗 FGO日服YJG又发癫了，一星献上，木柜子设定不改不氪金,18,2023-05-31 12:30,未提供
357342724,飘香、年糕,1,顶级抽卡游戏，真正的厨力游戏,,2025-03-20 23:43,Realme GT5
447288741,蓬莱山辉夜,5,本质是厨力游戏，紧张刺激的指令卡对战(╳)剧情(√)，这要不是型月世界观的我恐怕都不会玩。,,2025-03-19 13:35,OPPO A32中国版
