用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
611210882,浮天白,1,穿着裙子上战场我不想说了,,2025-04-05 17:48,荣耀 X30
434711888,Floating Dream,1,游戏环境太差，动不动队友就骂人,,2025-04-05 17:16,魅族20
328091625,瘸子开飞机,4,如果有队友的话还是挺好玩的，打的久了就会越来越厉害的，就是前几年打游戏还能有队友什么的，这两年玩都打到王牌了还是没队友😴就这样吧偶尔玩一玩，还是挺解压的~推荐推荐<br />希望下次有个小长假期冲上王牌10⭐！完成下之前没冲上10⭐的遗憾🤗,,2025-04-05 13:33,Vivo IQOO Neo7竞速版
711237517,邦哥,5,简简单单吃鸡,1,2025-04-05 11:41,"iPad14,9 "
412710347,阿诗,5,我觉得队友素质感人我就打了一个月特别想上王牌，现在皇冠我去苟分队友倒了就来骂我，今早打了一把虽然队友没有骂我但是他骂了四号，真的是半句不离妈,,2025-04-05 11:07,iPhone 14 Pro
537362038,466466466,3,🙌🏻合作体验：玩家素质太差了,,2025-04-05 10:06,Huawei Nova 8 SE 5G
708699553,↺,2,挂特别多，举报了也就封个3天。,,2025-04-05 09:25,未提供
24589083,禾苗,1,有时候一堆房子都摸不出一把枪，私人游戏,,2025-04-04 23:03,Vivo IQOO Neo9S Pro+
423388405,故铭,3,还行，皮肤能不能便宜点,,2025-04-04 21:56,联想Z6
695824854,小李,1,地铁不仅掉的东西很多,,2025-04-04 19:04,OPPO A32中国版
711404749,User711404749,1,一直都没有一直没有卡的骗人的吧,,2025-04-04 17:21,iPad (9th generation)
41483620,ヲ,1,网卡，乱七八糟的东西太多了😡<br />凌晨都卡，你是牛的。<br />打得好好的，陀螺仪突然变反方向了。,3,2025-01-09 09:50,OPPO K12 5G
691411421,鑫Z,3,皮肤出好点，玩这个的素质太太太不好了，更新的那些都不管用，2022.23年的时候什么都很好，也没有很多“网络公主”，“素质感人”,3,2025-01-28 22:44,Vivo V2012A
710409019,W可以,2,不满意根本进不去,,2025-04-04 09:33,XYL T8
709547933,爂淼,5,非常好玩啊也是,,2025-04-04 02:03,OPPO A11x中国版
627078959,李胃寒,1,不如PUBG。。。,,2025-04-04 01:06,华为P40
702039932,框,1,和平这个游戏怎么说呢？我入坑了两年，中间换了很多个号对我抵触最大的都是这款游戏，在刚开始玩的时候是特种兵那你慢慢过后就变成了裙子精英是喜欢以前的刺激战场,3,2025-04-04 00:38,vivo Y200i
422688005,。。。,1,游戏环境差，拳补鞭尸骂人一大堆，皮肤越出越花，伤害判定也有问题，我三头三甲ak打对面十几枪，对面uzi6枪给我打死了？,1,2024-07-06 21:15,OPPO PGGM10
629856458,星星默儿,4,还行吧，占空间太大了,,2025-04-03 20:49,Vivo Y66
5988987,锋芒,1,腾讯家游戏完全不知道做流量提醒的，WIFI不知道什么时候断了他就自己在那下，等再看手机的时候已经用了10G流量了。游戏是不错的，刺激战场的时候我就在玩，但是腾讯这么恶心人只能打差评了,,2025-04-03 18:39,Vivo V2426A
707851573,zmx🍐,5,非常好玩。建议大家去玩,,2025-04-03 17:36,OPPO K7x中国版
635486751,蛙心疼,1,遇不到富婆，垃圾游戏,1,2025-04-03 14:38,Honor Magic4
