用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
461376943,淡茶微苦,1,当副游玩挺好😉,,2022-05-15 20:41,一加手机Ace 5 Pro
52641982,♚启♛迪♚,2,过往任务资源删除还是没有吗，明明开始都会让下什么第一章第二章主线啥的，问题是老玩家根本不需要下那么多没用的完成的资源，搞得内存大的要死。<br />看到火露回坑。<br />这游戏太大了，一款收菜游戏比王者大两倍，不知道内存放哪了，每次回坑看到这存量都是完美打消回坑念头，很多第一章第二章的主线之类的新手打完根本不会点进去第二次的内容不知道留下来当传家宝干嘛，不能像王者一样自主选择下哪些内容，官方是真的懒，三年了，一步步看着从5，6G到现在26G。<br />抽到火露立马卸载了，腾空间给尘白。,,2024-07-11 22:02,Vivo V2115A
611151393,奇迹与你,5,什么时候适配鸿蒙系统啊😭😭😭,,2025-04-05 10:04,华为ADY-AL10
410475900,一语老贤,5,💃🏻立绘建模：角色非常有新意，好看精美。<br />🥊打击感：一个字就是爽。<br />特效也是直接拉满了。<br />玩这个就是为了战斗爽,,2025-04-05 09:55,小米24117RK2CC
27940041,已上灵车,5,库洛的运营和美术还是比隔壁可靠多少,,2025-04-05 03:37,未提供
696440117,还击所谓无解,5,跪求官方在主页音乐中加个“星之映画”，真的非常好听😊😊😊,,2025-04-04 19:52,Redmi Note 11E
47531961,柒,4,福利还可以，抽想要的人物开图鉴压力也不会很大，最主要的是有些boss战，可以看出来是有想法的,,2025-04-04 23:48,小米15
414923454,康德,5,🥊打击感：很爽，酣畅淋漓😁<br />⚖️平衡性：大部分机体保值长，有的关卡怪血条长需要时间短不太友好但也没什么影响，蚊子腿奖励谁在乎😏<br />🎮可玩性：非常好，每个机体都有独特的人格魅力；剧情严谨深究具有延伸性，整体看来非常精彩，远超其他游戏剧情水平；一把战斗时间不长，和王者金铲铲之类的比差远了，非常适合我这种碎片化时间多的玩；抽卡每个版本零氪也能每次保底抽到up机体不会歪，抽卡资源充足；但游戏人气低，没啥活人，属于酒香也怕巷子深<br />有时声音大不代表支持人多，一个人喊出99%的声音其他人不出声不能证明支持人多。尤其是机体改名，我都想笑也太难听了。但部分人那思想真是幽默想笑，拓等同坨，机等于鸡，那么这部分人眼中史记是不是ls的记录，新时代还有九年义务教育的漏网之鱼，乐。<br />名称不好听有一堆方法说明机体取名差，但部分sq却非得突出自己“独一无二”的“思想”，跟个小丑似的😝,1,2025-04-04 11:28,未提供
684366819,内个,3,我自己是个21年6月入坑，22年末退坑的玩家，但第一个号是渠道服的(((<br />最开始是被深海星火版本拉弥亚设计拉入坑的，胆小，平庸，苟且求生的人鱼公主(机体还有点蜘蛛的特色)，太像现实的我了。可以说我从入坑一直玩到退坑都是因为拉弥亚，当时天天希望她热度再高点甚至可以出个机体。,1,2025-04-02 00:00,OPPO A9中国版
362566898,云织鸢,2,继承各类二游越打越枯燥的缺点<br />和音画的高质量<br />当然这不是很重要<br />在我较为短暂的尝试中感受到你游社区拉爆的混乱程度<br />不建议心态不好的人在此多作投入<br />（骇死我哩）！<br />🔖运营服务：,1,2025-04-04 17:58,Vivo Y78m
477197213,一条咸鱼,4,后期十分无聊，就版本更新能玩一般时间，喜欢养老再玩吧,2,2025-04-04 14:40,未提供
326842824,韵律,4,除了可玩性，其他都不错，末日题材在库洛手里可以说排在t0，不过有些剧情尤其是前期没配音很可以说这算是引起萌新们退游的一大致命点，福利方面，大多数皮肤可以白嫖，虽然肝但都得都懂,1,2025-04-04 14:07,未提供
55202802,美好一天,1,剧情音乐特效建模都不错，玩法也挺多推荐玩一下，反正我是已经退了，剧情进度到86％，感觉没啥意思了，反正就是提不起兴趣，不过我现在在玩鸣潮。战双现在变得越来越氪，不氪没伤害，老英雄伤害都不怎么高，新英雄伤害一个比一个高，比如深痕，超刻伤害真的低，不能调一下？,2,2023-07-03 16:43,IQOO Neo6
23781646,手机用户23781646,1,垃圾游戏还活着？？？乱封号，客服处理速度只有更慢没有最慢。。。。见过最离谱的游戏，没有之一。。。,,2025-04-04 00:16,一加手机12
15529767,青囍寂月,2,希望设计关卡和剧情分节的人跟关卡内容一样又少又短，还有不知道那么多关卡来干嘛,,2025-04-03 21:33,荣耀 50
420386764,夜莺,4,我是洁塔薇的苟<br />虽然你100%up，但是你能让我在60抽之内出个S吗？<br />玩法还行吧，但是到后面觉得有些没意思（其实所有游戏都是这样的，越玩越感觉没意思），福利前期还好后期有点少，某些活动任务有点难做（上次常羽的皮肤，我花了几个小时都没拿到，就差最后一关了，我去查攻略都说要靠运气），刚开始玩的时候还有一些新手教程容易卡死，画质差了点，角色建模都挺好看的。前期材料多福利多，后面体力（血清）不够材料少福利也慢慢变少了,2,2023-11-29 22:29,Huawei Mate 60 Pro
11875117,GFHL3,4,优点：手感好 福利不错 后出的角色建模不错 剧情不错<br />缺点：部分关卡设计不合理，引导差等<br />后期boss动辄100条血打年糕，用时太长，消磨耐心<br />UI冗杂（老游戏通病了）<br />boss好看不好打,1,2025-03-28 13:45,Vivo X100
546830589,🤍,2,你皮肤池子不继承的话，那你公告不讲，你抽卡规则也不讲，那你们你告诉我你的公告有什么用？服了服了，搞这一套也是神人了，就生怕坑不了钱。那你告诉我，你公告不写，萌新怎么知道不继承卡池，你要是说公告写了那么可以我的问题，你公告不写是几个意思,1,2025-04-02 15:33,Xiaomi Redmi K60E
665209354,霖沫,3,这TapTap的画质怎么回事啊而且还有黑边字幕也挡了我就想给手机省点空间，太久没玩电脑不会用电脑玩游戏,,2025-04-02 12:23,OPPO Find X7
437782008,576876364zuo,5,我有个问题，岩宝还能返厂吗,,2025-04-02 01:03,Vivo Y53t
659779110,还读书等级,5,我只说一句:这个游戏什么都好，就是不好玩。<br />但我们卸载了也有点可惜，半死不活的吊在那里，更新了看看剧情，每天找点时间玩一下。向周围人推荐一下，就是我最大的热爱了。,1,2025-04-01 23:07,Vivo IQOO Z9 Turbo
647623005,椰羊,4,哪都好，真的不好玩，每次回坑都被角色吸引住回去一会就不想玩了,,2025-04-01 23:01,Vivo IQOO 13
323953000,D,2,属于是烂完了，集合了所有可以爆炸的雷电，改s也不改个好听的，还要用削弱其他属性buff的方式来强卖卡，反馈工单也只是摆设，网上骂声多了才改，恶心，神人库洛，呵呵，听话的官方我看未必,6,2024-07-08 21:00,红米 K70
72473803,披褐怀玉,3,💃🏻立绘建模：<br />很精美，超好看。<br />🥊打击感：<br />手感超好，不过也只有这个好了。,,2025-04-01 17:10,Huawei MatePad Pro 11
511447946,不是,1,神人关卡😅<br />逆天战斗😅<br />超绝交互😅,,2025-04-01 10:54,未提供
542962833,剑客,2,打击反馈基本为零，好点的是可以跳过剧情，攻击视角转换也是莫名其妙，技能特效稀碎，现在下回来再体验过了新手教程立马卸载,,2025-04-01 09:39,Honor X20
115705574,混元马老师,4,前期好玩 后面无聊 手感好 特效足<br />但是这些都不重要<br />重要的是黑卡能白嫖且几乎所有东西都能用黑卡(包括皮肤)<br />问哪个游戏能皮肤都给你换<br />即便黑卡难获取 但是攒几个版本就能按你xp随便抽了<br />别人战力高不会虐你 各玩各的 不冲排名的话,33,2025-03-31 23:48,Redmi K50 Ultra
35874917,朕,5,非常好玩，我的号建了一个月，从零打到93级，我特别喜欢战双的活动福利，送的也很多，还有格斗动作，特别热血，就是有些关卡有些难，比如幻痛囚笼的武藏玖型，地狱难度时伤害特别高，我9000多快一万血的雷毛直接干没了😂,,2025-03-31 23:28,OnePlus Ace 2
710389051,྅༽༄,5,好玩,,2025-03-31 23:00,未提供
469373718,@天火,5,神级作品对设备要求不高立绘精美，唯一缺点是太刀了剧情80%全刀，然后再给你点甜让你感觉一切都值了,,2025-03-31 20:56,OPPO A32中国版
17128196,Ludas,4,一路走来玩了差不多四年了，总体不错吧,4,2021-08-21 01:49,Vivo V2426A
569751767,TuAnToTo,2,总体不错  就是剧情拖沓  运镜和碰撞体积莫名其妙 部分剧情画面和游玩方式硬拖游戏时长,1,2025-03-30 23:32,未提供
108565028,森兰尔,4,美术建模都很好，可玩性有点差,,2025-03-30 21:33,vivo Y97
43655301,不吉波普,5,✍🏻建议：<br />你们剧情那么好，为什么不出个小说之类的。我买爆啊。😭😭😭😭<br />战双就是我心中的最棒二游，二游白月光。,6,2024-06-10 16:23,Redmi K70 Ultra
515574641,非,3,不儿，请问把AS改了干啥呢，改了你也得改个明显能区分的吧😓，这黑的红的黄的，颜色也有等级咋滴但凡你用多边形呢，边数越多越高能咋滴，占你内存了？,3,2025-03-30 17:38,OPPO PEQM00
525785688,朴素,5,还可以，个人感觉。,,2025-03-30 16:27,Realme GT Neo2 5G
422827823,岚owo,1,新版火区就是逼人抽新薇拉打是吧，还有你这五星也别想要了,3,2025-03-30 15:32,华为Mate40 RS保时捷版
50100008,手机用户50100008,5,💃🏻立绘建模：五星好评<br />🧝🏻‍♀️角色人设：五星好评,,2025-03-30 11:14,Vivo IQOO Neo5S
435223014,man！,4,看看极机,,2025-03-30 06:24,未提供
687116353,伊貮武,1,切换全部十秒霸体？<br />实际，刚切就被控？？？<br />冻结时间一秒？<br />实际，连控带击飞两到三秒？？？<br />给的那点时间只能打出一半评分？？？？？？？什么鬼？<br />不想弄活动可以不弄,2,2025-03-30 02:54,Honor Play 30
681610749,ℳℓ🍅ℳℓ,5,操作还不错的，小露真的超好看!,,2025-03-29 23:04,Vivo V1836A
645473475,bg,5,说实话，游戏剧情很优秀，对局打击感也很好，但这老是暗改机制干嘛，还我电束区红球！！,,2025-03-29 22:46,未提供
643823750,明妄,2,你喜欢一拓式吗，亲爱的kL，不想做了祝早日关服哦，不用恶心玩家哦，对了，我玩游戏不是来上班的，一章剧情全是解密走迷宫竟然才三百黑卡，还有你游的运营也越来越喜欢装s了，希望继续整抽象活，蒸蒸日上啊😂,6,2025-03-29 22:00,Honor X40i
2029315,凉城,3,一年没玩变得花里胡哨的了，啥都看不懂，跟不上进度。。,3,2025-03-29 13:58,红魔9S Pro+
318892270,烧烤,3,游戏的桌面ui太花里胡哨了,2,2025-03-29 11:46,未提供
396217162,小露我也爱你,5,大佬大佬我可以看看你的极机嘛?<br />大佬我借你的极机玩下好不好?<br />什么?你没有?！刚才不是说有很多极机的嘛?<br />难道说你没有大极机只有小极机?<br />小极机都是假的呢，不如大极机，只有大极机才算真正的极机呢~<br />唉，算了哪怕只有一个小极机也好，大佬，我想看你真正的极机<br />别害羞哦，掏出来吧，偶尔玩玩小极机的感觉倒也不错呢<br />什么?你掏不出来?不会吧?<br />唉?！！真的一个极机都没有吗?<br />好啦好啦，不要难过啦<br />没关系的，你没有极机，我有哦~<br />看要认真的看着哦，呐~我的大极机<br />所以，我能进来嘛?用我的大极机?<br />哈，大佬，你的矿区，好杂鱼呢，被我用大极机秒了吧，浑身颤抖抽搐不停的样子很可爱——等下，这种感觉好奇怪...怎么回事?<br />为什么我也被也秒了?<br />——<br />——<br />——<br />布豪！是一拓式，啊啊啊啊啊啊啊啊！！！,9,2024-08-14 18:20,未提供
318084350,帅到被判十八年,5,刚回归福利不错,,2025-03-29 00:08,Vivo V2343A
395082533,汐,3,电脑玩的，战双给我一种不想玩又舍不得删的感觉，怀着这股又爱又恨的感觉断断续续坚持到现在，最近3次元的事情也多起来了，虽然很不舍，但还是告别了，我会永远铭记这款让我第一次因为删除而评论的游戏,2,2025-03-28 23:02,小米13
673062952,爱莉希雅,5,非常好玩，剧情很甜,,2025-03-28 21:41,Vivo V2111A
683539217,F,5,前期刀子不多后期每个版本都有刀子૮₍ɵ̷﹏ɵ̷̥̥᷅₎ა,,2025-03-28 21:38,China Telecom Maimang 10
25834068,凤彩蝶飞双影,2,唔 武器能别歪了嘛 复刻联动心态都要崩了😢<br />2021/8/26<br />五星我直接降三星，没别的意思，就这单纯的更新开局就让人心情糟透了，你要是需要把应用先卸载再下载就直接说明好，别等人下完了，后面资源不匹配。看着这当时的评论，回望这一路玩的战双，角色个个保底，武器歪次数+2，五频的消失，玩法没有创新点，依旧是那些老套无聊的活动模式，联机互动性还是那样的差。但是一些活动的小游戏也勉强算是进步，角色和boss设计及剧情确实稳定发挥，没太大的槽点，也算是能玩下去的动力了。还有那昂贵的宿舍装修费，如果不是平时送的也挺多，我一定大力吐槽一番。<br />2023/11/1<br />就这样吧，也算是曾经的一段回忆了，更多的话也不说了，反正总有人肯定你的“满满福利”。策划也很棒，空花也真是把玩家当人看，山高路远各自安好。<br />2025/3/28<br />传奇好领导转岗了，太难过啦。又是恶心领导代管，以后的日子该怎么办啊。下回来摸摸老婆们的头求下安慰吧。,7,2021-08-26 17:34,小米Xiaomi 14 Pro
38777130,独自空忆成欢,5,战双帕弥什绑定Wegame可以找回吗,,2025-03-28 21:11,Redmi K70 Ultra
531207686,◢傻【＝◈︿◈＝】颇◤,5,不是哥們黑色星標你是什麼鬼？這不是我比安卡老婆的花嫁皮嗎？,,2025-03-28 15:36,Redmi Note 11T Pro
336832144,兄弟来肘我,3,我真心喜欢的游戏，为什么打三星看最后一段，我恨死库洛了。<br />美工：建模目前见过最精致的之一，早、中期设计超绝，我xp是机娘，早期会画真机械风的设计师还在的时候，出的每一个我都无可挑剔，虽然后面外观设计有点拉，全是千篇一律外装甲，但精致了很多，审美上偏大众了一点。<br />战斗实机：玩一段时间就不觉得难了，手残的话抽俩强度角色也能玩。<br />特效我很喜欢，也很精致。<br />动作以前很好，现在是越来越烂，完全用花哨特效掩盖动作的缺陷。<br />场景：不知道诸位有没有听说过一句 永信库景<br />抽卡：只要你能忍住，喜欢的角色一定能抽到，没有限定角色，平时会三个一起轮换up，新出的池子单人up，保底一定是这个角色。保底普池也可能歪到最新角色。角色60保底，武器也更便宜，还可以指定up，最新的也可以。缺点是相当于明码标价60发买，不过这应该不算缺点。<br />养成：养成度过新手期后很轻松，专用意识活动商店直接买，材料后期根本不缺，角色到手就能直接拉满。<br />氪金程度：角色战力想再升需要多抽几个升到sss或更高，不过ss也够用不氪金攒攒买碎片就能升到。皮肤大多都是要花钱的这，有点小贵但质量还可以。<br />可玩性： 不好玩，现在就是播片游戏，每个角色出招表都是固定的，一直打一套操作时间长了就容易腻。每天上线流程都是一样的，跟上班一样，就是看着战斗爽和喜欢的角色玩。<br />现在越做越烂了，不知道联动后会不会改善点，我是不打算再花钱了，及时止损吧。我是喜欢硬核机械风格，战斗帅才玩的。现在越来越大众化，全是外装甲。依旧推荐新人下载！对新人来说没什么影响，毕竟现在建模精度确实越来越高，但是身为老玩家真挺伤心的，也许因为是小厂没法永葆初心吧，什么时候能再看到黎明那样的机体风格呢？或者巅峰时期超刻 深痕 绯耀全方面优秀的机体，但我还是舍不得退坑，也许再也不会和以前那样了。,161,2024-04-19 19:28,未提供
383612566,原野樱奈,4,玩不动了，不断的回游退坑，手机都换了不知道几部，也不知道哪里一直吸引着我回坑，4星给点情怀吧,,2025-03-28 02:26,Redmi Note 12 Turbo
649993681,5,5,画质精良，运营优秀，十分值得入手。,,2025-03-27 21:18,红魔9S Pro+
426992217,xxx,1,新手引导也太复杂了，我就想赶紧抽个卡来体验一下来确定要不要玩，结果就一直推这关引导这个关，凑了半天还是差那么一些，结果到最后玩了够五个小时，一个六星也抽不出来。文字表述也未免太小众化了，我实在不理解，为什么要把各种游戏里很常见的元素都加上各种专用的名词，把游戏变得复杂化,,2025-03-27 15:42,未提供
