用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
480360310,夏日未捕。,1,喜欢的自然会喜欢 ，但我觉得没必要喜欢,,2023-08-08 09:45,未提供
680549264,四思末学,1,没想到，怎么多年了，看到崩坏三还是生理不适，我就很抽象，不得不说逆天策划,2,2025-04-05 09:21,Huawei P60 Pro
690011589,mo资深老玩家,5,🌃画面音乐：<br />米哈游你还是去当音乐动漫公司吧,,2025-04-04 22:40,Youxuepai P381
649697651,123,5,很好玩，剧情很好，就是刀子有点多,,2025-04-04 21:36,华为ALT-AL10
642030986,猫宫又奈,4,不多说，第一个让我落泪的游戏,,2025-04-04 13:49,红米K20 Pro
556620036,zcf0530,3,真烦，换了手机号，忘把它弄过来了，现在都不知道怎么登上去,,2025-04-04 11:11,小米24122RKC7C
520343465,无念,5,好玩是好玩。就是分不清哪个是官服,,2025-04-04 04:32,Xiaomi Redmi K60 Ultra
700320810,隔壁阿当,4,不是，怎么又更新了。舰长真的肝不动了😅,,2025-04-02 22:35,Honor Play7T
680717940,白,1,策划依旧做死，一直推星之环，角色换代很快不充钱就只能摆烂,1,2025-04-02 22:29,华为 nova7 SE
410615615,Fai,1,为啥一星？精英凭证比便宜一倍的进阶凭证更少钻石和球球，一期精英也换不了当期角色，，，还有送人律应该所有玩家都有送，没赶上车的新玩家呆了，这些坑连养号的都跑了，进凭证所都是星环二线角色了，还当宝？连配队都用不上，只是集邮,3,2025-04-02 06:07,Redmi Note 12T Pro
507006085,元气全开的舰长,2,垃圾游戏第二部一坨 还我钱,4,2025-04-01 09:25,未提供
437130131,残月孤星,4,画质很棒，打击感强，值得入坑,1,2025-03-31 08:47,Vivo Y78+
372115768,墨染轩客,1,兔女郎学姐吗,10,2025-03-31 00:26,红米 K70
647836614,从令,5,还蛮好玩的 就是有时候里面的大只怪出老千,1,2025-03-30 23:14,Vivo V2073A
466875036,雨落,2,很烂，不建议玩，2.0完全就是矢<br />噢对了，各位千万别氪，氪了以后就是吃保底,5,2025-03-20 23:53,Vivo IQOO Neo8
699335324,天泽QQ号,5,剧情超甜，我可是老舰伥不，是舰长,1,2025-03-30 19:38,未提供
556060810,峤川,1,虽然是很久之前的事情，但是我还是想说，这个打一半信号不好不让重连是什么鬼啊，只能被强制退出，没见过哪个游戏是这样的,3,2024-01-23 18:17,未提供
360905492,User360905492,1,保底吃破防了,1,2025-03-30 13:34,OPPO K12 5G
510963803,Carl,1,崩坏三满分，第二部零分。第二部发布了就弃坑了，今天突然看到忍不住过来打个低分。,5,2025-03-30 10:19,iPad Pro (12.9-inch) (3rd generation)
581932237,在下小羊,5,萌新别入手了，😅五星给剧情+情怀，剧情还是蛮不错的。,2,2025-03-30 02:37,未提供
405025188,拾年,4,剧情好，但是不建议入坑，数值是一个比一个高的，活动是又臭又长的，水晶是攒不下来的,3,2025-03-30 00:32,未提供
54162823,奇怪的月痕,5,不知道该怎么说呢，做为一个开服就玩的老登，虽然中间因为上学没有自己的手机，用我母亲的手机玩，断断续续玩好多个号。高峰低谷各种节奏我都亲身经历过，后来原神开服玩原神，崩铁开服玩崩铁，绝区零也是开服就玩，由于精力有限一直想着要不要退坑，但是想了想这个游戏毕竟是陪着我走过了9年时间，也是见证了我的学生时代，实在是舍不得就这么放弃。mhy其他不说，美工和剧情确实没得喷，希望mhy可以越做越好吧，毕竟我也算是亲眼见证了mhy从一个小公司做到今天这一步，我也希望我能一直保持着这种热爱吧。,3,2025-03-29 21:25,未提供
112257107,灼灼其华,4,服务器不稳定还是什么情况？？总是掉线,1,2025-03-29 18:51,Huawei Mate 50
684682111,第十三个月饭,4,这是崩坏三对我的试炼吗？(*꒦ິ⌓꒦ີ),2,2025-03-29 18:48,TablePC
337204512,ice bear,4,世界观实在是nb，剧情也很好，但总觉的剧情线拉的太长，不适合纯剧情党，但是游戏体验真的不错，角色建模也特别好，感觉是目前米家最好的游戏了<br />所以呢？<br />《蔚蓝档案》，启动！,1,2025-03-29 16:25,未提供
710127878,kiana,3,这三星打给以前那段时光的，现在的不能说是石，但和以前比差的不是一星半点,1,2025-03-29 10:12,OPPO PGGM10
688850830,鹅鹅鹅,4,很神秘的爆率,3,2025-03-29 10:08,iPhone 13
326313674,KiryChan,3,“做不到的事，不会因为坚持而做到，也不会因为一句“我能做到”而发生奇迹。”<br />——————<br />文案音乐满分，游戏只能算中规中矩。以目前来看第二部应该算是凉了，所以制作组才延长了版本周期。抽卡虽然比以前更容易出货，但至少我的账号基本在“天命难逃”双黄后就次次保底（剩余抽卡数低于15抽）。,1,2025-03-29 08:04,iPhone 15 Pro Max
263296,花建俊,5,用几年时间陪伴，见证一个活泼开朗的少女一步步成长为温柔，坚毅的战士是我的荣幸,1,2025-03-29 00:44,未提供
350679537,星⭐,5,十连直接3S真的好爽,2,2025-03-28 23:52,一加手机PHP110
418567020,User418567020,1,崩三真不知道是不是底层代码的原因 280一抽就像焊死在那里一样也没法改 氵的获取还不算多 100保底有时候真能给你干到快100才出[发怒],4,2024-02-01 20:43,Vivo V2426A
451968261,小赢,3,一个旧时代的残党，第二部之后就感觉没以前那么的好了，虽然以前也不是特别好吧，但是第二部出来之后ui变了，剧情里面的角色也不是特别认识，现在就是一些老角色打情怀牌，本人喜欢崩坏三的剧情，仅限第一部的，我喜欢第一部的剧情与角色，但第二部真的难以言喻，我很喜欢符华。<br />第二部的剧情与角色都是那种特别的好，第一部如果算是巅峰的话第二部也只能是一种地板的程度。第二部的剧情不能说是很差吧？但就是不是很好,1,2025-03-28 00:22,Vivo V2057A
476952830,练习题,1,天才的想法，小人对话不能快进，简直是天才,9,2024-03-12 10:18,Realme真我GT Neo闪速版
661299345,百万富翁就是我,3,💃🏻立绘建模：<br />第二部别看，史，也就德莉莎我看看，我是一位女舰长，虽然题材是百合，但是策划请问你那个薇塔新皮肤是认真的吗？是因为对崩坏三不上心了还是纯媚，本来现实生活中给她们说我玩崩坏三被骂媚男了就烦，你还搞这出<br />第一部不用我说了吧，自行体会<br />🧝🏻‍♀️角色人设：<br />第一部更不用说了<br />第二部一般<br />🎮可玩性：<br />如果你是因为米家其它新游戏而入坑，那么崩三的感受给你会有种很老的感觉<br />我是第一次玩TOPTOP的服，加上上学，很少再玩了，基本没怎么肝，主要就是！！！！！很多老角色都不能用了，百分之九十八都不能用了，你打深渊一点不能肝，我请问呢我一个第二部A级有时候都比S的要好，那那些氪了很多的人算什么，算他们钱多吗？你这角色就只是可以看看了，要不然就放出来打打以前的剧情，我感觉再氪是不是过几年又会变成这样了，崩三真的别怎么氪了，除非你是剧情党或者养老婆（我就属于养老婆，格蕾修宝宝宝宝）<br />🥊打击感：<br />这个就难评，手机用户谨慎，建议看看别人的评论吧<br />🌃画面音乐：<br />音乐不用说，大家只要玩米家的，基本略有所闻<br />💻剧情：<br />第二部不敢看，就上个版本的希娜狄雅看看了<br />第一部<br />我很喜欢<br />你会发现有很多人说名刀，比如最后一课，但是呢，本来剧情非常感人，ky小鬼就到处说，很烦，甚至我有些麻木（可能是我人的问题）,2,2025-03-27 22:12,未提供
26179674,跃磐,4,赶紧闭服吧，不要让我苦等。,,2021-05-30 22:16,Redmi Note 11T Pro
464395481,木屑,5,在24年年末为了老杨入坑崩三的<br />目前第34章，虽然看不太懂但是还不错()<br />(还有是谁告诉我崩坏三不刀的！！！),1,2025-03-27 19:46,华为荣耀8X
709052564,z,1,自从进入第二部之后每一次抽卡都是保底，死心了，现在就是一个圈钱游戏😂，我现在建议大家去玩深空之眼福利和爆率都不在一个档次。,4,2025-03-27 17:51,Vivo IQOO 12
364027822,天呐,5,等到4点没白等，一发十连就出了，一点没垫，本来准备跳的,2,2025-03-27 16:08,Honor Play 20
500422168,哈哈哈,5,?已经三点了,9,2024-08-08 09:38,Vivo V2034A
83722176,手机用户83722176,1,两点了还云玩维护？,6,2025-03-27 14:08,未提供
52425430,百事亨通,2,武器一定要保底才能出是吧？送的箱子有什么用？真的是恶心人，出角色那么勤快，概率还那么低😅😅😅<br />2024.5.9<br />灯一发十连出了，但是武器又保底了，这武器池真的是每次都让我保底，希娜狄雅武器50，赫丽娅武器50，瑟莉姆武器60，灯武器60<br />2025.3.27<br />连续四次角色80保底才出了，几个意思啊！！！！！！,8,2024-03-28 12:57,未提供
49886004,石不能言,5,好几个号了，但是好玩，只要不打深渊就其实还好,,2025-03-27 12:38,小米24090RA29C
1233115,幽风,1,崩三刚卸载，纪念一下，70 抽没出李素裳，其他 30 抽也没出 s，再也不见,1,2025-03-27 11:51,一加手机Ace 3
350260999,夕,2,不知道是不是针对牢玩家，一直吃保底，太黑了，舰队的老咸鱼也是一直吃保底，这个游戏太有意思了,1,2025-03-27 11:32,未提供
539795149,613478,5,我就试了十抽，怎么就中了［狗头］,,2025-03-26 14:30,华为平板 M6
557886375,宇星灵天,5,非常好的游戏。之前也玩过许多类崩三游戏（战双、大眼、尘白），因此慕名想来看看这类游戏的原型到底是什么水平。结果上手一玩，发现确实质量很高。后发的游戏虽然手感、建模质量什么的能比得上，但只有崩三让我有一种边玩游戏边看番、沉浸在剧情和演出中的感觉。福利不咋地，但是我就看看剧情，也用不着自己的角色，所以没什么关系，玩的非常舒服。,1,2025-03-25 23:46,Honor X40 GT
413550066,抑郁的我,1,不是哥们，卡池爆率这么低吗。我新号保底吃满才出😅😅,6,2025-03-24 21:42,未提供
8340198,小郡主,5,很推荐 但已经是牢玩家了 现在已经打不动了转战碧蓝当提督养老,1,2025-03-23 00:04,Realme真我GT7 Pro
553786882,林中羽,5,回归了，角色圣痕都凑齐了爽了，建摸也变更好了，回归福利很多,2,2025-03-22 22:10,华为P30 Pro
441503127,未来无限可击,3,🥊打击感：<br />🧝🏻‍♀️角色人设：<br />心死了心死了无论是第一部的事件一忍再忍还是第二部的心死我不该对这个游戏有希望的一切不过是见证琪亚娜的成但现角色该人设该崩的崩了无聊无聊叹~琪亚娜你为何不是动漫角色,1,2025-03-21 23:28,红米 Note 9
483657028,言木宁,5,【剧透】【纯剧情党视角】米哈游编剧部出来挨夸！《崩坏3》这七年主线真就是二游界T0级公路片，剧情党不补血亏！（拍桌）<br />从懵懂少女到终焉律者，琪亚娜的成长弧光能吊打一堆日漫。芽衣黑化、布洛妮娅继承理律、姬子老师燃尽生命这些名场面，哪个不是刀片批发商？更绝的是把量子之海/往世乐土玩成叙事诡计试验场，奥托五百年的执念直接封神！虽然战斗系统长草，但光看动画都能爽到——现在入坑建议直接当追番，开着弹幕补完前六章PPT剧情后开启沉浸式刀片自助餐。后劲太大，我现在听到《Moon Halo》前奏还会起鸡皮疙瘩...（米哈游音乐组出来谢罪！）,31,2025-03-21 01:06,Vivo V2156A
566399963,久了,2,不是，这是怎么回事，我一年多没上线，号怎么变成新号了😅😅😅,2,2025-03-20 23:34,Honor X40
37687571,终点,1,这个【春聚庭院】活动用蓝牙耳机有明显电流声，刚开始我还怀疑是我耳机问题，我把耳机都发去售后了。回家又拿一个蓝牙耳机还是有电流声，我就用有线耳机就正常。,1,2025-03-20 23:23,未提供
625110891,无尘,2,玩过以及原神真的很垃圾，我玩过所有米家游戏，这让我感觉到很恶心🤢虽然不是同一个平台，但是依然让我感觉到恶心。🤢🤢🤢,5,2025-03-20 20:03,未提供
64078842,好孩子不玩米,1,曾经我也满怀热爱凹深渊，谢谢你带我认识米哈游,4,2025-03-20 02:11,未提供
57122227,阿@良,4,很好玩，唯一不好的就是大部分主线任务不能使用自己培养的角色，只能用剧情角色,2,2025-03-20 13:57,Redmi K70 Ultra
