用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
542554330,牛杂师傅,1,（传奇补档王力作）<br />红温模拟器之——平衡性是没有的，匹配机制是不行的，为了卖皮肤甚至能加强t0英雄，t4英雄是无人问津的，想让你赢你就算0-8摆烂都输不了，想让你输就给你排四个类人队友，而且指定让你红温破防，不是给你排摆烂的就是又菜又爱叫的。王者荣耀青天大老爷绝不会冤枉任何一个好人，也不会放过任何一个坏人。这款游戏只适合闲着没事干的富二代，低血压人群康复训练，有好友组排的人娱乐使用，其他人群概不推荐😅😅😅<br />最幽默的是我这条评论居然被限流了，你猜我怎么知道的?我这条评论发了好久了，但居然没有一个国民游戏应有的热度，居然只有一个人点赞，一百多的浏览量，然后我拿小号看了一眼，您猜怎么着，居然没看见这条评论，实在是太幽默了。更好笑的是连我自己都没法在这游戏评论区看到我这条评论，只能在我的评论里看到，这评论是发给我自己看的？所以你们就这点评分居然还有没计算进去的一星评论，那你们这游戏实际上有一分吗？,15,2025-03-30 21:48,小米 12
576040202,初九,1,你mlgb。一个破王者要我66GB，阿米诺斯。,1,2024-08-27 09:18,Huawei P60
49834294,是本人了,1,恶心游戏，匹配的都是什么队友，操作不好也就算了心态还不好，合作打个团都要喷喷喷，王者再不改机制迟早凉，把言语违规的评判改的更精确一点吧受不了都什么低智元谋人,1,2025-04-05 19:36,未提供
501782192,夜非月,1,策划你先别优化了，你过来我问你个事，你全家都死完了对吗😁,,2025-04-05 19:33,未提供
404734875,LTENG,1,这逆天匹配机制太牛逼了输的莫名其妙,1,2025-04-05 19:11,Vivo IQOO Neo9 Pro
335062428,瞎猫,1,你这烂狗游戏就别运营了,1,2025-04-05 19:02,Vivo IQOO Z8x
610878757,明曦月夜,1,六颗星，必须六颗星,,2025-04-05 18:17,未提供
647286591,。。。。。。。。,3,血压高的玩会被气死，血压低的玩直接清零了,,2025-04-05 18:04,Vivo IQOO Neo9
505807941,玩游戏呢,1,辣鸡游戏，充钱后悔那种。看着恶心，客服等于没有。学路上，青青和小赛追逐玩耍时，突然&#34;扑通&#34;一声，小赛被香蕉皮滑倒了。膝盖磕在石板路上的疼痛还没消退，一股酸腐味扑面而来——垃圾桶周边散落着果皮纸屑，苍蝇正绕着发馊的奶茶杯打转。<br />&#34;真不讲卫生！&#34;小赛忍着膝盖的疼痛，蹲下来将湿漉漉的垃圾往桶里拾。汤汁顺着指缝滑落，他皱起鼻子屏住呼吸赏析①。青青愧疚地说：&#34;上周值日我就发现这里总堆垃圾...&#34;说着赶忙掏出作业本垫在垃圾下，帮着小赛搬运。,,2025-04-05 17:48,Huawei Mate 60 Pro
696482516,.,1,已经删了，能去死吗，打了20把，20的胜率，我把把金牌银牌都带不赢，不到一分钟四个全没了，我现在就去拿我爸和我弟的身份去退款，这辈子最后悔的就是给你充钱,1,2025-04-05 17:37,未提供
50127662,南风,5,新英雄新皮肤不断出，福利也多。而且可以和朋友开黑，社交这块做得很棒。但匹配机制太坑，老遇到摆烂队友，举报还没啥用。英雄平衡也有问题，有些强得离谱。网络偶尔还卡顿，真让人头疼!,,2025-04-05 17:08,Redmi K70 Ultra
641913897,电磁炉烧烤,1,🔗网络优化：<br />我在别的游戏更新速度30mb每秒最少，在王者竟然是传说中10mb/s最多，顶级优化<br />🙌🏻合作体验：<br />逆天队友让你体验生态的多样化<br />🔖运营服务：<br />王者什么死样，懂的都懂,1,2025-04-05 17:02,小米24117RK2CC
44256003,绵绵,4,唉那么多年了我还在打王者,,2025-04-05 16:51,Vivo IQOO 13
73068625,通,1,纯纯恶心人这游戏，垃圾游戏，匹配机制什么玩意儿，队友只会送人头，摆烂骂人的还很多，再也不玩了，飞舞游戏,2,2025-03-20 12:08,OPPO PEQM00
69662782,漫,3,把匹配机制优化一下多好😂😂😂,,2025-04-05 16:22,未提供
592995664,。。。。,1,进都进不去云南玩,,2025-04-05 16:09,OPPO A32中国版
660645692,嘿嘿猫无穷尽的黑,2,真的是懒得喷了，游戏体验不是很好。还有那个云网启动时间！都等了一个小时了，还是在20%启动！跟有病似的,,2025-04-05 15:52,Vivo Y85A
566906272,南冥栗子,1,呵呵，连跪机制真恶心,,2025-04-05 14:57,Vivo Y53t
675663792,无语,1,已经删掉了，连输8把也被气死,,2025-04-05 14:51,华为Pura70pro
630865203,早八,4,这块游戏太好玩了，队友强的离谱，一点也不坑，而且这块游戏玩起来对治疗低血压有奇效，推荐没玩过的人玩一下，一玩就上头,,2025-04-05 14:31,未提供
470862866,碎心陨落银河♥久孤成瘾,1,我主页怎么都挂不上去，以前都不会这样，优化是人做的?还我妲己,1,2025-04-05 13:06,未提供
341778819,怦然心动,1,什么吊玩意游戏,,2025-04-05 13:05,Vivo IQOO 13
