用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
582345620,y6yyyyyyy,3,监管不是人吗？现版本求生修机子，跟个鬼一样，随便溜一下就3台了，监管还怎么玩，老监管优化慢，博士，杰克牢得要死，求生技能一个比一个离谱，你让监管怎么玩？你干脆把监管删了全玩求生去,,2025-04-05 14:09,Huawei Enjoy 60 Pro
702543312,葡萄球菌,5,好玩，但是有些角色很弱，bug有点多。,,2025-04-05 12:14,一加手机Ace 5
598986010,吉尼太美,4,福利蛮多的，皮肤也挺好看，玩法也很多，非常好玩，公共地图做的也很好看,,2025-04-05 11:11,OPPO A系列
499286178,遇见,1,队友素质极低，特演，尤其是玩家“鱼琪琪琪琪<br />”,1,2025-04-05 11:02,HONOR 100 Pro
41332795,吃饱喝好长生不老,5,送的二十抽出了限定金，那好吧，网易游戏没有一点错😋,2,2025-04-05 09:14,未提供
707337095,阿染大王,1,怎么一更新账号没了,,2025-04-05 07:01,OPPO PKA110
439524336,zxcvb,4,第5人格太好玩了世界上最好玩的游戏🌚,1,2025-04-05 01:44,未提供
363442713,不肝不氪,5,觉得还不错，想买一个号，这游戏值得入坑吗？,1,2025-04-05 00:31,Vivo IQOO Neo9
629919010,Rose🥀,3,我的号登不上了，手机号和我玩的那个号不一样,,2025-04-05 00:05,荣耀 50
705188792,刘逍遥,4,还算一款好玩的游戏 就是有点玩不明白 没有那么简单这个游戏感觉需要一点时间学习,,2025-04-04 22:46,iPhone 15 Pro Max
590233370,云间梦璃神,5,没想到我会入坑第五啊，之前没有一点兴趣来着……入坑一个多月，以下是我的目标，本人主推作曲副推约约，虽然皮肤没多少，但是比起监管我更喜欢玩求生，目前只有三阶！不过福尔摩斯联动超级欧，六十抽三紫（崩铁这么欧就好了）抱歉串台了（）时长不对，我现在玩了至少玩了一百多小时，更新一下，最近运气不戳，限定金出了俩了，但是紫皮照常保底还歪，我想要作曲偏要吃满60发出爱哭鬼，我要变成爱哭鬼了，想要歌剧偏要出博士，不过没事，如果小女孩限定金提前出，我将放弃我对你的任何执念，,,2025-03-15 18:35,Honor X50 
577337133,克莱因之主,1,《关于我用应用商城下的，结果是渠道服我玩了很久这回事》，网易我问你个事,1,2025-04-04 21:53,华为畅享10 Plus
