用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
118320915,废土客,5,什么时候出不同衣着的大喵周边😏😁😁,,2025-04-05 19:08,未提供
704664235,琅泠,2,许愿星关卡设置太难了，游戏是用来玩开心的，不是越玩越气的,,2025-04-05 18:17,Honor 70
44756731,衣拾寺,1,你优化的什么鬼东西，1.4之前我玩的好好的，更新之后就开始频繁卡闪退，真是气笑了。,,2025-04-05 18:12,红米 K70
369840983,002,4,暖暖的衣服还是非常美丽的，就是长草期太长了，直白的说我想要的是我可以不干事但我不能没事干，这个就属于我没事干了，每天做任务就没别的了，赶紧端联机吧,,2025-04-05 16:23,OPPO Find X7
602741890,呆呆,1,为什么会闪退啊？,,2025-04-05 15:23,华为Nova 4e
658759805,花影,1,为啥我进不去啊？,1,2025-04-05 15:18,Huawei Enjoy 20 Pro 5G
15678590,Nikki丶暖暖,5,画质顶级，植物超级多，植被密集度放眼全球也是顶尖的存在。还有就是暖暖超级好看超级可爱超级美！！！,,2025-04-05 13:01,三星Galaxy S21 Ultra 5G
649043066,隔岸葙,2,就想问这游戏下载要多大的内存，为什么我刚下到界面就黑屏退出，后面我把内存清到一半多还是这样，而且我手机也没坏ʕ⊝⍛⊝ʔ**原本下这个游戏就是想看看它的画质如何，结果云玩打破了我的心。那云玩一会儿卡的，而且那个画质模糊的像一坨大。鬼知道我充的vip会员有啥用，刚才又试了一遍还是这样，那画质我能玩到吐。(´இ皿இ｀)你说它占内存，难不成他的内存比某二字游戏大？下了某二字游戏我手机也没事，轮到他见有事了？并且我还把某二字游戏删了。我真是给你脸(✘_✘),1,2025-04-05 10:41,华为FGD-AL00
709344390,冕少,5,无限暖暖很好玩，还可以自己穿喜欢的衣服，还可以去做任务，解锁好看的衣服，无限暖暖有长的好看也很好玩。,,2025-04-05 07:12,荣耀 X30i
3346954,多古拉星喵子の忧郁,4,2025.4.5<br />我是小丑🤡<br />零零散散的氪，一边玩一边骂。<br />但是叠，新地图呢？新宝箱呢？新图纸呢？大世界做个开头就不做了？玩家找地儿凹照片是玩家的事儿，你的摄影棚该搭还得搭起来啊！到现在全是田园小清新场景配田园风的衣服，帅气一点都市一点的衣服要咱怎么拍？嗯？Looking my eyes👀，回答我，怎么拍？光靠卡黑背景吗？<br />……………………<br />2024.12.30<br />算了，散了散了，只能说谁氪金谁🤡<br />新版本又是坨大的<br />………………<br />2024.12.23<br />工作日移动端打日常打破防过来吐槽<br />（顺便晒一下最近的图）<br />打个石头人疯狂卡退，叠你到底更新了啥，本来能正常玩的现在连正常游玩都做不到了？？本来就不想打这破本现在还闪退，素材本模型简化又没人在乎你到是保证一下流畅性啊，手感稀烂没有自动瞄准已经很折磨了打到最后一下还卡退，是非得人骂才觉得爽吗？<br />大世界卡退衣柜卡退素材本也卡退，这更新说是提高了移动端画质但玩不了不是白更新，诶呦真是脑袋疼。<br />pc的拉进镜头也是如有，把那个见鬼的自动进入拍照删了！烦死了我想拍照我自己会开相机(งᵒ̌皿ᵒ̌)ง⁼³₌₃<br />拍照界面的动作调整能不能学一下狒狒食柿的重复上一个动作以及原地行走冲刺balabala，我想拍跑步或者冲刺的感觉但是完全按不出来，只能硬凹踢腿动作，想拍捕虫动作之类的也没法好好拍只能截图，既然做了动作模组就让我用啊！！！！不然我抽能力套干嘛！！！<br />………………<br />做完了金蔷薇，也正好到周末有空用回pc，过来更新一下评论（顺便晒图）<br />终于开始认真拍照的我，有被相机不能拍竖屏这一点无语到。怪不得都在吐槽脖子扭着玩游戏，是真的扭着玩。<br />以及拍照的时候如果能移动暖暖的位置而不是只能旋转方向就更好了，有时候就差那么一点点距离，如果退出拍照调整位置就要重新调整角度光照滤镜，实在恼火。<br />………………<br />首先叠甲:<br />玩《原神》，开服玩家玩到现在以下略。玩《以闪亮之名》，开服玩家玩到现在以下略。要针对这两个游戏的不用查成分了我直接写在前面了🙌<br />但同时我也玩《塞尔达》，两部的卡带都买了也都打了。玩《爱丽丝疯狂回归》， 买了，打了。暖暖从换装物语到无限都玩了，不可以说我不配吐槽哦🤭<br />那么就以上述四个游戏为参考进行吐槽！<br />正片开始:<br />猛肝一个星期，当前进度是金蔷薇只差一件，看不懂的说明你游戏进度打得没我多，回去玩儿自己的吧！<br />☆画面（pc端4060）很好看，操作（键鼠）也比较丝滑，大地图跑起来非常愉快，某种意义上来说弥补了在一些游戏里不能美美拍照的遗憾，作为摄影棚是非常合格的，可以美美出片！<br />战斗（键鼠）难度很低，对于平时会打游戏的人来说可以说是宝宝难度，新手玩家适应起来应该也不会有太大问题……吧？<br />解谜难度不高，8+<br />衣服（pc端）质感相当不错，没事就喜欢扒拉扒拉衣柜，虽然最后总觉得自己在大地图上穿得像是要去抓宝可梦，事实上也确实是去抓虫抓（洗）动物。<br />剧情没看，不做评价。<br />★pc跟移动端的画质有多割裂在这里就不多赘述，不管是引擎问题还是优化问题都不是玩家应该考虑的，消费者不应该为厂家问题买单。在移动端优化完成之前游戏营收不会好看，这是叠应得的。<br />平时不想开电脑拿手机做做日常，问题一下子就爆发了，抛开画面模糊、服装颜色显示错误、地图灰暗分不清物品之类的问题不谈，跑图的时候会有卡顿、误触、不能边跑边捡东西等等等等各种令人火大的情况，并且可能在任何时候表演一个闪退重启，包括衣柜。<br />战斗（移动端）就是一坨，毫无准星的攻击配上稀烂的操作手感，本来很简单的战斗变得异常困难，手感奇差。包括跳跳乐部分，完全找不到落脚点，顺便一提心愿仓库关卡的收集亮光在移动端显示异常，记得修！！！别说可以不打，做衣服要打材料的，叠，一键过关，懂？也别说什么打一次领一堆，我一次都不想打。一键过关，懂？<br />关于服装，一个换装游戏起家的公司做的换装类游戏，我都不吐槽大世界不能放大这个莫名其妙的设置，你衣柜的放大也不好使啊。而且距离拉得也不够近，想仔细看看蕾丝跟镂空都做不到，隔壁换装游戏的pc端都能贴在布料上观察了，你凭什么不能？<br />另外，跳过键能不能真的跳过，包括剧情和采集动画，跳过能不能跳干净点，闹心。本来以为采集能挂机了结果一看还有必须手动还概率出的精粹，闹心。<br />总之，我会评价《无限暖暖》是服装特化版本的《爱丽丝疯狂回归》，作为单机跳跳乐是一款非常合格的游戏，但作为标着轻度游戏的多端互通【手游】，非常不合格。融合了神庙和神瞳的奇想星使整个游戏的肝度非常、非常高。远远超过一般休闲玩家能够接受的程度，更不谈还有灵感露珠。放在单机/主机里可能很好，放在【优化很差的手游】里就是噩梦。<br />以上，一些主观游玩体验，先这么写着以后再补。<br />🧗自由度：如自由，山不能爬水不能游<br />🎣交互丰富度：你是来采材料的吧？,131,2024-12-11 15:03,Redmi K60
