用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
711610373,晓月晴空,4,非常好玩，23年入坑的，卡面人物形象很美，剧情堪具吸引力，可以作为作文素材，激励人物成长。,,2025-04-05 16:38,Vivo Y78+
691193288,小qi天天开心,5,很棒啊，最近老齐的卡画的越来越好了,,2025-04-05 14:37,vivo Y200i
490025776,很幸運,3,从22年年初入坑到现在也有三年了游戏我个人感觉是不如从前的 cv也越来越敷衍 卡面常崩 排期也有问题但是资源获取我觉得是国乙里比较友好的 男主们个性也很鲜明很有意思 恋爱感也还行,,2025-04-04 17:53,未提供
665250904,⁠,1,卡在页面进不去,,2025-04-04 14:32,未提供
660097345,哇哒西哇,3,那就很好了<br />💘恋爱感：<br />还可以哈，男主们都帅帅<br />💎资源获取：<br />不想说<br />👂🏻声优：<br />那很不错了,1,2025-04-04 11:44,Oppo K9s
120695215,过目,2,22年开始玩的，我是七推之前崩卡我淡游了好久最近回游，删删下下了很多次，可能是我不喜欢了不知道从什么时候开始变得每天上线不在是为了看他，而是除了任务就是任务懒得看剧情，抽卡也是有资源就抽没资源就放弃了，这两年玩下来的感觉就是我根本带入不进去玩着也很累，资源获取挺简单的。<br />可玩性不是很高，入游的新人慎重考虑<br />画面也不是很惊艳，中规中矩（不崩的时候）这两年齐司礼的卡可以说是全军覆没，剧情很差，除了沾花一梦，见见春天和山海誓，没有让人眼前一亮的<br />还有抽卡也是烂的一坨140抽一张自推你想怎样啊😄微氪零氪党慎玩，夸马蓝星是事情我是做不到的,2,2025-04-04 06:12,未提供
710612143,krit.,5,超级好玩，超级喜欢齐齐和陆沉,,2025-04-03 23:04,iPhone 11
64698638,Alice.,5,齐司礼的卡给我好好画！没错我就是这么狠心崩卡不抽也不买谷,3,2025-04-03 02:28,iPhone 14 Pro
606012717,星轨,3,这游戏我真的没法代啊，以看小说似的上帝视角磕一磕还可以，目前玩到9～10章，越来越觉得女主的人设怪怪的，有坚韧的一面，但似乎使错地方了，比如遇到奇怪危机的事似乎很坚强，但事后完全不想调查一下，为什么这样的事情会落到自己身上，好像只要男主帮了自己，这件事就告以段落了，还有男主的苦难确实是很苦难了，但是是女主造成的吗？女主需要圣母心大泛滥，然后就想去帮他，甚至谅解他曾经的利用吗？某些剧情很有古早言情小说强行制造冲突来苏男主的感觉，不过毕竟是早期主线，也就算了，后面希望有更好质量的剧情，以及不要永女主的犯蠢来制造冲突，有些卡面的女主我厌蠢症都犯了，至于吗？女主是一个智商正常的成年女性啊😅她做事应该是有逻辑的，会趋利避害，也懂量力而行的。目前还玩的下去，毕竟资源相对好攒，小游戏也挺好玩的，害～希望好好写剧情,40,2025-04-02 13:32,OPPO PHM110
388763359,颙.,2,见人,1,2025-03-29 17:02,Vivo V2131A
