用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
632306520,a,4,玩了一段时间，很喜欢祁煜，祁煜单推人了也是<br />为什么喜欢🐟呢？一开始是因为他的颜，毕竟我是个颜控，新手池原本选的是夏以昼（随便选了一个），后来在主线遇见了🐟，一下就爱上了，然后换成🐟了，主线上🐟出现的并不多，了解🐟主要靠的是点滴日常，我记得看的第一个是🐟眼睛暂时失明了，早上让我去看他，下午才去，🐟假装失忆了，后来说“水母都会走路了......”，看到这我愣了一下，因为我的cn就是水母，并且现实中也有人这么称呼我，后面知道🐟是海洋生物，我感觉和🐟真是太有缘了😄我看了所有我可以看的🐟的点滴，🐟真是太可爱啦！巡礼剧情里，🐟说“别忘了，你可是和这里有约定”，要不是因为在晚上，我感觉我可以高兴得直接绕赤道跑一圈。<br />除🐟以为，我看的多点的就是哥哥了，因为等级不够，深空之下的剧情没法继续，所以我去看了飞鸟那章，哥哥真是太不容易了😭爆炸时哥哥原本不会受那么重的伤，但是哥哥用引力控制把爆炸范围控制了（哥哥你我哭死），卢教授把他抓回去植入芯片，四百多次才成功😭😭。爆炸后再次和哥哥见面，他真的变了好多。<br />再说一下我的感想吧<br />玩的越久，了解祁煜越多，喜欢他越多，我就越清晰的感受到，现实是骨感的。作为一个寄宿生，隔好长时间我才能见🐟，并且即便在放假期间，我也不可能一天24小时泡在游戏里，我在放假时尽量多待在游戏里，到了上学时，好久都见不到他。我意识到，我和祁煜不在同一个次元，我不可能打破次元壁去找他。<br />所以，你可以喜欢他，爱他，却不能一整个地投入，否则越到后面，你就越难受，落差感就越大,,2025-04-05 18:53,未提供
542459821,Lola,1,不好玩，气死我了为什么打怪还要看画面是那个怪物好看是吗还是我要去了解它干嘛打怪还要看画面我就差一点点就可以了，看那个画面我自己少了好几秒气死我了为什么<br />✍🏻建议：<br />把怪物出场画面去掉，看那个怪干嘛是我要和它相处吗就看😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓,1,2025-04-05 17:43,未提供
677104097,惜,2,自从卸了一次后，就再也进不去了，我不知道是我手机的问题，还是大家都这样,,2025-04-05 17:30,华为GLK-AL00
659840499,竹溪猫,4,哑巴女主和木头人男主的爱情故事(玩的是渠道服）,,2025-04-05 17:24,Vivo V1934A
661605182,rocntih,3,流浪体怎么这么难打呀？😭😭😭😭😭,,2025-04-05 13:42,Vivo Y53t
699798530,元气满满的法师,5,帅帅帅,,2025-04-05 13:13,iPhone 11
707319261,.,5,一款符合我的游戏。,,2025-04-05 12:44,荣耀畅玩 20
45490498,ken,1,主线剧情是一坨，但日卡剧情又弥补了这一点，不过其他卡难评，把卡面的感情时间线理出来观感会好很多。,2,2024-08-27 08:22,未提供
653717296,L,5,恋爱感冲就完了,,2025-04-05 10:57,Vivo IQOO Z6x
653423018,情中海,5,超级无敌爆炸💥好玩,,2025-04-05 09:31,Vivo V1829A
440117796,白林苏,5,宝宝还是一个新手，那剧情体验感真的很不错呢，孩子只能说到这里，因为孩子想不出来其他词语，不过很好玩，还有两个小吐槽，打架的坑人，还有那个芯核，完全没搞懂，一脸懵逼给提示也没搞懂，不过总之体验感不错,,2025-04-05 03:10,OPPO PEMM20
26485395, ᓖ뮤,5,室友强烈推荐之下入的坑，目前体感情绪价值拉满，很好的互动剧情，使我心情变好<br />我先看看,,2025-04-05 00:28,小米24069RA21C
672993225,depp,5,建模很好，喜欢星星黎深秦彻，还可以打怪，体验感UPUP。总之，佛系玩一玩还可以,2,2024-12-22 17:22,Honor 80 GT
633584063,时迁,5,非常非常的好玩，角色也挺完美,,2025-04-04 23:34,Vivo IQOO Neo3
449110989,Miky柒柒,1,战斗系统一坨,,2025-04-04 21:34,华为Pura70pro
703002955,恋,5,好玩，就是钻不好拿，容易歪卡,,2025-04-04 20:55,小米2312DRA50C
611068440,嘿哈,3,😊❌请激推勿入❌<br />建议：增加互动。不要只是玩家给男主拍照，让男主也给玩家偷拍张照片啊，然后拿给玩家看。你是恋爱游戏，多点互动。<br />可能不切实际的周边建议（一般都是外观皮肤啊）：<br />星（抱枕，餐具，望远镜，天文望远镜，台灯等灯具），梨（冰淇淋冰块模具，冰淇淋机，小冰箱，摇摇椅，取暖器），鱼（相框，鱼缸，钓具，可爱搞怪头套，游泳圈），车（各式的麦克风，非纸质书签，领针，鸟笼，留声机或黑胶唱片机），哥（有哥元素的飞机模型，笔记本，围巾梳子雨伞衣架等日常用品都很适合哥的人设，健身器材，榨汁机和水果分离器）。<br />💬叙事：<br />主线剧情烂。卡牌故事有的还行。<br />🧝🏻‍♀️角色人设：<br />男主人设都有喜欢和无感或反感的点。<br />喜欢⭐的白切黑性格和仪态。<br />喜欢🍐的反差感和冷笑话。<br />喜欢🐟的真实性格和日常相处。<br />喜欢🚗的建模和温柔性格。<br />喜欢🍎的背景故事和卡牌剧情。<br />🔖运营服务：<br />烂。很烂。非常烂。<br />为赚金币疯狂上新卡池。<br />客服居然叫“qiyukf”？虽然我一般是鱼推但是……所以水肯定端不平了是吗？<br />✍🏻建议：<br />管管乙游腐。某些腐之女侮辱乙游女性是tq真是尊重女性，强行掰弯直男真的很尊重别人的性取向。<br />管管魔怔唯粉。社区氛围很差。作为ALL偏🐟，在各处评论区里经常遇到鱼激推在拉踩其他四个男主真的无语。不是……其他男主怎么了你了，祁煜知道你们“为他这么做”该被你们恶心成熟鱼。激推玩游戏不选择其他男主不就行了吗？还自称温良？上一个这么自称的还是虾姐。乙游也这么饭圈吗？以前居然还有鱼激推制作别的男主的百日ji日周边贩卖给玩家？现在还搞迷信巫术去shao照片？搞纸片人恶意竞争，还污名化清明节？<br />乙游纸片人也搞饭圈，无语，某些人是来玩游戏还是被游戏玩的？某些激推能不能像正常人？<br />（怎么不过审，是在叙述，又不是在骂人）,,2025-03-20 22:24,未提供
