用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
695379094,钰琪,1,忍者大战继续,,2025-04-05 22:59,OPPO K12x 5G
496776730,梦神,1,玩了两年，一直网络卡顿,,2025-04-05 22:54,一加手机Ace 3
14857506,永不放弃你,1,这破服务器还不赶紧优化，今天一天被吞分4把了,,2025-04-05 22:53,未提供
443527581,皮皮虾,5,我也算是老玩家了，真心希望火影不要再往差的方向进行下去了，真心希望火影变得越来越好,,2025-04-05 22:47,Vivo IQOO 12
475731325,爱吃薯条的土豆,1,是蟆广哥😋😋我觉得衣领还是拉高点比较帅，有漫画感😂😂,,2025-04-05 22:43,荣耀9X Pro
46288570,Sritana🌸【紫】,1,忍战还没结束,2,2025-04-05 22:42,未提供
23121392,轻语,1,不道歉每天一个六星好评😋,,2025-04-05 22:42,Vivo IQOO Neo9
17033734,钉钉DingTalk,1,逆天魔方欠图了,,2025-04-05 22:41,Redmi K50
373305346,Todesstern,1,总之就是不推荐 ，运营拟人化程度还是不够高,,2025-04-05 22:40,Vivo X200 Pro卫星通信版
103316153,光的远方,1,这dog C的土豆服务器什么时候修好呀，天天卡卡卡卡卡卡卡，别人打我的时候我不卡，我A别人一下就红了😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄,,2025-04-05 22:38,Honor 90
110333205,黑之礼花,1,魔方经典网络故障问题，无论网有多好，肯定会卡，并且一定是在关键时候，还有真的很能画饼。,2,2024-10-29 05:43,Vivo IQOO 12
433853971,Heaven,1,是我不配了，没钱给你海贼王上贡是我的错涅😋<br />之后转战你游隔壁项目组，火批能不能赶紧多爆点金币😜,,2025-04-05 22:29,Redmi K50 Ultra
7373590,北条筱,1,玩了这么久到头来是这个下场，也是疲惫了,,2025-04-05 22:27,红米 K70
125423136,𝒐𝒏𝒍𝒚 𝒐𝒏𝒆,1,我就不说什么故事，反正从小学开始断断续续玩到现在，我就说魔方睁一只眼闭一只眼多久了，每次都是一样随随便便想糊弄过去，我说白了要是你做的真是比海贼好，海贼他们说这个话会有人理吗？？或者说现在这个话是火影策划说出来的，海贼那边估计都要笑出声，然后就知道送点什么东西糊弄，还越送越抠，那根本问题不解决还想拖到什么时候，到底把玩家当成什么，到底尊不尊重人😂😂😂😂,2,2025-04-05 22:21,小米13
399016938,这个游戏很简单吗？,1,忍战必须继续，不让给三国杀刷好评,,2025-04-05 22:20,Redmi K50
350417462,无为而治,1,道歉有那么难吗？,,2025-04-05 22:20,Honor 50 Pro
14390031,c,1,扫码MF，把我的青春还给我😭,,2023-12-09 18:22,未提供
