用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
640554317,深海蒂王,1,神人运营和策划和角色设计师不给美工磕两个？,,2025-04-05 17:33,未提供
358789850,燕只,4,很好的游戏，立绘衣服特效都非常棒，就是歪的严重，氪大小月卡抽卡资源还是很少，现在仔细想想不值得，也腻了，这一星扣在抽卡资源和歪上,,2025-04-05 16:15,未提供
483514384,巴巴托斯的狗,5,原谅你几天,,2025-04-05 13:36,iPhone 11
448401545,柏魁.,3,抽卡机制令人返未，剧情还行，数值膨胀逆天，迷思海逆天，后面爆率低的可怜<br />本人71级，目前登录337天，迷思海300m，中氪，你喷就是我对，各种活动的小游戏对于学生党又没有耐心的来说简直就是浪费时间,,2025-04-05 12:53,Redmi Pad
685174285,小夜yy,1,垃圾游戏，我玩了快三个多月了，连主线都打不过，别给我讲还有故事模式，谁愿意打那个，给雨滴给的这么少，过剧情时候多给点怎么了，就你这米池抽卡，歪了一个角色，直接一个版本不用玩了，刷材料去吧，想拉一个角色等级，基本上得花4000体力，算上升等级的材料应该算少的，一天就200体力，想玩的人算算吧，养一个角色得花一个月去养，萌新别入坑了，有这时间不如玩隔壁崩铁，虽然数值膨胀，但是抽到人权卡至少爽一个版本，这个游戏呢，我过年抽到梁月，现在就不行了，还一个队友都抽不到，追击队没有队友跟狗屎一样，我0命我知道不会用太久，但是真的恶心啊，活动送的雨滴也少，大多都是材料，而且是up抽卡角色的材料，也就是说你歪了材料得自己刷，剧情剧情打不过，材料也就不好刷，材料不好刷，角色养不起来，深渊也就不好打，更何况其他打boss那个，我别跟我讲为什么不养5星角色，我6星角色都养不起来，玩了3个月，我一个角色都不敢升满级，升到3洞悉加30级我就不升了，官方，你知道3洞悉升到满级需要的经验材料要刷多久不，我算了算，应该得25天还是有那个送体力月卡的情况，这个游戏真的狗屎，想玩的先想想崩铁玩的下去不，崩铁玩不下去，这个别想了，狗屎狗屎狗屎,,2025-04-05 10:40,Redmi K70 Ultra
661836867,6,4,画面很美福利不错，剧情优秀希望能越做越好不要搞出什么节奏,,2025-04-05 01:34,Redmi Note 12 Turbo
557498674,cysy赤羽十烨,4,B服玩家，练度这样总归有点评价的权利吧，现在就是除了迷思海其他基本上可以拿满，反而迷思海有点过于吃力了，当然我很菜倒也是事实，立绘不错，live2d就和开盲盒一样，随机开出裱花袋或者大白菜一样的东西出来，厨力党看来要骂的，福利加了一点，但加了不多，不氪个小月卡资源还是有点吃力的，一天不登很懊恼，不是因为🈶多好玩，而是一抽没有了，攒抽还是有难度的，福利还是不够，哈吉蓝。剧情文学性还是有的，但是有一段时间没看过了，长草期有点长了，本来都厌倦了，但是看到了2.7pv，蛇姐好好看，又不想退坑了，蛇姐别歪了，2.7 2.8快点上了。,,2025-04-05 00:50,未提供
32137598,初音·萌,5,我真的超级喜欢<br />它的各方面专业能力都很强,,2025-04-05 00:03,Vivo Y78m
578963348,?,1,快跑，就是一拖四，跑得越快止损越早,,2025-04-04 23:30,Huawei MatePad 11
528836518,循环.,4,也不算开服的时候玩的吧，记得刚开始玩的时候就是很乐意泡在这个游戏，从一开始的长期在线大概持续两三个月为止，后面的时间大概是到露西的那个版本为止每天上线也只是做做每日任务了，领90雨滴就下线，到后面抽完环状水星就基本不会上线了（期间玩的断断续续）<br />只能说，应该出一些新的玩法，卡牌回合制还是有点索然无味（记得我之前玩哈利波特也是这样，但哈利波特的玩法更多）包括现在重返未来的视频也没刷到多少，我觉得以这个游戏的水准应该有更多有趣且实质性的开发，热度也应该更高的<br />🃏抽卡体验：<br />角色更新迭代是真的快啊，记得刚玩的时候牙仙还是人权卡来着，现在也应该被很多角色比下去了，抽的一些角色都是以保值和强度为准，总的来说就是抽新不抽旧，但是资源还是很好攒，但可能零氪的话要连着抽几个角色的2塑以上的塑造我觉得太难了（除非欧皇）所以说我到现在为止六星角色的塑造除了歪出来的基本没有<br />💃🏻立绘建模：<br />这个没得说，一流的<br />🗨️剧情丰富度：<br />光从我之前玩的时候的剧情来讲都已经很好了，现在更别说，剧情也是很好的<br />🎮可玩性：<br />看个人<br />补充第二段上述：虽然说已经进行了开发，但是总是有一种不想打的感觉（就是感觉不太有趣）除非涉及纯雨滴，而且打起来对于一些新手玩家来讲是需要搜攻略的，有点繁琐了,4,2025-04-04 19:39,未提供
710362502,666666,5,十分美丽，推荐👆,,2025-04-04 19:53,未提供
419715142,Rui.,5,昨天下午开始玩，抽卡概率还行，目前牙仙和可燃点都有了，就是体力有点少，刷几把就没了<br />二编，越玩约保底，刚开始还能整个十连双金，现在次次保底。且，策划能不能别惦记你那又臭又长的肉鸽了，我一挺喜欢肉鸽的人都被你这玩法整的没耐心了，流程太——长了！<br />三编，你要跟刺客信条搞联动？那你在我这儿是满分手游了🤓<br />四遍，联动什么时候才能端上来,,2023-12-16 11:32,小米Xiaomi 14
502340035,jll1230987,1,福利太少可玩度低,1,2025-04-04 17:14,IPhone 7 Plus
452828291,？,1,抽卡次次保底，69发大保底求意义。求皮肤排期教程，求老角色狂想排期教程，求男角色强一点教程，求不强邦配队教程，求迷思海倒闭教程。,1,2025-04-04 16:03,未提供
486283815,无言,4,数值膨胀的厉害,,2025-04-04 16:03,未提供
555255022,抹茶不知春,5,超级喜欢1999！,,2025-04-04 14:18,iPhone 12 Pro Max
454430449,十二,4,玩不动。下个版本剧情不好就打算退了。幸好买周边上瘾，钱包瘪了，只续了月卡，不然还要打工90天。<br />而对于《疯癫与文明》，引用霍夫曼女士的一句话“我看不懂，所以这是艺术。”抖和b的博主都在夸“富有深刻内涵，充满哲理”。<br />但我毫无审美与艺术细胞，即使去搜“本能现实主义”，我仍没有理解这是个什么。所以欣赏不了。不过美工挺好，喜欢虚构集撕书时的cg。<br />希望下个版本的故事可以通俗一点，照顾一下我这种文盲<br />我是渠道服，发现的太晚，懒的开新号，所以继续用,2,2024-08-05 10:26,未提供
634118613,随便,5,画风不错，不是很肝,,2025-04-04 12:10,未提供
