用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
708503057,七秒记忆.,5,超级喜欢，超级好看 玩挺久了😉中间退游了一小段时间 嘻嘻嘻,1,2025-04-05 18:39,Vivo IQOO Z7i
497882342,木可,5,不克制了不克制了不克制了巫师巫师巫师巫师嘴一个嘴一个嘴一个嘴一个嘴一个,,2025-04-05 18:35,未提供
708429705,顾北城,4,想要监护。每天都在跑图。,,2025-04-05 18:34,Vivo V1938A
702518659,小荥,5,首先声名不是托<br />我玩这个游戏已经两年多了，陆陆续续的也从身边交到很多朋友，光遇整体还是很好的，呃，虽然说有一些迷惑人，不过大家骂两句就可以啦😜,,2025-04-05 18:21,OPPO A9中国版
689823953,回首向来萧瑟处.,4,我觉得可以改善蜡烛机制，一周只能跑3天，真的好累,1,2025-04-05 15:10,Honor荣耀X60 PRO
565125693,花谢忽如雪,3,为什么它分官服和渠道服<br />这样很影响体验<br />我都不知道该如何去选⊙﹏⊙,,2025-04-05 15:08,Honor 80
644789275,Ari,4,没有朋友真的不好玩，但是画面真的很好，音乐也很好,1,2024-11-06 13:18,未提供
440322977,泥鳅,4,好玩,,2025-04-05 14:46,iPhone 6s Plus
571190901,音琴,3,这个是官服，从哪里下渠道服的,,2025-04-05 14:44,三星Galaxy S8+
648836251,林杌,5,好玩推荐，就是个没搭子只能当孤狼了,,2025-04-05 14:13,华为 Nova 8
428589612,.祺.,5,小陈 你还我测试服<br />其实我就真的有点搞不懂 你要关服就关服 你为什么不可以选择一个周末的时间 我还好本人走读 还有时间和自己的崽崽告别 可是那些在上学的呢 虽然说我是24年才接触的光遇 但一直都在玩测试服 真的好遗憾啊 在里面交了很多朋友 可是到最后连个联系方式都没有 也许遗憾才是人生常态吧,,2025-04-05 13:43,OPPO A91
660918505,宋时迁,5,sky真的很好很好 玩三年了 目前是有三个号 都有很用心的养 虽然说也会有过淡游和退游的时候  但是对他的热爱从未消散 在里面经历了挺多的吧 也成长了很多 我也从不后悔当初入坑 一辈子都玩！,,2025-04-05 13:28,华为荣耀20i
685899879,云,4,很好玩 你可以在这里找到许多和你趣味相同的玩家，玩家们大多都很有友好，但是这个游戏玩法太单一，缺少趣味性，而且对学生党很不友好，活动太密，需要大量蜡烛，但是学生党根本没时间跑 一天就25根最多 根本换不到自己喜欢的物品,,2025-04-05 13:06,华为P30
708741565,cx330,4,新手教程太闹人了 玩了好久想建新号 新手教程直接给我劝退 对老玩家太无聊了 其他方面还是棒棒哒,,2025-04-05 12:48,未提供
659387219,Ir^ene,5,找个监护，可以吗😆,,2025-04-05 12:02,华为BLK-AL80
702856078,梦灵,5,我是拿另外一个手机玩的光遇，里面也是有许多装扮，但是现在因为某些原因退游玩不了了但是它真的很好,1,2025-04-05 11:15,Vivo X7
645144432,姜姜,5,刚开始是朋友拉我入的坑，这期间我也换过很多号，也没什么朋友，可以说是孤狼，就算自己一个人，但我到处打卡拍照，为自己的崽崽换装扮，看着他一点点的，从萌新变得这么漂亮，我很开心，因为就像养了个小孩子。但是我现在有点迷茫，我一个人很孤单很无聊，有点坚持不下去了，我现在已经不知道玩光遇的意义是什么了,1,2025-04-05 10:58,红米 Note 10 5G
710021829,捉刀客,4,值得一玩，就是现在风气太差,,2025-04-05 09:04,HONOR CLK-AN00
677685680,MM,5,玩久了没有占有欲的是这个👍,,2025-04-05 08:08,HONOR JDY-AN00
704393673,禾,5,我们因光而遇，因遇而散，当年陪着你一起入圈的，还在嘛？,,2025-04-05 07:37,OPPO A93 5G
659664429,小软糖,3,他天天不理我  高冷<br />我累了就这样吧(／。＼),2,2025-04-05 05:07,iPhone 6 Plus
454738884,史莱姆,1,屎，跟客服反映了很多次活动界面就是打不开，已经一个半月了，还是没改。运营服务简直太差了，还有里面的玩家基本上也没几个正常人，太抽象了，不建议正常人玩这个游戏，更不建议抑郁症的或者焦虑症的人玩，会把你们变得更严重,,2025-04-05 01:14,华为畅享20 Pro
577525449,dudhfbn,5,挺好看的，玩5年了，虽然不经常上线了，但没删过,,2025-04-04 23:07, iQOO Neo7 SE
705188792,刘逍遥,3,下载之后玩了两天就卸载了 有点看不明白 整个屏幕一片空白 也不知道该干啥去 没有任务指导的也不知道商城仓库页面在哪呢🤷,,2025-04-04 22:48,iPhone 15 Pro Max
412201643,翞,4,怎么说呢，除了每天带亲友跑图和弹琴外，真的不知道干啥了，闲死人了，云野大厅都没大有人，有空的人…来码😘,,2025-04-04 22:29,华为 Pura 70 Pro+
673244902,长忆今舟,3,风景是挺不错的，玩法过于单调，中规中矩，没玩过最好别玩，小心后悔😇,1,2025-02-10 21:18,未提供
690301051,缘,5,我也玩了5年了。<br />💗共鸣感：9<br />🍃舒适感：10,,2025-04-04 22:11,Realme V11 5G
599399032,白羊,5,像是给自己养了个孩子,,2025-04-04 22:05,小米Xiaomi Pad 6
640560014,^Deity.皖妍,5,好玩就是有点无聊,,2025-04-04 21:35,OPPO Pad Air
607544045,Phigros鸽游,2,画质可以，适合当单机游戏玩，退游率高，环境垃，礼包价格偏贵,1,2025-04-04 21:18,Redmi  K70 Pro
707217940,全,3,值得体验，但我每次更新都要更新很长时间😐,,2025-04-04 19:57,华为 荣耀畅玩20 5G
662899438,禁欲,1,那些操控按键是不是摆设的啊，按了不动不按自己动，还有那个飞翔，自己能控制方向吗？为什么自己控制飞的方向个人物飞的方向不一致？,,2025-04-04 18:48,Vivo IQOO Neo9S Pro+
606973625,散兵的狗,4,挺好的，就是变成孤狼了呢。。。,,2025-04-04 18:43,Vivo S18e
28872352,蓝桉,1,怎么在线云玩咋还设备有问题啊,,2025-04-04 17:52,联想TB331FC
520420630,明治十七年の米歇尔斯,5,开完神殿了😁,3,2025-04-04 17:52,未提供
