用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
682987072,jiang,5,💃🏻立绘建模：<br />嘻嘻嘻，好玩<br />🎮操作细节：<br />嘻嘻嘻，非常好玩<br />🔫枪械还原度：<br />还是很好玩<br />🎮可玩性：<br />你就玩儿吧,,2025-04-05 21:59,OPPO PKA110
432598262,灭绝223,5,游戏好玩儿，角色好看，活动也很多(虽然说没有被抽中过)非常推荐😘,,2025-04-05 21:23,Vivo V2057A
696787482,好运的达人,1,社区管不了正常，游戏频道就不管一下吗，天天都是串子来反串一点措施都没有吗，你开个直播暗区都来了也不管一下吗，作用呢,,2025-04-05 20:56,一加手机Ace 3 Pro
536647424,赫卡特,5,😋看到我评论的兄弟们，今天八点前瞻直播,3,2025-04-03 23:48,OPPO A92s
687330787,泪冠哀歌,5,满分，真正的服务员,,2025-04-05 20:19,iQOO Neo 5 活力版
563803988,忧郁高少,5,非常舒服，任务建模其人物建模和美术表现较为出色，服装设计复杂精细，但在渲染上存在平衡问题，导致部分角度人物观感不佳[^0^]。玩法上，作为TPS游戏有较大拓展空间，但现有玩法较为单一，联机玩法缺乏新鲜感[^1^]。剧情方面，前期较为平淡，活动剧情稍有亮点，但整体印象不深[^2^]。养成模式借鉴了成熟模式，但数值策划在养成数值上存在不合理之处[^3^]。此外，游戏存在较多bug，影响体验[^4^]。总体而言，游戏潜力较大，但需要进一步完善优化。,,2025-04-05 19:14,OPPO PGGM10
1385665,避嚣习静,4,多出点能联机的娱乐玩法  目前可玩性还是不高,,2025-04-05 17:12,Vivo IQOO 13
494768947,神宁,1,我就退游几个月给我号弄没了？找不回来了,,2025-04-05 11:50,未提供
322122934,ご沉默菋噵ご,3,烧退后要重新加载资源是什么情况😡加载很长时间,,2025-04-05 08:35,华为 Mate40 Pro
9111625,手机用户9111625,3,游戏处处肉眼可见的粗糙，包括但不限于UI、游戏内场景、敌方建模等等。去年出过几次大节奏也都被狸花猫救回来了，没有强度焦虑再加上有不歪池好评。主要的消费大头还是角色皮肤，但渲染又差点意思。目前除了涩度爆表可玩性还是太低了，每期活动基本都是老几样，重复度极强。,,2025-04-05 02:35,Redmi Note 12 Turbo
640614582,Y.mean,5,很不错，玩了挺长时间的，剧情用心，玩法也很有趣，十分推荐,,2025-04-05 01:33,iQOO 9
421149049,花火同学,1,本来兴冲冲想入坑，结果打到 2-6 出现了恶性 bug，无法通关，网上一搜，这 bug 2 月份就出现了，这么长时间过去都没修，那这开发团队不能要了，再见，直接删除游戏，西山居你是活该手游做一个凉一个。,1,2025-04-05 00:46,未提供
39132312,一条懒狗,5,官方要是能重置一下某些角色的好感剧情就好了，以及基建语音（今天进肴宿舍，听到那句“聊天也算加班哦”感觉有点生分，虽然清楚是人设，但毕竟剧情里都结婚了）,,2025-04-04 23:16,Blackshark SHARK KSR-A0
699956464,贝利亚大王,5,这款游戏全是女皮肤<br />没有考虑到成都人差评,4,2025-04-04 18:58,华为 nova 6 5G
425026937,维他命,5,省时间的附游，新手可以氪点，有俩c后直接毕业躺平，氪金点只剩偶尔买买皮肤,1,2025-04-04 18:37,未提供
537727009,。。。,5,可以,,2025-03-07 00:31,Vivo IQOO Neo10
635345213,西柚,1,不重氪的话体验感很差，真的，后期基本没啥资源，没什么可玩性。慎入，这游戏大明白太多了，一堆洗的。没啥操作就是开枪。,,2025-04-04 15:42,未提供
674846885,夏夜拌醉梦,5,话说我听说这个游戏公司就是这个西山居，是雷军投资过的是真的还是假的？,,2025-04-04 12:28,红米K70E
367000327,gsnoir,5,男性向，服务明确。,,2025-04-04 12:23,Vivo S16e
608772550,sjskss,5,为什么我更新了手机系统后进游戏很慢还很卡，之前都挺流畅的,,2025-04-04 11:12,小米Xiaomi 14 Pro
62533175,看（？）,5,遇到黑二创，造谣，节奏一定要工单你不工单上面的人永远不知道，发生了什么,13,2025-01-25 11:49,未提供
56615637,...,5,好玩每天上线两分钟，不占用其它的游戏时间，喜欢中式婚服，期待策划多出中国风的人物皮肤，已经入坑3个月了，目前91级。<br />副游，有的活动刚开始十分坐牢，消耗大量时间，给蚊子腿的奖励，比如蜃梦怪谈这活动第一次出的时候，最快一把都要10多分钟，一般15分钟一把，消耗了我大量的耐心与精力😤，但是，最近的一个版本，策划优化了这个活动，大大节约了玩家在这个活动上的游戏时间，提升了玩家的游戏体验，确实有让我爽到了😝<br />总结：策划是能听取并积极改进游戏内容，提升玩家游戏体验的。<br />我总感觉晨星E技能被砍了一刀，没有过年那段时间用起来流畅了，E起来卡卡的😨,5,2025-04-04 05:50,Vivo IQOO Neo9 Pro
534263160,动物园魔法师,5,这游戏真是我最近玩得最上头的一款。刚开始被朋友安利进来，还以为是那种普通的“老婆收集游戏”，结果真玩起来发现不仅能收老婆，老婆还一个比一个能打，关键是还能操作出花来！<br />像佐助那种操作手感，拉扯感、技能的连贯性，真的是有手就能玩的那种吗？不，完全不是！那是得练，不练一天都不好意思上场的那种！我在训练营练双刀卡时机练得脑壳痛，但一旦成型，那感觉是真的帅，输出直接爆炸。<br />游戏剧情的话一开始确实有点懵逼，说实话我前面那几章全跳了，看得我跟不上节奏，感觉分析员跟角色感情发展就像“今天刚见面，明天就结婚”那种，啥过程都没。但从十一章之后剧情就不一样了，像14章，我真觉得自己是在看轻小说，感情线写得细腻，演出也很顶，甚至让我感觉“哎呀，我是不是后宫文男主”。<br />角色剧情也有高低起伏，有些像新出的恩雅就写得挺细的，老角色的就有点赶场的意思，不过整体还是能看。Live2D和演出细节是真加分，能看出来制作组是认真搞这个剧情氛围的，不是随便糊弄。<br />画质这块就很微妙。PC上是真的帅，老婆脸一个比一个好看，皮肤画质细节拉满，建模也是精细得不行。说到福利，那是真的香。我现在坚持每天上线做任务，月卡也氪了一张，角色基本都能慢慢拿齐。活动送的抽卡券也不少，运气好的话都能白嫖老婆，前阵子我还抽到了限定角色，心情直接爆棚！<br />再说客服，效率真的是神速。有一次我漏领了某个补偿，去提了个工单，本来想着得等两天，结果中午提交的，晚上就到账了，真就理个发的时间都没用完，操作一气呵成。<br />整体来说，这游戏有点冷门，但真的值得更多人入坑，剧情做好了、角色香、福利还行，操作系统也不是纯无脑的那种，愿意花时间练的玩家能打出很高的上限。如果能早点优化移动端，剧情前期节奏理顺一下，那我估计就不是“只氪月卡”，是真的会为老婆“倾家荡产”那种了！,14,2025-04-03 16:35,未提供
122063472,Halo.清涟暮雨,5,🎮操作细节：<br />很适合我的操作手感,,2025-04-03 13:01,华为MediaPad T2 8.0 Pro
567121344,覆雪之下,5,这游戏氪金吗？,,2025-04-03 09:17,Vivo V2072A
634641648,迷失,5,🎮操作细节。初玩时会感到枪有点不好控，后来已经人枪合一了<br />💃🏻立绘建模：尤物,,2025-04-03 01:01,Vivo IQOO Z9
710916705,冰影,5,🎮操作细节：<br />感觉操作上设置非常好，不仅有剧情，而且还可以一起进行射击，动作感觉非常炫酷,,2025-04-02 21:29,Vivo V2156A
52394536,雾烟,5,玩法还是差点事<br />—————————<br />现在感觉都挺不错的了。<br />🔖运营服务：<br />非常好,2,2024-05-07 07:51,Honor X50i 
452438049,宝,5,可以,1,2024-04-29 20:42,OPPO Pad 3 Pro
67447069,音音了,2,体力少，养角色困难，还卡角色等级，我记得好像是第八章，还是第几章来着，一个有雪的地图，给试用的角色弱得像史还不能换，活动福利挺好的，日常福利就不怎么样了，因为大部分都需要练度，但是养成困难，所以前期就不要想了，“不要有强度焦虑”是我听过最S13的一句话，而且只要你去问新手应该抽什么角色，大部分玩家都会对你说这句话，等你主线卡着过不去，看你焦不焦虑就完事了，而且打到后期你必须得带一个奶妈，不然的都怪多的时候，你一下能秒他们，他们一下也能秒你，而且一个养成困难的游戏，竟然连资源回收都没有，而且有类似圣遗物词条的装备，词条全随机的,1,2025-04-02 02:27,华为GOA-AL80
