用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
52894530,手机用户52894530,1,重新下载回来玩，结果我的东西都没了,,2025-04-05 11:18,iPhone 11
9510185,发发小fafa,4,近几次更新挺有意思，可惜已经退了，不过还是打个分,5,2019-07-22 14:12,Vivo X80
679528348,ABC,5,十分推荐，个人认为国内最好的像素地牢游戏，没有之一,,2025-04-04 22:58,Redmi Note 10 Pro
126843885,银月南云,5,什么时候能皮肤共享，毕竟皮肤多但是想带的新人没角色没皮肤。,,2025-04-04 22:49,Vivo IQOO 13
38232017,only,4,很休闲娱乐的玩法,,2025-04-04 21:46,小米24018RPACC
60828721,867768,2,试炼打石头人对面激光我站墙角冲拳结果战意调回蓝色你说为什么,1,2025-04-04 16:09,未提供
69238828,DM-东铭と華,3,新活动oii猫皮肤碎片什么逆天暴率，说好的20发一个碎片呢,,2025-04-04 15:31,小米24069RA21C
556049729,修罗,5,玩了几年了，除了没什么剧情没别的缺点,,2025-04-04 15:12,iPhone 13
578759137,李泽阳,5,元气骑士是我玩的最久的游戏，非常好玩的，出的皮肤也非常好。,,2025-04-04 12:00,华为GLK-AL00
586983508,幻冬AT,4,我从刚刚出的时候入的，明明只有三关，可我记得有五大关，好奇怪,,2025-04-04 11:04,ZYSN K16
370668148,鸽曦啦,1,玩多了挺无聊的,,2025-04-04 10:58,Nubia Red Magic 8 Pro
37982974,相公,5,什么时候给亡灵法师出个男皮啊，整个程肖宇啥的,,2025-04-03 23:07,未提供
318864905,惊鸿一瞥,2,越做越烂，我也算是老玩家17年就玩过这游戏那时候连花园都没有狂战士都没出，当时我的游戏体验还是很好的丰富的武器，角色多样还有各种彩蛋梗，游戏内容也很简洁那时候第一关就一张图，没那么多花里胡哨的模式皮肤还有什么赛季，后面也做了一些更新比如新地图新角色出了更多武器也算不错，但是不知是从啥时候开始，更新越来越朝着皮肤和氪金这个方向了，优化和游戏内容更新的越来越少，你要知道你就是一个地牢闯关游戏，为了捞钱拼命出皮肤和小作文角色，捞着了钱也不多更新优化，白浪费了这么好的游戏，真的越做越烂,4,2025-04-03 22:08,未提供
16291192,Stop being a bo,3,关卡和武器都很有新感觉，继续加油，立绘继续多加点,,2025-04-03 21:57,Vivo IQOO 13
319370476,User319370476,4,武器多样，玩法休息，超好玩,,2025-04-03 21:27,三星Galaxy Note9
451116,大雄,5,早知道 还是原道😂,,2025-04-03 18:58,一加手机Ace 3 Pro
68840265,HIM,2,所以我30一个买的，现在54四个，还带个场景是吗？😅上游戏非得联网是什么东西？😅最开始不用联网直接就能玩不行吗？😅越做越回去，氪金的地方倒是越来越多😅刚出那年就玩过了，还吞了我一个存档，找都找不回😊,2,2025-04-03 18:16,未提供
444479839,辞,5,好玩，官方快点掏出来邪恶骑士，我要玩瓦克恩,,2025-04-03 16:14,OPPO A72
439465768,墨明棋妙,4,电子Ed的时候才打开，可能是因为以前玩多了,1,2025-04-03 12:02,华为HONOR View20
48343036,兴仔,1,游戏结束后无限制跳广告？,1,2025-04-03 00:03,OnePlus Ace 2
45849742,流年丿,1,联机进不去，创建不了（目前两个月了）<br />在官方板块儿下面留言也没修复（不看，不修复）<br />官方QQ（纯摆设）排不完的队，按照要求做也没用<br />反馈完全没有效果（你要氪金？那你要小心了）,3,2024-08-29 21:39,Blackshark SHARK KSR-A0
532071103,Akiredust,1,牛魔的还跟QQ音乐冲突，你游什么乐色还不能边听歌边玩了,,2025-04-02 17:49,未提供
28556395,无边落木,3,联机体验真差，经常交互不成功，传送门也用不了，恶心人，这优化绝了，手机玩一会就烫手，比王者还离谱，耗电比王者还快，能不能好好优化,1,2022-05-18 23:41,Honor Magic5 Pro 5G
427343447,Oliver,4,几年没上怎么变成传奇打金服辣😭,1,2025-04-02 12:22,未提供
650459160,小小理想,1,退坑了，再见了，我的道士白嫖特性,2,2025-04-02 12:22,Realme GT Neo5 SE
7619911,Yang5050,1,退坑了，再见了，我的童年。,3,2023-07-12 13:51,小米24069RA21C
484115658,不负担,1,咋说呢，存档被野了，真是服了，和原来的存档完全不一样我真是服了，原来我怎么多资源，现在什么都没了，原本的角色也是大变样，我本身是没充钱买过英雄的结果被我多了几个狼人之类的角色，虽然是好事，但是我的资源啥的都没了，完全不是原来的样子，我真是服了，武器啥的一把也锻造不了😅😅😅😓😓😓,1,2025-04-01 23:23,未提供
639834049,你不懂我的痛,1,游戏本身还是挺好玩的，就是氪金内容太多,,2025-04-01 21:17,Vivo V2046A
636201157,我,5,真的不错，最近更新了很多新的活动,,2025-04-01 17:23,Vivo V2024A
3149387,Shadow forest,3,程序员出来加班<br />暴击发射飞弹的铭文和满血必暴击天赋会无限发射飞弹,,2025-04-01 17:05,OPPO A96 5G
57632570,Leslie,1,人家火影削弱强势角色好歹也给你爽十天半个月的，你这才买了几天的就这么削？削也不做下做测试的？一个贴脸肉搏的技能你给搞成能被一村boss几下打爆？现在皮套的三技能还没一技能硬呢,,2025-04-01 15:35,Vivo IQOO Neo10
545115595,龙骑禁军-博弈,1,炸天纯粹试炼真的是认真的吗，满屏的弹幕，BOSS本体还来碰你，搜攻略也全是用连点器的，等于说玩这个游戏还得标配一个连点器呗，纯手打真的有人能过吗,,2025-04-01 14:13,未提供
58201643,猪猪,1,云存档功能做的很乱，客服这个游戏基本可以说没有，还不如一般小程序游戏的客服,1,2025-04-01 12:28,iPhone 14 Pro Max
673580842,自来熟的Master,5,从小到大都玩，好玩,,2025-04-01 12:04,华为 Enjoy 20 SE
444856058,User444856058,2,之前在小鱼干商店买15元皮肤都是14个鱼干，自从活动能免费兑换小鱼干后，直接不减了是吧，皮肤出的越来越贵，越来越丑。<br />从来不优化游戏，打个四村卡成史了，不会优化游戏就不能把怪物尸体删了吗<br />从来不修bug，联机bug我两年前玩着有，这几天回归了bug还在。<br />更新也慢的一批,2,2025-04-01 11:23,未提供
355566789,三生万物,1,暗削氪金物品，皮套王子三技能，枪手数值，每次暗改从来不发公告说明,1,2025-04-01 09:47,小米Mi 10
47948611,不死顽童,5,为什么要改枪手，我付费购买的是5血7护甲的枪手，现在改成5护甲了，这不是欺骗消费者吗？这是单机游戏没有PVP，你改啥？真把自己当王者了，还平衡调整，你免费老角色增强拖拖拉拉，刚出的付费角色这就动刀，这之后谁还敢在你游戏中购买付费角色，买之前还要想想之后会不会被改。真有你的凉屋，真是对你失望透顶了，我一点都没有消费欲望了，玩了这么多年，之前小时候没钱只能玩免费角色，现在有经济实力想找回一下童年，氪了好多角色和皮肤，你就这样对消费者，那我为么不去玩私服，武器更新是慢的，皮肤是一个接一个的，联机卡的要命，锁敌bug是不修的，我正面对着boss索敌不上，你拿着玩家的钱能不能先把元气骑士搞好，别惦记你开发新游了。<br />结论：1.不建议入坑，因为在这个单机没有PVP的游戏中你付费的角色会货不对板，会欺骗消费者。<br />2.联机体验差，网卡，掉线家常便饭,2,2024-03-23 21:47,Redmi Note 11T Pro
346348055,赫拉格,5,好玩只是游戏主要的地牢少了大更新，现在也就靠赛季度日子了，玩腻了就等下一个赛季（忘记上传少了杯想补回来不知道后续有没有办法），其次别整性转皮肤了道士招你惹你了，游戏本身很推荐很不错的游戏,,2025-03-31 23:46,一加 Ace 2 pro
52408153,扶额的咸鱼,2,优化国王皮肤的皮三特效，皮一和皮二放技能和解除都有特效，就皮三没有，纯纯生硬的消失，跟卡了一样，皮三就一个皮肤有特效结果还做的这么敷衍，你也好意思卖30鱼干😅,12,2025-03-30 15:06,红米 K70
571722377,尘与晨雨,1,我打了一个多月的邪王存档没了，奖励也没给绝不可能是我手滑点错了导致的😓,2,2025-03-31 22:28,iQOO Neo 5
71230613,美♂-KpAd,1,不当人啊不当人。,14,2025-01-26 18:35,未提供
677276344,不堪的往日,5,非常的不错，无聊的时候可以玩一下。还是比较有挑战性的。虽然刚开始玩的时候比较困难，但是一次一次突破关卡的成就感是非常不错的。,,2025-03-31 21:46,未提供
360074086,敷衍,4,你真是无敌了，昨天刚买的皮套三技能，今天连个公告都不发，直接削弱。昨天还能站撸绿爵士今天战勇根本叠不上，皮套秒爆。新版本bug一堆，我现在玩元气甚至不能听音乐，玩个远程联机本来好好的，队友突然就掉线了，昨天打个周挑战，初始房间碰到德鲁伊对话一下，他直接给我几百条狼，把我卡成ppt。皮肤是越出越多，都快赶上武器数量了，有时间削弱技能做皮肤，你还不如加强下老技能和老武器。<br />新版精二改的一坨，原本的一击清屏脱手技，改成现在的区域范围锁定技，虽然对单提升了，但你那个技能轮盘手感太差了，跟警三一样。以前的精二只要蓄力就好，还能用手上的武器自保，新版不仅要蓄力还要还要靠近敌人锁定，自保能力更差，不如原版加上追踪索敌再减两秒cd。精三除了cd和风精灵，其他加强都是蚊子腿，怎么皮二咒二警一加强数值给的那么慷慨，到精灵这里就蚊子腿，又没有新机制，建议加强另外两只，常驻一只精灵，技能用来切换另外两只。<br />皮三官方自证没暗削，大概率是修出新bug了。,11,2025-03-28 13:36,Blackshark SHARK KSR-A0
690963774,龙,5,简单耐玩，很好玩。,,2025-03-31 19:25,华为畅享10e
549553463,仰望星空,1,游戏删掉以后账号就没了,,2025-03-31 18:21,一加手机Ace 3V
538218327,殇,5,玩了又删 删了又玩 可以说是最好的游戏了😁,1,2025-03-31 17:59,华为畅享20 Pro
526936577,新的一年,4,建议可以回归迷迭岛模式，就迷迭岛最好玩,1,2025-03-31 17:40,Vivo V2148A
389491855,User389491855,4,好玩，给四星继续努力,,2025-03-31 17:35,Vivo Y53t
548650246,雾峸,5,非常好的游戏使我的警长旋转,,2025-03-31 16:50,Honor X50 
346390303,先吃快餐,5,🎮可玩性：建议更新有点新的模式,1,2025-03-31 15:20,Vivo IQOO 13
412373628,王之浩,3,存档做的不好,,2025-03-31 14:44,小米15
643873641,冥微阑,3,好玩是好玩，但古大陆神器是不是有bug，我都没点攻击角色自己就会攻击，画面卡成一帧一帧的，卡死，动不了的那种,,2025-03-31 13:28,Huawei Nova 11
52678547,死神归来,2,没啥好说的，简单一句话，见不得玩家好,3,2025-03-31 13:05,iQOO Neo5 SE
510685261,？,5,🕹️耐玩性：<br />耐玩性拉满了,,2025-03-31 11:53,HONOR ALT-AN00
6289931,「虛偽の自由」,2,8.4<br />改移速，改收益，加自瞄，改BOSS的弹幕密集程度，改机甲大小或者碰撞体积<br />8.5<br />刚从b站的公告过来，你还是改了，很欣慰。<br />等了要一天，8.5更新，笑话<br />还行，将就<br />服了，吊炸天，用警官只有开机每个好天赋好武器，在前中期就是刮，小怪都可以当boss打，真的服了，这个难度，比肩纯粹吊炸天试炼！<br />削弱祖蓝，削弱祖蓝！天赋池精简点，五六局了，基本就没捡到过减伤！<br />9.1<br />新机甲的图纸我是不会拿了，吃力不讨好。让你削弱祖蓝，结果呢？反向加强了！现在祖蓝弹幕不仅密集，伤害还巨高，开局没个减伤或者高等级芯片碰到就是寄！还有收益！就不能把每日任务的奖励改高一点吗！你现在改的只是把无期徒刑改成有期而已！<br />恭喜祖蓝超越典狱长，成为最终BOSS！<br />改的很好，就是有点晚，氪金点多了些<br />2023.7.11<br />你一个皮肤20？那我30一个的教廷呢？教廷皮肤的特效甚至比不上一些15的皮肤<br />2025.3.31<br />真无语了，一个图纸碎片，打了十多把硬是一张不掉，你不会真以为刷你这b碎片有意思吧？,12,2021-10-03 12:12,Vivo IQOO 13
57568447,辛云,1,刚买皮三就削弱，不愧是你啊凉屋，祝你蒸蒸日上,2,2025-03-31 01:25,红米 K70
64460264,希卡,2,😅付费技能买完即削，你是真牛逼啊凉屋,1,2025-03-31 00:30,Realme真我V13 5G
100017265,梁大,2,凉屋<br />不让上传录屏我打字说吧<br />做每日因子任务  攻速加快伤害降低＋暴击提升爆伤降低＋攻速加快＋骑士3＋改良冲锋枪（不耗蓝）＝1秒打1发子弹伤害为0的究极**,1,2025-03-30 23:30,OPPO A1 Pro 5G
561501928,可爱的空格先生,5,能不能改一下复活广告的机制 那个广告看完之后就推不掉了！,,2025-03-30 21:46,Redmi  K70 Pro
67590773,Mr.WeHs_P,4,在这里不知道官方能不能看到，我想说最近皮三更新，然后怎么一直有小更新，我以为修bug，毕竟刚更新了不少内容，可以理解，然后，今天上线刚玩皮套3就感觉不对，我皮肤和三技能都买了，结果一看，削了，大削，我算什么，小丑吗？我就不明白了，凉屋你耗时耗力做出来的技能，目的不就是让玩家有一个更好更丰富的游戏体验吗？你这样子做不但让自己的口碑更差，也让玩家们觉得恶心，抛去过于逆天的bug外，我真的觉得，你这个技能要不就别出，要么就别一直乱改，改来改去恶的是玩家的心坏的是你凉屋的口碑，要不就调试好了再出，你这样子真的就是属于让玩家花钱买恶心玩，你说你，出了技能，反响不错这样多好，玩家玩的爽，你挣钱挣得爽，还能收获不错的游戏热度，这样多好，非得搞的玩家不满意了以后到各个平台反应，不说别的，这样真的有利于你们发展吗？凉屋基本上就是靠元气火的，本来现在的玩家数量就不如之前，说难听点就是再走下坡路，你还一直这样搞......失望的人只会越来越多，我也算是很早一批玩元气的玩家了，凉屋出的各种游戏也买过不少，我真的希望你们能好好的看看自己的游戏，看看玩家的期待，不过tap上征集武器的活动倒是不错，我这次只是针对这个皮三技能，实在绷不住了写的评论，也算不上骂吧，只能是建议贵司，我真的很喜欢这个游戏，希望你们...善待自己的游戏，和剩下的玩家🙏🙏🙏,2,2025-03-30 18:50,小米 Redmi Note 9 5G
517352684,白夜衫斯,5,TABTAB和应用市场版不是一个渠道吗？<br />为什么可以共存啊？,,2025-03-30 17:06,华为畅享10s
557470753,User557470753,2,"要不限制一下强度吧，第一次发现伤害不是越高越好，连着死机了两把，玩尼玛，我a都没a,boss就被我带进去的飞弹打到了然后左脚踩右脚触发一堆奇怪的东西，直接死机了",1,2025-03-30 16:57,Huawei P60
517005022,随缘,2,忘本的公司，不值得高星，装备全靠打，哇爆率这么高，快来玩贪玩元气！,14,2024-08-28 17:24,Vivo IQOO 12
507682825,宇智波豆,5,以前渠道服玩了几年，最近又回坑了。很好上手，但并不简单。时常出一些新玩法，是很好的游戏，希望能蒸蒸日上😋,,2025-03-30 13:10,HONOR 100
326523089,言曦,1,【运营服务】<br />路边运营背刺氪佬，花￥买的技能没一天就不明不白挨削弱，🔥🐔15低质皮出出出到厌倦，仿佛是把二游厂商淘汰的手段视若珍宝。结论：这游戏不用氪！🤣,4,2025-03-30 11:05,华为 Mate 30
42139244,不存在的,1,刚氪完就削弱嘛，真有你的😅,12,2025-03-30 09:30,Vivo IQOO 11
45939072,GJL,1,刚买的有福了，以后千万别买，矿三，枪手，还有狂二，不知道的还以为很强呢，就连lol，瓦，劫太超模了也是买完皮肤在削，你个b单机不知道的还以为很牛逼呢？活吧，​谁能活过你​啊🤣,9,2025-03-30 09:28,Realme真我GT6
710660935,123,1,广告自动跳转根本关不掉，太恶心了,1,2025-03-30 09:24,未提供
419458757,初生,1,皮三出完皮肤就削弱暗砍666,9,2025-03-30 02:31,U-MAGIC 优畅享20
706494120,GGBond,5,玩了许多年元气骑士，可以说是十分良心的一款游戏了，不断推出新玩法，特别是官方是我见过最给力的😆😆😆游戏关卡百玩不腻，有什么bug或是玩家有什么意见官方也会尽力去修，去改善。<br />对于新手玩家，可以先考虑先解锁剑宗，不仅免费，还有较高的强度，技能也帅气，到了后来熟练了就可以用不同角色搭配不同天赋玩出不一样的花样<br />希望元气骑士能越来越好👍👍👍<br />还有一个是官方今年把五村合并到四村能不能优化一下，海底玩起来卡卡的😂,3,2025-03-30 01:19,OPPO R9s
643890240,小羊,5,初中就开始玩了 凉屋挺良心的 好玩,,2025-03-30 00:43,小米Xiaomi 14 Pro
1520126,Cherish.,2,是燃尽了吗？活动不会做？这跟正常玩有什么区别吗？连快捷浏览词条都懒得做？还想着会有什么新花样？用活动货币升级？死了宠物还消失？你不会做直接删了得了，摆上来敷衍谁？,5,2021-07-25 01:30,HONOR AMM-AN00
521445393,piedgy,5,小时候很喜欢玩，现在重新回坑意外发现好简单,,2025-03-29 22:42,未提供
104213338,び冰凝城夏,5,几年前下载过一次没感觉多好玩，这次下载感觉好新颖，制作组有心了😊,2,2025-03-29 22:17,Vivo X200 Pro Mini
10506547,You＇re my demon,5,简简单单拿下,,2025-03-29 21:13,未提供
21197439,繁OR简,1,喜欢暗削是吧？削的还是氪金技能，合着嫌卖得太好了是吧，小砍一刀就算了还要大砍一刀，建议看到这游戏绕道走，想玩去玩破解得了😅,6,2025-02-27 11:13,未提供
489514584,柒,5,"请看伤害加成赛季模式千岁婆婆太权威了,1000多格的血,配合上加一格血就加3%攻击力的钻文伤害力直接爆炸,什么boss都可以直接一刀秒,还有打刀萤火和魔刀千刃太像了非常推荐这款游戏。",1,2025-03-29 20:04,小米MIX 2
441625925,无丿所谓,5,这才是最绝望的死法,1,2025-03-29 15:50,小米Redmi 9A
72340119,恩恩以经饿了,5,呜呜呜......我再也不玩破解版了<br />🕹️耐玩性：<br />nb<br />🎲随机性设计：<br />nb,,2025-03-29 14:51,Vivo V2057A
2500368,神经酥,3,请问一下大厅二层的怪兽崛起游戏机是哪个大哥做的？开局三选一，每回都是不一样的角色我可以理解为了随机性和游玩难度做了好的调整，但是一把游戏总共打下来就三个大关，一小关打完，这个金币是不是少得可怜？又要买徽章给角色加强度，又要买新角色，然后打着打着，时不时还要补血，有时候可能需要复活，还要买肉加角色上场的位置，然后赚钱的办法就只有两个，角斗场或者一小关打完结算金币。先不说每把角色能不能拿到满意的好的阵容，至少角色能多给点买的机会吧？商人那里买角色次数太少了，一整把玩下来，可能最多就一两次，看得出来这个东西是模仿那种卡牌游戏来的，但是你能不能多加点角色的购买次数，而不是每回都要走到地图特定区域来买，你打完一小关，给的钱往往都要拿去补状态或者买肉，那我哪来的钱买新角色呢？那个3金的保险，死一个角色就给5金，但是买一个角色往往需要9金基础左右，这个保险的意义在哪里？或者你觉得，一个大关里面所有的关卡全部打完，这个金币是很充足的，那这个迷雾是不是来的太快了，玩家没有那么多的选择余地，基本上得一直往前推进，没有办法回去去打钱或者说走到“遗迹”这种特定的区域去探索。然后玩家在迷雾内受的伤的这个成本太高了，敌对怪物又不吃迷雾的伤害，然后本来可能是势均力敌的，打着打着就打不过了。一把游戏不确定性太高，收益又太少，我不介意收益少点，但是起码这个游戏机里的这个怪兽崛起，能让玩家玩的爽一点吧？能让玩家觉得这个是好玩的，而不是每回都因为随机性在考虑，要不要补血，要不要走哪条路。以前第三大关的结尾是对抗一个顶级小队，现在怎么改成了打一个BOSS呢？以前可以说，全部买输出或者买半肉战士，可以极限推过去什么的，现在这个BOSS，你队伍里没有肉，没输出，就等于没得打，那么我请问一下，如果这一把游戏我一个肉或者高输出的角色“炸弹人，机枪”这些我都买不到，那我该怎么打过去呢？我玩游戏的目的不是为了赢吗？难道我是为了赚宝石来这里玩的吗？<br />总的来说，现在的问题就两个大点<br />1，金币问题。要么提高每一小关打完的金币收益，或者说多给玩家探索的时间，让迷雾不要来的那么快，或者迷雾内伤害降低，同时敌对方也受到迷雾伤害<br />2，人物问题。每两小关或者三小关，结算商店内，商人卖两个角色，让玩家有选择权，可以补强阵容强度（毕竟你这个商店，经常卖一些强度不高的徽章）<br />真的牛逼，我角色玩重叠了，这种BUG也能莫名其妙被触发出来😅,,2025-03-24 11:34,未提供
324352027,子虚,2,你游没pvp还要搞暗削小操作，玩家前脚刚花了钱，没过两天就要被背刺，真的是有实力嗷<br />——————————————————————<br />天天就惦记你那皮肤，bug一堆，关卡玩来玩去就那么多，赛季模式也是依托，联机体验也差的要命😓,9,2024-04-25 11:13,未提供
101403946,任,5,还可以，游戏难度不是很高，元素非常多，模式也很多，打起来很爽,,2025-03-29 10:09,华硕ROG Phone 8 Series
593072998,大头爸爸,5,福利很多，皮肤非常有创意，大多数皮肤也可以白嫖,,2025-03-29 08:51,未提供
26352868,goSER,1,有第一次暗改就有第二次，要么加强要么把钱退给我，不然我以后就不充钱了,6,2025-03-29 08:47,Vivo V2049A
437072488,CQG,1,所以就是广告有的根本退不了，导致我的游戏奖励概本就拿不了，特别是它的广告出现功夫厨这个东西后根本就没法领游戏奖励了！！！,1,2025-03-29 06:06,小米24069RA21C
126000897,哇哦,1,今天回归准备回忆过去，没想到让几个广告劝退，有的广告点哪都关不掉，更有的一个页面放3个跳转链接，属实有点恶心，不知道的还以为我是来看广告的不是玩游戏的。,1,2025-03-28 23:33,未提供
65656850,。,1,皮三削弱：（转自贴吧）<br />1.刚变身蓝条就不是满的，需要立即杀怪才能满蓝条涨紫条。<br />2.紫条下降速度巨快，停下不到一两秒就瞬间没了紫条，几乎很难进入双拳击打模式。没削前全程变身可以实现几乎全程双拳击打模式。<br />甚至舍不得让玩家体验一个小版本的完全体吗🤣，支持热更新明细🤣,9,2025-03-28 23:26,HONOR AMM-AN00
103811978,P。,1,吃相太难看了，放个广告一个个和病毒一样，关又关不掉，来回弹,,2025-03-28 22:38,小米 12
572511200,彗星,5,玩了很久，我中间号丢了，又换了一个号，总之来说前期的话会有些肝，但玩到后面还是会好很多的，耐玩性的话其实也不算特别好，水是那种想卸载的话，没有那种特别的牵挂，现在玩的话，主要是因为算是一种回忆<br />如果是新手想玩的话，现在的话推荐用警官一技能或者是剑宗二技能,1,2025-03-28 20:20,荣耀30 
658311762,昊昊昊昊,5,五星，送给我的童年,,2025-03-28 20:18,Honor X50 
545858113,五༒郡主,5,凉屋多出点新地图吧。与其探索更多玩法，不如做增加点有特色的新地图。一村二村三村都需要注入点新血液啊😭😭,,2025-03-28 20:12,Realme真我GT Neo2T
98122464,如影随枫,2,新赛季总体上还行，就是开芯片很头痛，前期一红一蓝升满后可以开始割草，开芯片有个小技巧，每天芯片顺序都是固定，建议每天开两个箱子，没开出想要的赶紧读档等第二天刷新，这样可以四个箱子开出自已想要的两块，而且精炼太坑了，战斗后局内的芯片也不会带出来，一局给的赛季币太少了，虽然每个角色通关还可以，但全部通关后就开始养老了，每天就领那六百赛季币，全角色芯片槽分开太难受了，希望可以优化一下<br />回游一次是真的给我开眼了，充钱买的角色还能被削弱😅😅😅一个上线那么强的技能，被一堆人吹起来骗人去买，然后又暗削一刀。是不是不想赚钱？你这样搞谁还敢给你充钱？不会赚钱就别赚😅😅😅,2,2022-08-15 12:38,iQOO 9
48820431,24岁，是歌姬,1,皮三这么快就削弱了，。。给我和谐了考,5,2025-03-28 18:01,红米K70E
65011378,比海洋热烈,5,仔细算算玩元气也有个五六年了，之前有个号，是渠道服，没办法只能重新练号，喜欢它的可肝性，邪王打的不亦乐乎，但是唯一的就是，好多角色需要付费😇😇😇😇😇，这游戏时长假的吧,,2025-03-28 15:46,小米Xiaomi 14 Pro
704252901,操作神,2,花钱买的皮三和皮肤，削了。退钱。,7,2025-03-28 14:24,红米 K70
17551574,千一,1,我白花钱了？要不你就弄好再更新，我玩尼玛呢？皮3,5,2025-03-28 14:25,未提供
608093923,就嘻嘻嘻嘻就是,1,我刚买了皮三就暗削了，现在脆得一匹，你们还要点脸吗？！！！,6,2025-03-28 13:45,Huawei P60
593866880,jxijnsg,5,很小就开始玩了,,2025-03-28 12:30,Vivo IQOO Neo9
31799627,是你,1,为什么更新以后taptap账号不能登陆了,1,2025-03-28 10:05,Huawei Mate 60 Pro
126802140,你亲爱的Tom先生,4,这个活动不好玩，主要是就3个槽，没位置就孵不了蛋，孵蛋也要时间，一个房间那么多蛋，一个个选又耗时间又费力。<br />能不能蛋全捡起来放背包，一键孵化，然后我们在包包里面慢慢选天赋好的宠物。<br />建议赶紧热补丁,2,2025-03-28 09:15,Realme真我Neo7
423275136,s3打杂是现在,5,能不能把皮套王子的紫爵士特效给女仆也弄一个,,2025-03-28 09:13,华为BRE-AL80
