用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
640550451,等到风起时,1,以为是公平竞技游戏，玩了才知道纯粹是去当经验怪的，不知道是因为充钱少了还是怎么的，感觉和别人玩的不是同一个游戏,1,2025-04-05 17:54,一加手机Ace 3V
333902779,小呆呆,1,非常好的运气游戏 操作在这个游戏就是一坨😃,,2025-04-05 17:02,iPhone 15 Pro Max
632230989,hggiw,1,游戏好玩，但哪有一帆风顺的，差评。,,2025-04-05 16:48,OPPO R11s
603672539,07,1,看都看不懂。,,2025-04-05 13:43,Huawei P60
626997127,顾冷☆清风,1,什么sz系统概率，当时十级，就差一个五费就能升三星，D了五六十次就是不出，所有人都D出了三星五费，我就差那一个，一百多金币全搞完了就不给你出，这已经不是运气问题了，就是不想让你赢。本来稳赢的局搞成失败，控制胜率不要这么明显吧，赢一把会私还是怎么样，控制发牌有意思吗，策略游戏硬生生玩成机制控制游戏，还能招笑点吗😂😂😂,2,2025-04-05 00:28,Vivo V2417A
6471749,euphoria,1,不给发牌是真的一张不发啊，腾讯你是这个👍,,2025-04-05 12:04,小米Xiaomi 14 Pro
444849302,咿呀咿呀呦,1,狗游戏，让你赢得时候放只🐷在这都能赢，不让你赢的时候外面全是经济类海克斯，就你一块钱不给，压你登记，还在关键时刻告诉你未知异常，请重新登录，真恶心，本来一块不给纯靠老子组阵容就烦，搞这一出，肯定要给个差评,,2025-04-05 10:20,小米15
18486430,thigh,5,游戏非常好，就是白嫖的人物棋盘太少，哈哈哈,,2025-04-05 08:00,一加手机Ace 5 Pro
633104832,陨,1,什么垃圾游戏，这样搞人心态，什么好的东西都不给，真的是破游戏。就不应该这个世界上。垃圾游戏。,1,2025-04-05 07:38,Vivo IQOO 10
67581726,風間瑠璃,2,模拟器优化好差啊，而且游戏越来越卡了，别说我手机不行，好歹也是天机8200，电脑模拟器强制显卡运行4060都快卡成一坨了，页面整天小黄点，本来左边活动和抽奖弹窗都够烦的了，现在在右边单独出来一个商城的弹窗,,2025-01-09 08:33,Redmi Note 12T Pro
570625669,1111,1,我10级啥也不给   别人9级天选德莱文。并且还在我拿了一张天选德子的情况下，这到底要怎么赢呀？,1,2025-04-04 18:32,Redmi K70 Ultra
22759506,猫腻,1,不愧是腾讯的，只是忽悠的时候那些一点都没变的。这地球上你说第一，这后面都没法排队啊，说第二也没第一和后面的了。<br />绝了，要不你公司也改名得了，改成大忽悠。<br />大忽悠公司，这名字一听就挺忽悠的。<br />游戏有差评是正常的，但是你这一手真的是让我彻底无语了，差评太低直接就换游戏了，对吧，是不是啊？把有旧游戏下架直接换成新游戏，你这操作厉害了，不过我们看了还是要给你差评的。<br />大忽悠公司名不虚传。<br />究竟是哪所学校能培养出如此的卧龙啊？<br />对了，你的朋友凤雏在哪儿啊？<br />我就是问问而已。如果你知道的话还是跟我说一下你的朋友在哪儿。<br />大忽悠厉害。<br />能把人卡死！！！！！！！！！！,85,2021-10-19 16:58,Realme真我Neo7
4669977,繁星，梦落,4,铲子你内策划不行就雇我吧，新赛季越来越吃老本，现在就没有个创新性的羁绊吗，最近这几个赛季版本一打开就有种熟悉的感觉，我从s1的哈哈姐一直玩到现在了，总结一下就是前7个赛季都是独立创新后几个赛季开始半搬半创新，新赛季希望玩法创新可以好一点,,2025-04-04 16:31,华为 荣耀30 Pro 5G
36843830,樱花恋,1,你们敢信刷了60多次都没有3星劫，玩来玩去就那几个可以玩的流派。<br />明明就是卡牌游戏，好歹有一点策略吧？<br />运气好，直接赢，运气差一堆狗屎装备。,1,2025-04-04 12:18,未提供
31095678,梵高,1,下载游戏2G进去游戏还要更新2G，更新完了之后还有6G要下载。你为什么不能标注游戏整体有多少G啊，我以为更新好了就能玩了，结果还要下载这么多？你不是恶心人吗？直接卸载，垃圾游戏 骗我流量,,2025-04-04 12:13,红米K20 Pro
681651694,yyc,1,本来dota2自走棋晚上网络一直不好想试试你的，好家伙下载资源界面一段15s的小动画给我重复了20分钟😂，还不能暂停，真的快崩溃了，能不能考虑下新人感受啊。你哪怕派人团建我至少话语不会重复这么崩溃啊。还是回去玩do2自走棋了,,2025-04-04 10:57,华为BRA-AL00
32665909,佬,5,有不怎么会的一起铲吗,,2025-04-04 02:52,华为BRA-AL00
639124007,白日梦想家,1,不懂，为什么不能后台自动下载,,2025-04-03 23:41,Vivo V2031A
379879955,猛,1,有没有人和我一样想要的牌D不出来别人也没卡完也D不出来的  我好几句都是这样系统就像长了眼似的有妮蔻就卡你最后一张就是D不出来<br />⚖️平衡性：<br />平衡不了一点<br />💡玩法创新度：<br />让人恶心<br />🎮可玩性：<br />不推荐,1,2025-04-03 23:12,小米Xiaomi 14
454623383,Laity,1,垃圾游戏一个 匹配机制完全不合理,,2025-04-03 22:24,OPPO PGBM10
