用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
26047144,靴靴靴靴子呀,3,2021.6月底，退坑了，三星给那四个男人，机制真是太辣鸡了，吃相也太难看了<br />———更新<br />10.20抽到陆总跟夏彦小天使啦～满足ww<br />———————更新—————<br />希望能抽到陆总还有夏彦小天使呜呜呜呜呜<br />——————更新————<br />异常第五章下也太难了叭！呜呜呜呜呜<br />七夕卡池太难受了呜呜呜<br />关卡我也打不过，卡养得也慢（还老抽不到需要的属性呜呜呜），材料刷得也累<br />—————————分界线——————<br />玩了几天，不是开服玩家，打算继续玩下去(⑉°з°)-♡<br />总体来说，游戏体验还不错|･ω･｀)<br />优点：剧情比较有趣，我也难得都看完了hhh（玩其他游戏我都跳过剧情的）<br />声优我太可了！！！人设什么的都很喜欢！卡的画面也挺好看哒（希望多出点卡，悄咪咪说一句）<br />而且不是很氪！(○ﾟεﾟ○)<br />需要改进的地方：进化刷材料有点累hhh希望掉材料多一点<br />卡的掉率一般般吧<br />希望出一个扫荡功能，一次次等比较花时间(º﹃º )<br />希望继续做下去，而且能越做越好！（别太逼氪，氪是可以的，就别割韭菜就行ヽ(｡･ω･｡)ﾉ）,2,2020-08-15 12:40,未提供
703265548,砂海,4,💎资源获取：升级卡和经验书一类还是比较麻烦，前期建议主要升几个不同属性的卡就行了，常识，令我惊讶的是升卡所需的材料居然和米家ys副本一样有固定时间才能打，不过都是小问题<br />💘恋爱感：看到有人说恋爱感不强，其实我感觉还行，这游戏主打暧昧吧，但是能感觉到主控是很有魅力的，就我而言我会很喜欢，玩过其他乙游都会给我一种憋屈感，无论我是设计师还是物管局局长，几乎在男主面前天然是下位者，我不喜欢这种感觉，但是未定的主控和男主直接可以让我感觉到我的“自我”<br />不说有多女凝吧，至少男凝少了，这就是我希望的，可以给我应有的尊重，我是一名未定市的律师，很有代入感<br />🎮可玩性：很强，玩法不算多出众，但是能让人静下心来看剧情了，挺有意思的，逻辑比较强，我其实不喜欢那种在剧情中加入毫无意义的玩法，不过未定做的还不错<br />🌃画面音乐：卡面很精致，美术挺好的，没什么好说的<br />这游戏优点就是我很主动的同时没有倒贴感，更没有男主（目前我玩到现在没有）和我说什么“因为我不能允许别人欺负你，所以只好我来欺负你了”这种一看就知道我处于下位并且pua我的文案，玩到后面再有感想再补充吧，目前愿意给四星推荐,1,2025-04-05 08:46,Vivo V2417A
611113670,青果,4,来来来未定事件簿我问你点事。<br />就论最近几个月夏彦的卡，可以说除了SSS全是侧脸。<br />你把绮思背景换成甜心服饰被骂还不够，新出的兑换mr卡又是什么鬼？<br />那张图我都不敢看第2遍，腿和胳膊是正常的体型吗。把那张卡和千灯卡放在一起对比瞧瞧都不敢相信是同一个人，夏彦是生物大学毕业的吧，不知道的还以为是体育生呢，拒绝夏彦和体育健身捆绑哈。<br />不是端水吗，怎么其他几个都穿上西装了，夏彦还在穿旧衣服，夏彦的西装呢？我们夏彦也想穿西装。不敢想象这是一个系列的mr，夏彦卡面的精细度和创新度落后的不是一点半点。未定事件簿不要在区别对待夏彦了😇<br />生日放在右上角生怕被人看见吗，四个人只有夏彦的生日字体大小不同，这就是米哈游最会端水的伟大生煎包吗？<br />恭喜夏彦四缺一西装🎉恭喜夏彦全场唯一旧衣服旧卡2.0🎉  恭喜夏彦喜提除【全员】SSS【统一正脸】外的连续大侧脸kpi🎉恭喜夏彦2025又拿下一张丑侧脸🎉恭喜夏彦全场精度【再一次】倒数第一<br />端水事件簿 端端又水水啊👍<br />在大超发被拉黑了，未定事件簿是不敢听玩家意见只会捂嘴吗？夏彦欠你的吗，侧脸侧脸又侧脸，夏推是不配看夏彦的正脸吗？<br />这就是你游对待看板郎的态度吗？🖕⚠️这就是你游对待看板郎的态度吗？🖕⚠️这就是你游对待看板郎的态度吗？🖕⚠️这就是你游对待看板郎的态度吗？🖕⚠️这就是你游对待看板郎的态度吗？🖕⚠️这就是你游对待看板郎的态度吗？🖕⚠️<br />📣未定事件簿无偿归还夏彦【正脸】📣未定事件簿无偿归还夏彦【西装】📣未定事件簿无偿归还夏彦卡面【精度】📣未定事件簿无偿归还夏彦四人活动【适配性】及【创新度】<br />📣未定事件簿无偿归还夏彦【正脸】📣未定事件簿无偿归还夏彦【西装】📣未定事件簿无偿归还夏彦卡面【精度】📣未定事件簿无偿归还夏彦四人活动【适配性】及【创新度】<br />📣未定事件簿无偿归还夏彦【正脸】📣未定事件簿无偿归还夏彦【西装】📣未定事件簿无偿归还夏彦卡面【精度】📣未定事件簿无偿归还夏彦四人活动【适配性】及【创新度】,,2025-04-05 03:34,未提供
44683380,有靈,2,画风很好 男主人设没有魅力 玩到现在 也不知道自己喜欢哪个男主 我也不是all推。现在上游戏 完全是想把主线看完 只能说剧本确实挺吸引我<br />主控的造型完全日本女团的感觉 发型斜分然后戴多大花 不感冒。<br />最后 特别讨厌米忽悠这个公司😁,,2025-04-04 17:56,Huawei Mate 60 Pro
537997371,阿离,5,之前下的渠道服丢了，重新在官方养一个。<br />但是……为什么！又是莫弈！重开的号也是莫弈！新手池是莫弈！活动池也歪莫弈！我！推！小！陆！啊啊啊啊啊！不要再来了莫弈……,,2025-04-04 14:26,未提供
651221798,暖月,5,新入坑的，我不知道是十六加游戏错过一年好可惜,,2025-04-04 01:42,未提供
590233370,云间梦璃神,5,还算可以的，刚玩三个多月，因为战力不够好多都打不过，莫弈单推，抽卡资源还是够用的，我抽了三个池子——周年庆，单人和莫弈生日，我是次次满保底的那种，月卡党单推会真的很舒服，莫弈生日池子我满保底还可以剩下三十抽，我也只充了月卡，邀请函和衣服另算，后面玩资源比较紧缺（米游社的那个是懒得打😣）<br />唔……玩了两百多天了，每天也就上线神速做个日常，两分钟时间也就搞定了，还有就是大活动上线肝一下，主线什么的也打完了，不是很肝，也不氪，我目前月卡➕半年卡单推还是很舒服的，我抽卡的规则就是莫弈的卡必抽，另外三个男主看想不想抽，莫弈抽不到就氪，大活动就是先把莫弈的卡抽了，其余男主看剩下的多不多，多了六七十抽就会去抽其他男主<br />我也算是非酋本色吧<br />2.04我能坚持玩下去的游戏真的好少再过三个星期左右就要满级了，希望满级之后还有玩下去的动力吧<br />4.3<br />好了姐妹们，我也是来更新了，简直是非与大保底！！！今天莫弈的SSS满保底出了，绝望了好吧，五一还有一个活动，我拿命抽吗？我问你呢米忽悠，你觉得我很好忽悠是吗？最近我看你也是缺钱了，事情一堆，一年不挨骂还是来找骂了,10,2024-07-10 15:40,Honor X50 
102842087,娅渲,3,二月底三月初被吸引过来玩的，以下是目前比较影响本人体验的几点，供参考<br />1.是体力方面卡的比较紧，不太够用，容易卡关。琢磨了一下获得体力的方式有三种，一种是自动回满一种是每日任务有60，还有一种是等级提升。想提升等级，刷材料什么的根本不够用😵如果每天分早晚上线应该是够的，但那会很累😢<br />2.是升级材料方面，研修可以刷但次数只有两次，工作证可以提次数但少不够用，兑换以及可以换比较低等级的材料，限时卡池可以换高级的材料。总结：不够用。<br />3.是陪伴感较差，短信要抽卡，电话要花钱，没有朋友圈。主页有男主互动but没有声音，看了一下要好感30级才能解锁，日常好感经验1000，玩的时间短没有特别偏好的男主而且没抽卡资源的情况下，较难升级。<br />4.是本人比较看重剧情以及代入感的，这一点真的😟😟 代入感可能是比较主观且抽象的东西，不太好形容。比较有深刻印象的点在男主的心理活动，在他们的心理描述里的那个形象性格太具体鲜明了，这一点在卡面剧情中尤为明显。<br />还有就是卡面剧情中男主有声台词原来只有几句，第一次点开以为是我没开声音。<br />5.是薛定谔式的社区环境。像本人一样不混社区但上网的话还是慎入，不知道是不是有什么信息茧房，没下载游戏之前刷到相关帖子以及视频表面一片祥和，一段时间后被大量女主党创飞。<br />本人目前42级（今天应该能到43叭），主线卡关，单人剧情随好感等级解锁，能看的看完了。目前打算继续再玩玩看，或许后面我真香也说不定捏,,2025-04-03 13:17,未提供
710017044,阿萨Aza的狗,5,就是很好啊！！！！<br />其实也有不好的的地方？我是陆推，结果他给我狂出夏彦！咋的！？我的陆景和是橙毛啊！！！！<br />✍🏻建议：<br />专业出人！我要陆景和！！！！啊啊啊啊啊啊啊啊啊啊啊陆景和啊啊啊啊啊啊啊啊啊,1,2025-04-02 04:14,联想启天K10 Pro
470677384,一只柠檬,5,爱了，铁血夏推,,2025-03-31 16:36,荣耀 X30
