用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
638522593,安霖,5,不负所望。真的越做越好。新的版本玩的很爽。个人认为，某些解谜能不能把攻略做的详细一点。,1,2025-04-05 16:04,Xiaomi Redmi K60 Ultra
449116931,dkdo,5,没什么好说的，在我无数个孤独的时候鸣潮都在我旁边陪着,,2025-04-05 15:43,Vivo IQOO 13
428361236,Asuka,5,这次剧情真正打发了我鸣潮剧情只有龙傲天的思想，充分发挥出了2.2剧情里每一个角色的作用以及角色塑造的很好！<br />这次剧情做的很好！,,2025-04-05 15:38,红米K70E
23728013,滅堂,5,手机无法完美体验这个游戏,,2025-04-05 15:09,Redmi K60
678444220,。。。。,1,越来越es了。,2,2025-01-14 21:47,未提供
392853760,angel,1,周年庆版本对我来说就是纯纯逼氪，菲比出的时候都说可以跳，来了赞妮有是绑定才能最强配队，我只能跳过，坎特雷拉抽了，主播都说一坨，到弗洛洛一出又说坎特雷拉弗洛洛t0配队强无敌。<br />我反正是一路大保底过来的，一个版本在0+1，现在，赞妮和菲比做一桌吧，新光套全融了，省的又忍不住抽了赞妮后悔没有菲比。这一切都是卡提西娅对我的考验。,15,2024-05-26 00:35,Vivo IQOO 12
126998803,天化,3,还行，就是抽卡有点恶心。怎么说呢？深塔和全息怕不是给人玩的吧？声骸也不出想要的属性，至于别人的几十万的伤害，我也不晓得怎么搞，可能是我太菜了。没啥耐心了,2,2025-01-18 11:21,Vivo IQOO Neo9
589622172,喰木小天使,5,是开服玩家了，下面几张截图证明一下，说真的，鸣朝最近真的挺好，尤其是贝奥海域那个夜晚的鲸鱼天空，你只要看过它，那么你就应该知道鸣朝最近是什么样的，那个场景是真的太震撼了，应该是手游界画质巅峰了，运营除了开服那段时间，剩下的都还可以，很棒😃,1,2025-04-05 14:01,一加手机Ace 3
583576848,尘有终,2,游戏很好玩，但是你tm抽椿歪我俩次安可就过分了，白充的月卡,,2025-04-05 13:45,Vivo V1816A
668138733,神,4,作文一名开服玩家 现在已经80级小萌新了，鸣潮经历的我也知道，十分的曲折，我在这里点评一下，希望大家见怪莫怪，我都是我个人的观点。第一，玩法是大世界类型，我很喜欢这个类型，我感觉很自由。第二，福利还是很可以的，可能是新角色出的太快了 太好看了😍，星声我都没多少了，因为角色不断上线，所以我觉得应该稍微提升一下星声的获取额，这样子对平民玩家和微氪玩家都很友好，，当然没人会嫌弃奖励多，还是多一点奖励更有可玩性，更吸引人，毕竟如果一个游戏的奖励太少这都留不住人（可能是我做任务太快了，现在星声攒的很慢）。第三，这个声骸我还是要讲一下，特别是4c声骸，每个星期只能吸收15次，这样还是太憋屈了，因为有这么多角色要用4c声骸，而且不能保证都是有用词条，单单15次都不够刷的，建议提高一下，有30次左右就很不错了（我算一下，一个星期7天，每天刷4次左右就刷完了，30次真不多了，这个我前几天有反馈过了，不知道会不会接受提议）。第四，是3～1c声骸，我每次去刷的时候都比较难受，为什么呢？比如，我想去刷今汐的声骸，但是她的声骸和攻击力的那个绑在一起，这导致我老是刷到攻击力，当然这也怪我这个号不太欧，但是我还是觉得可以把自己想要刷的声骸单独放出来，就比如攻击力的是一个副本，热熔伤害的是一个副本这样子单个拿出来，我知道这样子很难，如果要单独放出来，可能又要搞一堆东西，很辛苦，我在这里只能说一声抱歉，因为我也想过这个过程可能无法做到，不过我这也是一个建议而已，声骸放一起我还是不太介意的。我觉得现在鸣潮主要的问题还是声骸的玩法问题，其他都还好，可玩性还是很高的，嘻嘻嘻😁害怕网络暴力，轻点骂，有什么建议的可以在评论区发一下，我们一起反馈（最好周年庆可以给每个玩家一个小保底😎虽然说不太可能哈哈）,1,2025-04-05 13:20,小米Redmi K40
109481368,shine,3,还行吧，人物造型不是很喜欢，没有让人印象深刻的。,,2025-04-05 13:15,华为 Mate40 Pro
495656244,lovehina,5,1：2.2肥肠豪丸<br />2：tap你怎么不给我算时长,,2025-04-05 12:59,小米24117RK2CC
70935980,User70935980,5,2.2极其优秀,4,2025-01-31 16:22,小米 Redmi Note 9 Pro 5G
