用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
705269592,银锒锒,5,超级棒！出货嘎嘎快,,2025-04-05 15:24,华为 nova 6 5G
708830354,言,4,除了抽卡🙄，剩下的都挺好,,2025-04-05 15:09,金立GD032313
418561805,懒懒的时光,3,还行,7,2022-01-24 10:35,Honor X20
513952324,那那那,3,玩了不算久吧，又肝又氪说的就是这个游戏吧,,2025-04-05 14:48,小米23090RA98C
627088608,龚轩,5,怎么有点3D版传奇的感觉呢😸,1,2025-04-05 14:40,一加手机Ace 5
707442086,音符石,5,很好玩，可以满世界跑😆,,2025-04-05 13:55,Vivo Y100
708345117,芙宁娜Aa,5,剧情非常可以。角色好看。,,2025-03-16 22:05,OPPO A8
358490199,嘿呐0,5,这款游戏值得体验😼,1,2025-04-05 13:18,Vivo V2036A
370115508,笈念,1,我想问，我一个没玩过的人为什么有个号？什么玩意这是,2,2025-04-05 12:48,OPPO PEAT00
694975895,六花,5,只为情怀，在游戏风评好时没评价，现在补个,,2025-04-05 12:45,未提供
431699423,羽,5,多加点福利吧,,2025-04-05 11:27,HONOR CLK-AN00
506696579,月战老兵,2,能不能要非大家一起非，我能忍受140＋一个up，但是我不能忍受30抽就出金的人的跳脸,12,2023-07-20 18:36,华为BLK-AL80
58702431,星寻,1,玩不进去了，全是史，石头还难攒，充钱赤石我做不到啊😭,2,2025-04-05 10:49,荣耀 50
630742071,走地草履虫,4,没抽到……(阴森地笑)……没抽到……(阴暗地爬行)……没抽到……,,2025-04-05 10:35,OPPO Reno7中国版
393698093,罱,5,为什么我没有时长(！)(嘿嘿嘿现在有了)<br />目前看了是非常好的，就是跑图好累，打怪好难<br />3.0版本名字很好听，我爱须弥！<br />3.2<br />116发mhy你猜猜我要等谁<br />剧情很好，但是!<br />纳西妲!!!<br />绫人三星武器，我好悲伤(换了!)<br />3.3<br />打牌好耶!!<br />攒够大保底了(躺)<br />。。。。。。原神这个游戏只是单纯为了深渊而存在的吗？<br />3.4<br />作为胡桃厨，其实我觉得这次海灯节还好吧，没有前置加持而已，只不过两位cv都不是专业的嘛，倒是胡桃的哒哒哒刀到我了<br />反正我55级，不算特别肝，深渊也不想动，XP党无所畏惧。<br />每个人的喜好不同，不喜欢就莫强求，总不可能因为你不喜欢就改了吧，剧情是有一些不好，但也不是全部啊，草神的第一章我觉得挺好的。<br />200多成功拿下胡桃1+1可惜圣遗物有一点拉<br />哈哈哈哈哈可恶的mhy，纳西妲大保底无所畏惧<br />踩我干什么啊，仅代表个人观点啊<br />3.5<br />老米你真好<br />30连三金<br />白送种门<br />可恶，有本事你一发出卡维啊<br />5.0<br />惊艳了非常好<br />5.1<br />乐，还在吵啊，孩子们，纳塔真的好玩<br />5.2<br />奥奇卡纳塔太牛了，好强的地图<br />5.3<br />孩子们，好燃好喜欢<br />海灯节快乐！买了堂主皮肤好耶！<br />5.4<br />梦见月啊梦见月，等周年庆送了<br />这次剧情不错啊<br />等牛牛<br />诶我时长呢<br />5.5<br />火山好玩啊，牛牛跑图也很爽<br />顺便炫耀一下我的16抽两金嘻嘻<br />活动剧情好好哭，给我打出超击破了,6,2022-07-22 23:57,未提供
357924232,青の榆,5,陪伴了我近乎整个青春，对于没玩过不了解这游戏的很推荐玩。因为世界很大，故事很多，地图风景好看，会有很多新奇的体验，但当通关以后(比如地图满探索，剧情过完任务全清，深渊满星)就会感到无聊了，每天上线就是清体力刷每日，只能等下个版本的地图。角色的传说任务质量时高时低，我到现在都觉得温迪的传说是最优秀的一个。我是真心喜欢这款游戏，也说过在提瓦特故事结束前绝对不会退游，希望自己能做到。也希望以后能有更优秀的剧情，风景更好的地图。,3,2025-04-05 09:45,Vivo IQOO Z9 Turbo
440127223,谷菲,5,幸好官方把游戏做成偏个人单独玩，只要把联机模式关闭，就可以避免其他没素质的玩家进来，很好，对我这种的再适合不过了，但能不能麻烦尽量不要出需要多人匹配的活动，真不想看见其他玩家,1,2025-04-05 09:25,一加手机11 5G中国版
695358665,静夜,5,原神很棒，原神加油,,2025-04-05 09:14,Vivo V2002A
557439593,槐安,2,这款游戏我打差评还是因为太累了玩的，玩游戏的初衷只是想为了闲暇时刻娱乐一下，但是每天做的跟上班一样，还有就是每次都大保底，喜欢的角色又抽不到。。，刷圣遗物也刷不出自己想要的，爆率好低😐😐，感觉玩的好累，已经退游了，后面也完了崩铁和绝区零，也是跟上班一样，开服一个星期退游,2,2025-04-05 07:47,Vivo V2282A
363043183,Utzhiyuan(已失忆),3,剧情跳过和二级密码什么时候出？,1,2025-04-05 07:25,Redmi  K70 Pro
332379677,宋鱼,1,很丰富，但是有一个很大的缺点，就是什么都很难打，升级根本就不够，升到多少级也打不过那个怪，世界设置的强度总是比你的等级要更高。,1,2025-04-05 07:19,Vivo Pad3
439820451,TapTap游,1,什么游戏，不如火影,2,2025-04-05 04:14,Vivo IQOO Neo9S Pro
72674025,陈为秋,2,2025-4-5<br />你是否已经偏离了初心呢？<br />2021-7-27<br />好，但不完全好,1,2021-07-27 00:53,华为 荣耀30 Pro 5G
512735371,xal,4,摆烂玩家，25开头uid才58级，游戏角色建模立绘什么的都很好，就是抽卡不太好，总是歪，建议心态好或运气好的人玩😁,,2025-04-05 02:43,Vivo IQOO Neo8
4459612,獨演獨鬧灬ず,1,我是开服玩家从米粉到脱粉，剧情越做越烂,3,2025-04-05 02:30,未提供
