用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
455884413,さかな楽,4,个人除宝可梦以为最好玩的回合制游戏<br />手柄连玩之后含可以触屏<br />游戏总体优秀<br />福利感觉含可以<br />🎛️数值合理性：膨胀,,2025-04-05 14:39,小米2405CRPFDC
74966576,云芽💚落白-纳落白/网游测试员,5,好玩，非常好玩，特别刺激，任务非常的多，关卡非常的难，但是还要继续挑战，每一个细节,,2025-04-05 14:24,华为nova 7 5G
392566353,levi,1,数值膨胀大压根没法玩 新角色还歪 砂碧游戏,3,2025-04-05 14:05,Vivo IQOO 12
1903596,屑屑,2,一坨是对的<br />🎛️数值合理性：,4,2024-05-23 17:08,未提供
601435371,坤坤,2,✍🏻建议：吃满大保底无话可说,3,2025-04-05 13:26,Realme真我GT NEO 3
464250248,藍二乗,3,现在剧情又臭又长，膨胀的还那么快，这游戏也就这样了,2,2025-04-05 13:10,未提供
375069599,随风潜入叶,5,唉，这游戏说实话非常喜欢，但我退游了，是在飞霄那个版本，只记得当时抽卡，给我弄破防了，小保底都没有不歪过，都快给我歪出心理阴影。我每次都150左右才能出当期up，在我印象里从1.0到飞霄版本就有一次没有歪的，二测的时候我记得都歪了😂后面玩的我都笑了。索性就退了，真正退的时候是在后来接触隔壁mc后的mc第3个大版本后就真正不玩了，我的个人的精力是有限的，mc适应了这个变化。而这三姐妹，也就星穹还有点人性。其余两个更是重量级。不谈了，祝你们永远不歪吧，江湖再见😏,1,2025-04-05 12:01, iQOO Neo7 SE
604716316,：,5,💰肝氪度：感觉还行。只要肯攒星琼，那么你就是个6+1。可惜我没有<br />⚖️平衡性：平均是上个版本的1.2强度<br />最后一句话，崩铁好样的。给我们镜流加强了。,2,2025-01-15 11:48,小米24117RK2CC
465028671,Sagittarius_噔咚锵,3,神人数值策划，别叫翁法罗斯了建议叫翁法膨胀螺丝<br />⚖️平衡性：0<br />🎛️数值合理性：0<br />我的建议是别用脚填数值了，抑制一下膨胀,3,2023-08-14 17:43,Redmi K40 游戏增强版
527994018,11111111111111,4,我先声明 打四星有点个人因素 毕竟我比较喜欢养老的<br />先叠个甲 不管是原神还是崩铁 关于角色的节奏我都没参与过<br />原神须弥出了一阵子的时候玩的<br />崩铁开服 一个月后玩的<br />就说崩铁 现在的数值膨胀 我都懒得说<br />原先的为了一个角色 深渊设置相应的增益 我都还能忍<br />先说 万 敌 就他这个专武防谁呢 懒得喷<br />吃相难看<br />干脆整一个 抽到角色后无法立即使用 必须抽到相应专武才可激活的设定<br />再说霞蝶 他那个在不在场全队都免死一次 结果整一个新版本强制压至一滴血的boss 这是为新角色准备了个新boss啊<br />然后说剧情 剧情还算可圈可点<br />不算肝 也不是特别需要氪 毕竟福利在那儿摆着 如果不是因为福利三星都拿不到,1,2025-04-05 10:42,OPPO A9中国版
568927153,梦幻,1,数值膨胀太厉害了，直线飘升,8,2025-04-05 10:26,Huawei Nova 9 SE
70918559,孬,4,💰肝氪度：<br />玩了两个月 没下载 靠tap和官方云玩的 up算上光z就4个（翡翠 花火 云璃0加1） 翡翠池歪了个杰哥 常驻池170抽 出了🐔子和白露光z 现在抽鸟一发没有 但垫了30抽也可以说有了（歪了就当我没说） 仪器运气比较好 云璃ACE 巡猎三月七SSS 玲可S 花火SS 黑塔SSS 以上的东西我玩了一个暑假搞的（主线过完 任务只有蓝的 常驻活动打完） 勉强一个队 我感觉还是给太少 虽然我没玩过原神 但给的肯定比原神多 肝度不算肝<br />🎛️数值合理性：<br />回合制 dddd 以后不会改评价,1,2024-09-15 15:02,OPPO R9s
707637892,凌亿月,5,画质优美，音乐好听，人物角色丰满,1,2025-04-05 09:36,Vivo Y53t
42350929,那个叫什么的,2,不好玩，福利差，策划不把玩家当人还嘲讽玩家<br />优点是美术好,7,2025-04-05 09:30,小米13
631890362,川,4,游戏不错，剧情很丰富，不过还是米家老毛病，废话文学，做到3.2已经给我做的没耐心了，大部分剧情都在阐述命途含义和影响，而且还不能跳过，能不能学学隔壁，做个跳过功能,,2025-04-05 08:30,HONOR Magic6 Pro
492376852,User492376852,5,⚖️平衡性：<br />这游戏好玩吗？我从原神过来的,1,2025-04-05 08:25,OPPO A56 5G
710064975,.千魈蘤等你回来哦.💕,5,爱了爱了，超级无敌宇宙第一好玩,,2025-04-05 08:21,Ivvi A12
