用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
551210288,悬铃,4,去年下载过，当时把剧情玩到底就卸了，今年回的游，已经一个多月，总结就是很肝。<br />刚回游时没几天，点开消息框，一水儿的任务等着我接，在这一个月里，我连着做了三个大任务，数不清的小任务，主线剧情都没咋过呢。<br />我本身是一个玩游戏很懒散的人，每天过两下剧情，急躁了就一直待在地图里无所事事，和NPC互动，不喜欢战斗，感觉这个战斗真的很催眠，玩着玩着就想睡觉，好奇怪，过一些杂七杂八的剧情时也挺催眠的，因为我不爱看，一直在点击对话，而且还很麻烦，跑地图时老是遇到主动袭击的小怪，唉，有些新奇的玩法我倒是挺乐意研究研究的，比如一个经商摆放小游戏，挺有意思的，研究不出来还会有提示，只要不叫我打架，都好说。<br />关于一些角色，我挺喜欢的，类似今年的飞霄，和去年喜欢的卡芙卡，大部分人设塑造的还行，可能是我钝感力强的原因，但是有些角色为了让他们推动剧情，貌似已失去理智（？），连我这样不在意的人都可以明显感受到。<br />氪金的话我是不氪党，大部分角色都是有则好之无则随意的态度，反正也不爱打架，强度如何就随便了，偶尔会花钱叫代上线，boss关就还好了，实在打不过的还有休闲模式，很适合我，至于攒抽角色的资源，可能是我这一个月做了太多任务，感觉挺好攒的，从零开始回游，到七千多的那啥（名字没记。<br />大约是太懒的原因，什么强度啊体系啊游戏黑话啊，这些我通通听不懂，随意玩两下的话体验感是不错的，打发时间足够，但是玩完两三个小时会有很累的感觉，精神值直线下降，每个星球带来的新鲜感足够，只是难度也在不停上升，而我懒得搜攻略，就一直卡着，直到哪天茅塞顿开。,8,2024-10-28 20:26,未提供
13186823,南昔,5,目前最爱的手游了，开服全勤玩到现在！不肝，日常只需要5分钟就能解决，氪度只要月卡就能爽玩，福利很舒适。<br />就是梗里做了个游戏的感觉，文案癫癫的很符合我的精神状态。很少有这种舍不得跳过剧情文案的游戏。限时活动给的时间都比较充裕，很适配社畜。<br />配队自由度相对来说不是特别高，体系队伍有点泾渭分明。但四星角色养好也都能打，平衡性也还行，不是刚需限定角色。<br />希望砂金能有更多剧情，真的太爱了。<br />尤其是玩了其他游戏后，因为对比，让我反复爱上崩铁。,24,2024-10-20 00:07,Vivo IQOO Neo6 SE
676064842,萤寶可愛捏,4,喜欢三月七流萤老婆的人过来评论了。<br />入坑不久，今年一月二十三号入的。目前满级，也算是新人吧。就提几个小点。<br />1强度膨胀速度快。这是大多数游戏的共性，这对于一些玩家来说也是一个头疼的点。新角色不强少人抽，但是过强与前面的老角色就割裂了，匹诺康尼敲门大C一个芽衣几乎爆了当时除了二龙以外其他老角色C的米，也就是新出的乱破没能压过我的萤宝，感觉萤宝未来短期都会是击破队首位推荐了（这点我就放心了。<br />2游戏内容少容易长草。我原神不满级始终有事做，跑大地图啥的，但是崩刚到六十级，我发现当时就没事做了。可能也是等主线剧情更新吧，但平时除了虚构深渊什么的就没事干了，就算有了也是一两天刷完就等更新了，即使后面加了末日差分啥的也是很快就刷完了。。。玩法依旧没有变，我现在基本就等着版本大活动能新一新。<br />3福利相对原神还是比较好的。不劳而获的星琼和专票谁不爱呢。但这个福利也是弥补了地图资源少的一点。不然我不知道那些零氪玩家要是没有这些福利光靠刷深渊要刷多久才能去冲一个完整的新版本新体系队伍。<br />4角色养成还是那些样子。我的仪器本算比较欧的（除了量子套），这里就不多说了。<br />总之个人感觉入坑不亏，现在还在攒票子，马上要给存护小三月补满魂了，还要补一张沙金专,10,2024-10-27 23:12,iPhone 8 Plus
412376483,我,5,💰肝氪度：<br />肝度较低(新手期稍忙)<br />更新玩三天，长草一版本<br />摆烂玩家一版本50-60抽，零氪普通75，零氪肝满95，小月卡110，小+大月卡125<br />反正你每天都清日常(5min)，活动做完，偶尔打打模拟宇宙，平均一天20分钟左右就可以达到零氪普通程度，一个版本一金不是问题<br />而且我这是保守的算哦，你认真玩还会更多哦，我个人很喜欢，我零氪肝满平均每月石头11000以及18专票(巡星+月初+换)，一天一小时游戏时间(主要很多时候都在重复打模拟宇宙)。<br />氪度如果抽卡脸较黑并想打满三大深渊，得微氪，单纯收集喜欢角色(不算全图鉴哈😅)零氪完全ok<br />总结：低肝微氪<br />⚖️平衡性：<br />数值膨胀肯定有。比如：我1.4饮月打满级幻胧周本，要吃药才勉强打过，现在我流萤(2+0)击破两刀一条命，开自动跟刷普通材料一样😅<br />但我不怎么想喷，毕竟吃了人家的嘴软嘛。为什么这么说呢。上面说到流萤2+0可能有人会说我不可能零氪，但那时候很欧，140抽4金😅理解了吧😁<br />补充：2.0到现在2.6，14金11up，歪三只两只连金四舍五入歪一只我能不嘴软嘛😅<br />🪢策略深度：<br />有。但不多<br />虽然嘴软，但我还是客观的😅<br />🎮可玩性：<br />剧情：sss<br />音乐：sss<br />角色：ss<br />模拟宇宙：s-b(看你喜不喜欢喽)<br />地图：a<br />战斗：a<br />三大深渊：b,23,2024-11-04 20:23,Honor 90
436396728,无名氏,4,嗯最开始觉得是回合制就打算创个号就不玩了结果这个回合制我竟出乎意料玩得下去，只能说玩还是好玩的后面东西都肝玩就有点无聊了<br />🌃画面音乐：<br />嗯米哈游的音乐从来不让我失望（肯定）<br />💰肝氪度：<br />有氪过一点月卡还有礼包，怎么说我现在角色还是少得可怜，可能我非占了很大一部分，毕竟我已经好几次吃满150发了。肝的话毕竟是有限地图，一个地图也没多少宝箱（比起二字游戏是真的少），跟着月月妈很快就找完了<br />🪢策略深度：<br />不会吧反正我是几个队伍打遍游戏哈哈哈哈<br />解密不会的早去看攻略了<br />🎮可玩性：<br />如果最近没游戏玩可以试一试，剧情还是很有意思的，不过我觉得这有游戏只有后期才能当副游玩，因为后期是真没事干<br />🎛️数值合理性：<br />呃肯定有老c的数值是比不上新c的，毕竟版本更新快，不过我至今还在用希儿啊家人们，只能说不追求强度一样可以玩，xp抽卡的好处就是不用在意哪个角色强或者弱，好看抽就完事了,8,2024-11-03 09:35,vivo Y200i
98039830,兔崽子要玩游戏,5,看我时长，我真的好喜欢玩崩铁，真的喜欢到上瘾……<br />浅玩过原和崩三，但崩铁是最戳我的ip，真的打破了我很多偏见<br />说实话第一次见不是很喜欢知更鸟，因为和三次明星太像了，我对三次明星有一点点👌偏见，但是过完剧情我真的是知更鸟小姐的脑残粉<br />里面的很多角色都是极具理想主义色彩的，匹诺康尼的剧情真的是我玩的二游top（除了2.4那点），理想与现实，美梦和没那么好的自己，npc都让我印象深刻……,22,2024-10-12 15:42,Vivo V2156A
31311738,师无渡,5,这个五星，给最近的新剧情，星天演武仪典，我之前问过很多人他们玩星穹铁道的时候有没有什么特别喜欢的角色，也就是厨，很多人都有自己的厨，他们厨自己角色的理由也很多，比如帅啦，比如在剧情里表现很强啦，比如说这个角色很漂亮啦所以我厨之类的，理由很多，之前也有人问我有没有厨的角色，在这次活动之前，我是没有的，这次活动之后，我有了。伊戈尔·哈夫特，一个不出现在主线剧情中，甚至这次活动仅仅只在与景元的合照中漏了一次脸的角色。<br />一个人要有怎样的意志，才能忍受独行星海只为寻求拯救自己故乡办法的孤独。一个人又要有怎样的决心，才能亲手砍下自己的手臂换上公司的机械义肢，只为了来看比赛的人多一点，好让他赛后的演讲被更多人听到。一个人又要有怎样的觉悟，在他明明可以依靠自己拳王的名声与地位安然无恙的度过自己一生的时候，选择了回家为自己的家人朋友故乡而战，哪怕代价是自己的生命。伊戈尔明明可以选择一条在他人看来十分幸福的路，用自己打拳得来的财富在一颗安定的星球上过幸福的一生，可他还是选择回到雅利洛六，死在了战场上。<br />这让我想起我们的国家，在近代也有一场劫难，许多有识之士也像伊戈尔一样在为我们的国家呐喊，他们声音或许微弱，但却也是为了我们的国家得到帮助，无疾而终之后，他们也选择了返回自己的祖国，为她流干了最后一滴血。这就是我喜欢这次剧情的原因，我在伊戈尔与雅利洛的身上看到了我们国家的影子。他们都曾呐喊，而后为自己的故乡奋力抗争。,19,2024-10-11 17:27,未提供
25440521,夜潭深水,5,💰肝氪度：<br />我认为还好，我本人是每期都氪大小月卡不断的，但零氪完全可以玩，给的资源很多，基本上每个版本都能凑出一个小保底<br />⚖️平衡性：<br />数值膨胀确实有，但并不是不能玩，依旧有大佬能全4星打满，甚至0T，我觉得要么就抽新角色抽命座，要么就在配速排轴练度上下功夫了。当然我个人是每期都能打满星的，不过我一直都是手操。<br />🎮可玩性：<br />很强，崩铁的剧情绝对是顶级的，人物塑造也很好，不止是主线，也有很多值得细品的支线。我也算是半个考据党，很喜欢去看别人对于剧情的解析，非常有意思，有很多对于现实的隐喻。当然，不想深挖也完全可以，剧情绝对是老少皆宜都能看懂！<br />作为回合制游戏，对于我这个手机上玩的操作一般的人很友好（我原神操作稀碎），更多的是动脑子进行配速排轴什么的。我之前也凹过几次0T和满分虚构，在不断尝试下成功，对我来说真的很爽。<br />每个版本都有一些很有意思的小游戏，像之前那个折纸小鸟对对碰，挺好玩的<br />🌃画面音乐：<br />谁不知道米家的音乐是顶级的啊！角色都很好看，画面表现力也很强，过剧情时很有代入感，尤其是匹诺康尼，过完之后久久都无法忘怀。<br />✍🏻建议：<br />崩坏星穹铁道是个好游戏，但能不能多出点能联机的小游戏。以及，求你保底别再歪了好不好，我不要再吃满大保底了啊😭,9,2024-11-02 10:42,Honor Magic5 Pro 5G
681529167,额,5,崩铁是我玩的第一款米家游戏。讲真的，崩铁的福利真的超好，然后基本上每一个版本我都能拿下一个或者两个都可以拿下。喜欢的角色很多基本上小保底不会歪，虽然专属光锥只有几个，但还是好玩!但是我现在68级，是萌老˙ᗜ˙菜菜的很安心。<br />希望2.7版本周日和停云两个我都可以小保底拿下，球球了。😢,11,2024-11-03 10:57,HONOR 100
5416424,森离久,5,开服玩家，说几点优缺点，希望可以给入坑的玩家提供参考。<br />缺点:<br />1如果没有氪金的打算，就不能有既要又要的想法，版本福利足够你每个版本一个角色，运气稍微好点可以角色+专武，但是不要报太大希望，XP/强度只能选一个。<br />2这是个回合制游戏，可以自动战斗，所以刷取角色装备（遗器）的舒适度会更高，但是比较非的人还是一样难受，接受不了就没办法了。<br />3随着版本的更新，老角色（尤其是主C），贬值很快，应那句老话:铁打的辅助流水的C，喜欢虚空PVP的普通玩家也不建议入坑。<br />优点，或者说我从开服玩到现在的感受<br />1自动战斗省心，每日任务省心<br />2音乐顶尖，画面质量也不错<br />3角色设定合理，没有讨人厌的角色<br />4官方不作死，优化很好，文案整活和各种梗络绎不绝，属于是那种但凡少上点网就看不懂的情况，但是我喜欢，建议多来点<br />5玩法逐渐增多，模拟宇宙dlc已经出到第四个了，要这样发展下去，新玩家长草期会越来越少，老玩家横推也舒服,15,2024-11-01 16:31,未提供
