用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
709907904,360块月饼,5,可以玩非常好玩18元都赚了，性价比高,,2025-04-05 07:59,小米Xiaomi Pad 6
61704222,志气冲天,1,我会持续给差评，直到能自定义键位,,2025-04-04 15:45,HONOR LGE-AN20
674508301,果z哥,5,十年磨一剑，有心了，我要喜加一！（好吧~_~没有那个经济水平）<br />🥊打击感：<br />🎮可玩性：<br />高<br />🥊打击感：<br />行,,2025-04-04 11:39,OPPO PGAM10
635268298,dhhdsj,5,今天不是打折12吗为什么我的显示还是18点击购买还是18,2,2025-04-04 10:00,荣耀20 青春版
518987407,宇宙无敌超级暴龙铠甲勇士,5,五星好评给旁白的,,2025-04-04 00:47,Honor Play 40 Plus
538710183,不知道起啥名,5,历史之间<br />听见旁白，吃饭，从一个胖子瘦成现在这个鬼样子，笑了，听从他的意见，五星好评,,2025-04-03 22:28,荣耀畅玩 20
697861967,希希,4,🥊打击感：<br />还算是可以算那种比较爽的，但还达不到顶尖<br />🎮可玩性：<br />可玩性比较高。我我要你反复玩的话，就会感觉到腻，所以希望第二部的时候关卡增多一点，还有入手，真不亏,,2025-04-03 18:18,未提供
709398811,凭一己之力力挽狂澜的寒冰射手,5,🥊打击<br />重击十分不错，破盾是我觉得最爽的地方，很入肉,,2025-04-03 17:34,一加手机Ace竞速版
62480026,Orioe,5,未免有点太难打了吧。,,2025-04-03 16:50,小米Xiaomi 12S
672993382,金木牢湿,5,只恨自己没早点玩。😭😭😭,1,2025-04-03 10:30,HONOR ALP-AN00
43839109,思念化成雨,5,🥊打击感：<br />玩的很爽，难度挺低的。前面可能还躲一下，后面血上来了，开流直接莽。<br />🌃画面音乐：<br />艾希真的画的好美，声音也好听(好像是洛天依的配音)<br />剧情的话有点零散，但还是算得上很惊艳👍👍👍<br />B站上面说第二部马上快出了，可以期待一下,1,2025-04-03 00:09,未提供
110980483,曹树泽,1,一个动作游戏，手感一塌糊涂<br />🥊打击感：没有,1,2025-04-02 18:00,红米 K70
319026789,flower,3,打击感不算很好 起码不是很优秀的那种 还有一种把打击感全部加到敌怪上的感觉 轻轻松松打出小连招 还不教玩家这么打连招纯纯自我摸索 唯一的游戏乐趣就是调戏旁白吧<br />🥊打击感：<br />差点意思 反馈不大,,2025-04-02 12:58,小米24090RA29C
517583131,火云飞,3,一款比较老的横版格斗游戏。放在现在这个美术可能就挺一般了，不如隔壁深渊梦境，但也有可能隔壁是像素的原因。好在打击感还不错，缺点也比较明显内个案件需要适应一下，成就也不是特别的多，而且配音建议关闭 听起来有点小尴尬，不管中日文 ，存档不能多开的,2,2025-04-02 07:34,Vivo IQOO Neo9 Pro
540815976,夏商,3,不知道怎么回事，我之前买过之后，因为一些原因删掉了一次，结果下次下载还是要钱，这是为什么？,,2025-04-01 13:45,OPPO PEPM00
449728269,暗夜使者,5,啊，现在可以免费下了吗？我之前可是花钱下的啊,,2025-04-01 00:09,小米Xiaomi 14
630236878,普通人,5,总结旁白就是游戏的精髓🤓,,2025-03-30 19:45,HONOR JDY-AN00
428266971,乂氼,4,不知道有没有更新其他的<br />🎮可玩性：感觉关卡就几关，通关后不知道干什么了，其他的还是很好的,,2025-03-30 17:38,小米2312DRAABC
