用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
435339256,周某人,5,两个月了还没天照,,2025-04-05 05:20,小米Mi 11 Lite 5G
606564228,Francis,3,游戏好游戏，策划挑战玩家底线，上个月开服活动把我恶心坏了。,,2025-04-04 23:21,小米Mi 10S
649967794,不会说话就别说了,4,其实总体来说还是不错的，就是游戏画面可能还需要调整一下，可能美术形象没怎么长我点上吧,,2025-04-04 12:28,Tianyi TYH632M
502625479,箱子,1,账号丢了找不回来，明明已经实名了，非要验证手机号😅,,2025-04-03 18:04,Redmi K60
676179305,.,1,二弟平安京已经大换血，大哥阴阳师目前的状况网易是很满意吗？  阴阳师作为网易原创ip游戏，落到今天地步还不知悔改，怎么个意思？<br />那我问你，一个游戏运营8年，接近9年，很容易吗？  回答我,3,2025-04-02 23:04,Vivo IQOO 12
331232,路过无罪,1,几年不玩看见联动才回来看看，对比其他游戏才发现阴阳师是真的抠，绝对属于手游里面最抠门的那一批了,1,2025-04-02 18:14,未提供
701941707,躺平玩家,5,这个游戏还是很值得体验的，主要开局挺重要，最起码要抽到几个能够配合的式神，这样前期开荒，活动，都可以打了，也有明确的目标式神去养成。后续主要就是肝了，各种其他资源，缺的式神可以在后面弄到手，方便阵容调整，以应对不同的副本以及竞技等等。这是个运气游戏，最主要的就是御魂了，随机性太大了，式神抽卡也需要运气，但是只要玩的久，该有的大部分式神都会有的，只是获得的时间前后问题，想全图鉴有难度，但是竞技阵容变阵等等，基本还是可以做到的。,,2025-04-01 23:09,华为荣耀畅玩8A
25240802,User25240802,2,游戏是好游戏，策划真的不算好策划,,2025-04-01 21:26,iPhone 15 Pro Max
60625350,Aluca,3,彻底退游了，已经一年没上线了，还是挺怀念上初中时候带手机上课挂机打超鬼王，半夜卡点签到，上着学每天玩10小时<br />💎资源获取：<br />没什么比阴阳师资源还好获取的，现在福利还多，抽个天照或者阿修罗我不清楚还能不能一直用，反正打什么都好说了，就可以慢慢攒票子，我记得当时每天三次寄养一个月活动全满（副会长）一百多张票<br />御魂也是非常简单，每次活动换满了箱子可以出1-4个双速胚子吧，就是还是有点太极端，1900小时不算电脑挂机和没taptap，双速才153，但是斗技体系是我最满意的了，刚玩是缘结神那会，那时候大蛇拉鬼切，后来秀丽坐地，紧那罗上一把打七八分钟，冲浪，奶切，炸盾，食鸦切，荒坐地，阿修罗插插插，应声虫或者雪幽魂红叶（最爱）…<br />阴阳师是我觉得真能靠技术弥补缺陷差异的游戏<br />不过这游戏唯一的优点就是挂机，我可以和寮友聊天，互动，而不是把所有精力都放在无聊的重复副本上，退游的理由也是，好友，徒弟，寮友，师傅都走了，自己挺无聊的<br />哈哈哈，还有号是真的卖不出去<br />三⭐已经很多了，交友加⭐，游戏制作精细（CG背景故事等等…）加⭐，玩法（打麻将，经营，灯谜，福利也算上）加⭐<br />剩下的不知道该咋给了，式神下架的一个比一个快，自己喜欢的玉藻前，鬼切买了典藏也吃灰，数值从几万变成几百万，不过对新人还是挺友好的，副本什么的好打也有人带，游戏也是越来越无聊，不然也不会退游，活动千篇一律，没有心意，世界骂策划常有的事，优化也稀烂，斗技时卡时不卡，严重发热，机型参考小米10s，note10Pro，12sp，都不是最好的，但是刚出最起码也给点力，选人经常因为卡上错牌挺生气的，界面不要想着出一堆花里胡哨，把游戏做流畅一点，,25,2023-10-27 21:48,小米Xiaomi 12S Pro
121735954,逆黄金,1,三个号都被删了，回坑不了一点，两个安卓号，一个苹果号，账号名字服务器名字全有截图连卡等级的小号都有，通行证也能查到，一点全服检测就是没有。,2,2025-04-01 10:04,未提供
