用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
539857397,崩坏三舰长,3,我天呐，这玩意这都不知道该怎么玩啊，哎，人机怎么那么强啊？一个人机站在我面前，直接瞬间把我打残血了，还有那个那个双层那个战场世界，特别是那个魔刀  圣剑啊，烂大街的真的好，这样搞，我真的很想退游，哎，我真的希望后面几天赶紧修改，  乱七八糟原汁原味的玩法都不见了，能不能出一个普通模式啊？自己根本不想玩那些战场世界，自己想要个玩原之原味的模式而已,1,2025-02-12 15:49,OPPO PFTM10
70473021,契阔,5,非常好的一款游戏，无论是打击感还是手感方面都很好，而且道具多，各种各样的玩法😊😍<br />不过再见了香肠派对，祝你越来越好,1,2023-04-05 10:05,Vivo IQOO Neo8
557995933,微风老孙来也,5,这游戏非常好我从S2赛季到现在还玩，画风卡通还可以 官方挺良心。官方一直送糖果能免费白嫖皮肤。玩家不在疯狂氪金获得，香肠不倒我们不散！香肠派对启动!,22,2023-08-09 11:33,华为XYAO-W00
588866435,星玄,1,8_6有点折磨玩家,1,2025-04-05 18:21,Vivo Y55t
69909894,手机用户69909894,2,为什么我用QQ号登不进去了？现在香肠派对怎么回事呀？,,2025-04-05 18:21,小米2312DRAABC
704381083,兰昼,4,热热热热热热热热丨防护服归根结底改口费很发达发哈就打减压阀打牙祭推塔呀对呀九分一支口红都可以犯法的烤鸭仍然刷卡依然打卡有他刷卡有他太大块有他看嚎啕大哭好听的话看过发哈等哈看他态度看他短裤图他短裤图他短裤太大哭他德哈卡推塔对呀开发的就很烦打火机放的开哈工大哭态度看态度看他等他看他打卡和他等哈饭卡可达鸭飞亚达看他的理他回答就很烦打火机放的开哈工大哭态度看态度看他等他看他打卡和他等哈饭卡可达鸭飞亚达看他的理他回答他烤鱼太大统计放大月卡陆哥哥古拉格一骨碌玉凤路预付卡推塔法库太大用看他飞亚达可以发一份喜欢看放的开还发放大烤鸭推塔对呀看他太大太大的脚丫太大吐啦可以退一天的课一天天的要看他打卡有他短裤天打卡有他通达路他都听短裤太大要减肥都挺好看的土豆粉刚看他开大呼吸广发卡刚发还发关系广发卡广发卡就突然实验课软软的跟人机沙发可高达一发光大卡手机刚发刚发搜嘎开发放大就还发斯卡哈干哈分等级很发达国际服西方国家这就很烦刚发是呀开发飞亚达减压阀要放大国际法转发啥自己打,1,2025-04-05 18:16,华为MediaPad T3 10
530769625,施锦洋,5,bug太多了,,2025-04-05 18:07,华为PLU-AL10
45675882,殇雪,3,不是哥们儿，我跳个伞，你给我秒落地啊，这是怎么回事？,3,2025-02-22 13:38,Vivo IQOO Neo10
556590816,兰兰,4,为什么我下不了以前都可以,,2025-04-05 17:57,未提供
334081839,简单,5,这游戏也是我从小玩到大的，也玩了几年了，祝这游戏越来越好,,2025-04-05 17:50,iPhone 13
408877658,如果,1,游戏体验腊鸡，逆天匹配机制,2,2025-04-05 17:18,OPPO Find X7
689654643,Zachek.锁爱,5,就是糖果送的太少,,2025-04-05 17:17,T200
96981379,手机用户96981379,4,新赛季人机改的和屎一样，凡是旁边有个真人人机打你都能打掉大半管血，再加上真人的跟枪，你都得死,2,2025-04-05 17:10,iQOO Neo 5
697589805,热情的高手,5,陪伴我整个童年的游戏,,2025-04-05 17:04,iPhone 13 mini
399034003,？？？,4,不要充太多钱，找那个性价比很高的         还是挺好玩的,1,2025-04-05 16:38,未提供
44816849,对着烟花续约^,3,团竞全是挂，个个体质非凡,,2025-04-05 16:20,未提供
415505519,༺༃迪༒伽༃༻,1,"一堆bug，只会送一些破烂补偿玩家,我都怀疑游戏公司的员工是偷摸混进去的，优化特别垃圾，游戏体验极差，不好玩不推荐，不要下载",,2025-04-05 15:57,未提供
638929649,hunter,4,外挂太多了但是吧，福利挺多这个匹配机制，我建议改一改吧，刚出新手村，我就去打高手,,2025-04-05 15:03,Honor X50 
550440952,杨柳依,5,今夕是何年<br />不知不觉 5 年过去了，我刚玩着游戏时才 s3，我清楚的记得我玩的那个赛季的名字“香肠斗饿龙”不过那时候这游戏比较小众，没多少人，所以就有点无聊<br />我认为我玩的最快乐的一个赛季是“狼来了”这个赛季，那时候我的朋友啊 80% 都玩香肠，我们都老喜欢玩狼人派对了，那个赛季狼人派对总场数都快赶上我后面十几个赛季玩的总场了<br />游戏福利这没得说，真的很多，基本上每个节日都能入手一款皮肤，什么钥匙啊，糖果啊都可以肝（不难，好肝）机票也是很便宜（相比其他游戏）你可以买，也可以攒糖果，基本上每个赛季都可以白嫖，只要糖果不乱花<br />游戏模式很多，但有一点雷同了，官方可能已经把内心所想的都做出来了，没什么创意了，比如说那个能量派对，明明就是把街机派对照搬过来，没多好玩，其实完全可以把以前的模式返场，比如说那个“机甲模式”“街机实验室”“身份卡模式（如果返场把身份卡模式里的霰弹枪删了）”<br />游戏有一个东西不好（个人认为）就是神秘道具，其实官方明明可以把唤龙枪，唤甲枪改回来，圣剑，魔刀改回以前随机刷新某地，那个霸王龙其实可以做成一个 boos，玩家把它打死就可以获得，神龙改成物资刷新（概率低一点就行），其实官方不用担心掉帧，卡顿问题，以前删唤甲枪，唤龙枪是怕服务器撑不住（确实那段时间这俩玩意刷新概率就是高），那时候才 19 年，现在都 25 年了，可以改回来了吧<br />还有枪械伤害，这是一个遗留问题，从很久以前就有，瞬秒问题十分严重，两个同水平的人，对拼就看谁开枪快，开枪快的胜率高的多，香肠血量太低了，可以加一点，不用固定 100 点，改成 120 点，再把枪械伤害统一下调一点（狙击枪上调一点伤害，射手步枪不变）<br />身份卡这东西官方可以少出一点了，目前投掷物已经完全没人能用了，跟我玩的朋友，除了我每次打经典带两个火，其他的人都不带，其实投掷物有时候比身份卡好用，只不过投掷物占背包空间<br />背包空间问题，根本不够用，自从飞高高，重量加大，背包容量极速变小，飞高高基本上每个人都带两个吧，剩下子弹，药等等，根本放不下，可以把背包容量该大一点了<br />摸金模式，这是我最期待的一个模式，和平虽然有地铁逃生，但是我不喜欢那种画风，太写实了，不好看，摸金模式可以增加一个排行榜，增进大家玩的兴趣，比如第一名奖励 999999999999 糖果，第二名奖励 88888888888 糖果第三名奖励 77777777777 糖果（开玩笑，别建议）<br />最后我希望香肠派对能真正的火起来，也希望官方可以为爱发电，好好做游戏🎉(&#39;ω&#39;)🎉,12,2025-04-05 14:55,华为 Mate 30
702861331,松冈凛,3,这是我玩过最久的游戏，我从20年就开始玩了，之前挺喜欢玩的，但是模式太少了，越玩越没意思，而且这游戏太和谐了，我说什么都不行．．．而且也很少有好友上线，基本都退游了。希望能跟大家一起玩，交友d,1,2025-04-05 14:51,iPad (10th generation)
439314302,。,5,在s10赛季的时候就已经死了꒦ິ^꒦ິ新手我建议试玩一下,1,2025-04-05 14:41,小米23073RPBFC
511611507,！！！！,5,新出的暴跳西游建议让达达亲自过一遍😅,2,2025-04-05 14:24,未提供
708406771, 痛恨离别,4,总体来说 我觉得这个游戏其实做的挺不错的 这个画风其实我蛮喜欢的然后有些皮肤也是很可爱，拿它来拍照的话 的确是个很不错的选择 但是我希望有时候官方能不能不要在我玩游戏的时候突然卡退掉 这样真的会很搞人心态的,,2025-04-05 14:24,未提供
709231900,🙁,1,时不时就卡退，建模有问题还会吞钱,,2025-04-05 14:00,Vivo V2106A
523327712,乘枫追梦,1,800多个占卜币出200个兑换币，把我当日本人整，土立土及游戏,1,2025-04-05 13:26,未提供
517560475,八豆,4,好不容易整了个摸金玩法，保险只有三个！大保险还得进前三！真是用心做皮肤转盘！用脚做游戏！如果出来了像其它摸金游戏一样的保险！要不就是转盘就是花大量糖果买,,2025-04-05 13:11,iPhone 11 Pro Max
547277829,洛,5,太好玩了，从19年玩到现在,,2025-04-05 13:03,一加手机Ace 5
489417559,123456789101112,3,建议达达管制外挂,,2025-04-05 12:58,vivo Y200i
454721467,sinterd✨️,5,Pc端光更新不了更新 还得再点一下我这个PC端怎么光出Bug呀？ 谁能帮我解决一下？求求了，帮我做出答复吧！,,2025-04-05 11:56,Vivo V2156A
476559743,我不爱学习,5,能不能出个真正的地铁,,2025-04-05 11:35,NZONE S7 Pro 5G
568157427,想吃peach,5,S2赛季入的坑，当时还是个小学生，现在都已经高中了，这游戏也是我的青春了，有一段时间很喜欢玩这个游戏往里面充了很多钱，但后来玩火影去了，一直没怎么玩这个游戏，刚入坑这个游戏的时候，看到别人的皮肤也是很羡慕，但是自己没钱，那个时候白嫖没那么容易，后来自己有钱往里面充的时候，当初一起玩的朋友早就已经没玩，以前7万多的美味值可以算得上是大佬，现在遍地都是，现在看到也是很感慨游戏玩起来确实挺不错的，这个画风当初特别喜欢。现在白嫖的福利也多了，希望游戏能越来越好吧。,1,2025-04-05 11:16,未提供
705775751,八百里子,5,⏳游戏节奏：好就很刺激。<br />🔫枪械还原度：<br />枪械还原度高。皮肤很好看。官方送一些免费的皮肤。挺好的，这游戏。,,2025-04-05 11:15,WIKO MKY-AN20
