用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
111437682,宇墨,5,旅行者模式怎么找附魔剑,,2025-04-05 16:11,红米 K70
417219057,百味生活,1,我朋友跟我一个网络，他进得去我进不去，恶心谁？,,2025-04-05 15:55,小米Mi 11
98586301,走咯,5,好玩就是没人陪我玩没动力,1,2025-04-05 15:50,Vivo V2220A
708549618,cpu超弱玩家,5,好玩，不过PC操作感觉更好,,2025-04-05 15:44,华为BTK-W00
106541085,踏查,1,网络优化极差,,2025-04-05 15:41,Vivo V2417A
691604040,bird,4,没有百科我怎么活啊😭,,2025-04-05 15:11,Huawei Nova 10
321417000,sgy_strong,1,手柄适配怎么还能出问题，做个东西就自动弹出详细制作物品数量的界面，然后手柄的大部分操作直接无效，只剩下返回键有用，要想移动光标只能关掉背包重新打开😅😅😅，用触屏的时候自动弹出当然没问题，但是外设就难崩了，直接硬控是吧😅😅，人家国际服明明一点问题没有，就是你那添加了功能没适配好😅😅😅😅你指望我做一个东西关一次背包是吧，那我以后肝东西是不是得把B键摁烂啊？不想多说😂<br />🎮可玩性：<br />游戏本身没有问题，就是游戏外设适配没弄好，严重影响游戏体验😅😅<br />🌃画面音乐：<br />无需多言，像素风格，画风也算精良，整体也比较协调<br />✍🏻建议：<br />好好把原来就有的手柄适配弄好行吗😅😅,2,2025-04-04 15:55,Redmi Note 12T Pro
361581712,老贼,2,"多出点衣服,抠抠搜搜的,敷衍成这样",,2025-04-05 12:43,未提供
448292759,惜海若云,5,哥，都没活力了，能不能开放模组啊？太无聊了啊,1,2025-04-05 12:17,未提供
709268304,落尘,5,买了，怎么加官方群，加官方群的问题答案是什么？,,2025-04-05 12:09,小米24117RK2CC
494440582,格,1,直接进不去游戏了，本以为是设备的问题，换设备也不行，结果玩朋友账号就能玩😅,,2025-04-05 10:35,iQOO Neo 5
680558152,6,5,好玩是好玩，就是同学没有玩泰拉瑞亚的联机不了，,,2025-04-05 09:21,小米6
388306931,米粉,1,我萌新，感觉泰拉瑞亚玩的人太恶心了，刚开一个世界，一群人进来往我世界里到岩浆,1,2025-04-05 07:37,Vivo Y36s
394227705,爱你只要一步,5,泰拉百科啥时候修好 你让我咋活,,2025-04-05 06:27,Vivo IQOO Neo8
61663805,凛冬之地的疾风使徒,3,说实话，这个操作方式不如老板一根好吧，想调回去都调不回去,,2025-04-04 23:44,Vivo IQOO 11
401497921,🎣  🦍 🔵,5,从最开始的奥库姆到后来的月总，断断续续玩了七八年还是很不错的。不玩的时候几个月都不碰，一开始玩就是通宵。泰拉中boss种类多武器职业也很丰富，让战斗玩家停不下来。,,2025-04-04 23:35,iPhone 16 Pro Max
109864043,白夜,5,联机体验能再好点吗？,,2025-04-04 22:43,Vivo IQOO 12
