用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
446255397,User446255397,5,只能说这是一款有门槛的游戏，对历史缺乏了解，对底层人民缺乏代入，对传统文化缺乏认同的，确实难以接受这样的剧情。但一旦跨过门槛，充满中华传统内核的剧情内容令人感叹。,,2025-04-05 22:15,华为BRA-AL00
428011368,User428011368,3,快给我优化啊，每次玩一半就给我卡退了，要不然就黑屏了,,2025-04-05 21:41,未提供
4640678,黄金帅香蕉,4,【副本玩法】<br />地图的怪过于一致。都是一团小兵，打起来都一样。应该增加耐打，难度适当的单体小 boss。<br />【战斗机制】<br />BOSS战卸势卸麻了。一场战斗大部分时间都在卸势，玩家缺少主动空间，过于依赖卸势与数值。因为BOSS 攻击都是锁定向的。若增加些非锁定向范围攻击，且具有一定的前后摇或者技能时间，可供玩家在此期间灵活发挥，体验会好很多，例如狂野之心，怪猎更多就是找空档和身位的控制，将输出美学展现的淋漓精致。不过怪猎大体型招式不容易辨别，燕云敌方出招比较清晰是优势。目前主要太单纯太病态，可能比较魂，但更多像 qte 音游。。实际把卸势抛开，主角的入场攻击模组是比较少的，只能说卸势在帮开发组节省了角色的动作开发。<br />【流派玩法】<br />武学流派体验轴太长，玩法和培养方式单一，过于同类化。流派的搭配上，目前设计过于固化，很容易玩腻。其他游戏有着更自由简便丰富的组合玩法。切换流派替换时间和资源成本，繁琐复杂，毫无意义。<br />【装备养成】<br />极差，装备除了追求数值带来不了什么快乐。装备调律单纯数值，套装效果几乎只一种固定选择，设计的套装如果不增加多样的选择，何必要设计套装效果，直接其他方式附加给角色不也一样。加上装备刷取苛刻几乎没有更换的选择。等级突破后，装备形同废品回收，毫无价值。其他游戏至少武器有独特性功能性价值感。以前因为某游戏遗物系统毫无养成乐趣弃坑。只能说有过之而无不及。<br />【奇术技能】<br />好评，丰富多样，搭配组合自由，突破技能有新的效果机制。但解密奇术和战斗奇术只能共用 8 个键位实在不方便。另外培养的资源目前来看正常，但不知道后续开放后，资源要求会不会上升过高。【心法被动】<br />心法功能设计好评，但目前心法搭配组合过于套版，看似多样，实则单一固化。同样存在着麻烦的切换成本。心法收集上挺有江湖味，但培养设计上显得有点矛盾纠纷。心法可以置换，培养上实则和加点无异，但又不如可自由重置的加点方便。虽然可方便转换，但又不如直接资源继承功能。心法满重后，玩家只要有满重几个心法后，出新的心法直接转换即可，估计会导致开发对于心法的开发设计比重会降低，导致游戏战斗核心流派玩法缺少扩展性。感觉不如与剧情/挑战/任务绑定，去直接提重。流派心法需要玩家推进流派相关的任务挑战获得更多的流派点数，当然也有一部分是探索获得。！！！这样玩家就能主动去控制提升想要的心法，而且所有的心法能同步提升，另外可以去专门精化个别心法。不至于现在前期切换心法斤斤计较，很缺心法，后期心法满重后培养系统几近废掉。<br />【资源爆率】<br />金色装备，金色胚子，调音石，都需要爆率，爆率十分低。一天打完，甚至啥都没有，最大的问题不是歪，而是他根本就不给你多少东西你都没法去歪词条。其他游戏至少资源多，而且就算歪了没准可以给别的角色。抠抠搜搜。然后换流派装备必须要心力资源重新刷。真的难以理解，玩家换个玩法是抢了多少钱似的。<br />【多人副本】<br />机制过于讨厌，明明正常的战斗交互挺好的，非要加一些复杂难过的机制，降低战斗乐趣。十分杂乱甚至角色职业头标，都没有都不知道队友是干啥的。难度毫无分级体验，只有一个难度分级，毫无逻辑，试问各位满级后，一定是缺少装备才去刷多人本吧，缺少装备一定很难刷吧，假若我没装备刷过去那我还要刷装备干啥。导致前期刷很难，很难受。<br />【赛季制度】<br />赛季制度不知道玩家要与什么竞争，莫名要搞一些资源回收扣点。搞一些没啥策略性乐趣性 PK 加点。赛季开发新的内容，多是徒增重复性的工作玩法。<br />游戏里也有很多，例如题材，背景，场景，手感，特效，音效，细节，剧情演出，梗融入很自然有趣等等。,18,2025-03-25 12:19,小米24122RKC7C
118434977,日常想宰人,5,四编<br />之前退了一段时间，现在纯剧情党，活动都不想管的那种<br />河西主线很顶<br />家国情怀这种真的很在我的点上！！！<br />燕云十六州<br />切入点也很好<br />—————————————————<br />三编改好评<br />打过了退不了游了<br />昨儿个开了四格卸势+四瓶药之后还升到了九级世界（对不起我膨胀了）<br />说实话武侠风大世界我本来就蛮喜欢，但之前的全是多人，各种团战PVP啥的真的很讨厌对我来说。而燕云能单机玩所以短期我属实是放不下，还有好多任务没做地图没探呢<br />喜欢大轻功赶路，好帅，甚至不想传送<br />近的话可以飞檐走壁<br />唔还有一个很麻烦的玩法是偷师，可不可以不要搜那么密集啊我真的不想染血的你们放我进去的话我们大家都好<br />装备到底怎么配怎么提啊<br />昨天到处采集想升奇术，但是有些明明就在附近可上上下下找不到啊啊啊啊啊<br />—————————————————<br />二编<br />本来说音游过了改评分的，现在音游确实过了（遇到的都过了）（不知道是改过判定了还是我习惯了）<br />脸也重捏了<br />但是战斗被卡了<br />哈哈<br />我都剧情模式了<br />能不能不减疗能不能不减疗<br />一次只能带三瓶药还得减疗<br />自动都打不过<br />我要不是菜我为什么开剧情模式<br />我都开剧情模式了战斗能不能简单一点<br />打小十七死了一次然后小福禄寿帮忙过了嗑了两瓶药<br />刚刚打田英又挂了<br />嗯下楼的时候还死了有七八次好像<br />本来以为卡是我的问题但看到折戟路牌的留言发现好像不是我一个人觉得卡<br />马上再喊道主帮忙打田英<br />打不过就暂时退游回米家<br />—————————————————<br />云玩的<br />别的没什么，本手残开剧情模式+辅助卸势当单机游戏玩还不错<br />很后悔最开始没好好捏脸，现在看着丑得要死有没有办法重新捏呀<br />不过才玩没多久很多功能没开<br />来评价是因为路过一个音游被判定迷到了（所以是恶评）<br />本音游玩家<br />玩一个根本没难度的音游<br />死活过不去<br />please tell me why！！！古乐你告诉我为什么我是哪里没跟上<br />啊啊啊啊啊啊啊啊什么鬼东西啊延时也不高啊（50左右）高画质低画质都试过了有几个双押就是按不上啊啊啊啊啊啊啊啊<br />什么时候过了古乐什么时候再来好好评价,,2025-01-09 15:42,未提供
675709402,白逾,5,好玩好玩好玩！我还是劝你玩燕云十六声吧，曾经有教育家做了一个实验，把中国孩子和美国孩子从楼上扔了下去，中国孩子使用Q键开千斤坠获救，而美国孩子不玩燕云十六声，直接认输。从小培养玩燕云十六声的意识，比任何教育都重要，这就是玩燕云十六声带来的好处。,,2025-04-05 21:30,Redmi K60
651161282,YU,4,我只能说要燕云不拍帅儿子的是这个👍🏻<br />氛围感很到位<br />冲着捏脸和武侠风格来的<br />就是养成系统没太弄明白<br />应该是我自己的原因<br />因为以前只有玩二游的经验<br />比逆水寒好的吧<br />逆水寒我捏完脸就跑了<br />后期又往手游使劲了<br />皮肤花里胡哨<br />反正我是独行模式<br />剧情也是可以的<br />历史感也很到位,,2025-04-05 21:02,未提供
102911546,我是大傻der,3,手机啥时候能让我开60帧,,2025-04-05 20:50,小米24129RT7CC
432302256,逐梦星云,4,说实话做为一个开服玩到，现在的玩家，这游戏过过剧情，就可以了,1,2025-04-05 19:55,Vivo V2417A
49071306,星云,4,666过新地图任务的时候卡这儿了,,2025-04-05 19:48,Redmi Note 12 Turbo
647688879,sunshine,1,985策划一定觉得自己做的探索系统可有意思了，你是要杀了手机端玩家吗，还有奇术概率能不能调调，太低了,2,2025-04-05 19:38,未提供
