用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
695143975,诺,5,好玩！打架非常爽！！剧情也很有趣！角色更是没得说，都很有各自的特色，我很喜欢悠真！,,2025-04-05 14:42,华为 Nova 8
1903596,屑屑,3,还行，至少运营比前两坨拟人,10,2024-07-04 15:29,未提供
429498821,xcll,5,好玩好玩（开服老玩家的认证👍）,,2025-04-05 11:26,红米 K40 Pro
28734493,唐,4,热度低都是假的，玩个云游戏居然要排90分钟,1,2025-04-05 10:39,小米Redmi K40
653175529,感觉,1,这款游戏从任何方面带给我的感觉都非常羞，角色爆率太tm低了，我小保底每次都歪，ZZZ你的良心不会痛吗？祝你们的事业走下坡路，库洛比你们强太多了。花时间玩你这个游戏，我纯属倒八辈子血霉，我没日没夜的肝菲林就为了抽扳机和雅结果全歪了，咋的？我们这些零氪玩家不配玩游戏呗。ZZZ你真的饿了，没钱给员工发工资了？倒闭的了。恭喜你又失去了一位开服老玩家😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,4,2024-08-08 07:59,Vivo IQOO Z9 Turbo
110462371,三城,5,喜欢这种老rpg味儿,,2025-04-05 02:51,三星Galaxy S23 Ultra
9111625,手机用户9111625,1,别惦记你那崩坏宇宙了，快快把绝区零端上来！<br />2024.07.05 期待这么多年，探索空洞居然是走格子，白瞎了这么好的人物建模和美术风格了，甚至感觉不如P5X，评分暴跌不是没道理的。<br />2025.04.05 之前出星见雅回坑，发现除了略微改善了走格子其他还是原来那个味儿，游玩的重复性依旧让人感到极其无聊，动作深度不足也放大了这一点，有没有可能绝区零在立项时就是错误的,,2023-02-24 17:42,Redmi Note 12 Turbo
418303752,꧂志东,5,全部下载要多少内存存,,2025-04-05 02:12,未提供
429239886,结玹音无之时天使心跳之日,2,回归想抽新角色扳机，好不容易凑个八十发，ok歪了，米忽悠你好样的，以后再回归我就是狗,,2025-04-04 19:20,未提供
47531961,柒,4,用手柄玩这个游戏还是打的挺舒服的，但可玩性一般，可是每天玩的游戏多了起来当个副游玩，感觉还好,,2025-04-04 22:58,小米15
648722457,亦是,5,还是很惊艳我的，我很喜欢角色还有设定,,2025-04-04 21:49,Vivo IQOO Neo9
102887441,：：：,3,走格子建议全面删除,,2025-04-04 21:27,Vivo IQOO 12
632253160,帅哥,1,剧情猎奇到极致,2,2025-04-04 19:54,Oppo A58
580971872,。,5,改版后舒服很多,1,2025-04-04 19:27,华为GOA-AL80
109106754,呜呼,2,开服就玩了 前瞻很感兴趣 因为米家所以直接开完 体验过后感觉就是无聊的走格子 基本上角色都有了 还是很无聊,1,2025-04-04 19:24,未提供
704430463,锦苒,1,三个号，武器跟人都吃大保底，你到底想干嘛，又肝又氪，爆率又低，不介意玩，转隔壁鸣潮吧，人家武器小保底必出，爆率还好，画质优美，你这就是💩，肝死你爸我的了,,2025-04-04 18:19,未提供
64247364,手机用户64247364,5,超喜欢超爱，平板玩太绝了，画面刺激，玩这个有小时候玩崩坏2那股子上头劲了，主线快多出点吧，长草期了都,,2025-04-04 15:25,小米Xiaomi Pad 5 Pro
34668929,疯了疯了kkk,4,设备：PS5<br />真的很喜欢「ACT+Roguelike」混合模式：动作连招（闪避反击、属性破防）与随机副本（空洞探索）结合，兼顾操作深度与策略性。<br />我是角色厨，比较注重角色的塑造和剧情的发展，这款游戏在这点做的非常好。用的比利主c，目前打的还蛮顺利。<br />出金率和出紫率在我玩的里面比别的游戏高一些，不是知是不是个例。（图例为角色池）<br />我不确定是否会符合不同类型玩家的喜好，顺嘴一提活动不少，有点费时间，我这类玩家经常做不完。,4,2025-04-04 13:05,华为Mate 20 Pro
102680056,Jailene,1,一眼望去走崩铁的老路，趁着高位已跑路，感谢接盘侠,38,2024-07-04 21:11,Vivo IQOO Neo8
